Date,FCT_SOURCE,POINT,P_low,P_high,dP,low_threshold,high_threshold
1999-01-01,1.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,2.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,3.0,1.9,5.999999999999997,0.0,-5.999999999999997,1.2999999999999998,3.3
1999-01-01,4.0,3.1,0.0,38.00000000000002,38.00000000000002,1.2999999999999998,3.3
1999-01-01,5.0,2.5,2.9999999999999987,0.0,-2.9999999999999987,1.2999999999999998,3.3
1999-01-01,6.0,2.8,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,9.0,1.8,5.999999999999997,0.0,-5.999999999999997,1.2999999999999998,3.3
1999-01-01,10.0,2.1,5.999999999999997,0.0,-5.999999999999997,1.2999999999999998,3.3
1999-01-01,11.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,14.0,2.6,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,16.0,3.2,7.999999999999999,27.000000000000014,19.000000000000014,1.2999999999999998,3.3
1999-01-01,17.0,2.4,2.9999999999999987,11.000000000000005,8.000000000000007,1.2999999999999998,3.3
1999-01-01,18.0,2.0,23.999999999999996,4.0000000000000036,-19.999999999999993,1.2999999999999998,3.3
1999-01-01,19.0,1.7,29.999999999999982,0.0,-29.999999999999982,1.2999999999999998,3.3
1999-01-01,20.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,23.0,2.8,0.0,8.000000000000007,8.000000000000007,1.2999999999999998,3.3
1999-01-01,24.0,3.0,0.0,27.000000000000014,27.000000000000014,1.2999999999999998,3.3
1999-01-01,26.0,2.3,7.999999999999999,16.000000000000007,8.000000000000007,1.2999999999999998,3.3
1999-01-01,28.0,1.7,11.999999999999995,0.0,-11.999999999999995,1.2999999999999998,3.3
1999-01-01,29.0,2.5,5.999999999999997,0.0,-5.999999999999997,1.2999999999999998,3.3
1999-01-01,32.0,2.7,2.9999999999999987,9.000000000000004,6.000000000000005,1.2999999999999998,3.3
1999-01-01,33.0,2.4,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,34.0,2.7,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,36.0,2.2,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,37.0,2.8,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,38.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,39.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,40.0,2.7,2.9999999999999987,4.0000000000000036,1.0000000000000049,1.2999999999999998,3.3
1999-01-01,43.0,2.7,5.799999999999998,14.200000000000006,8.40000000000001,1.2999999999999998,3.3
1999-01-01,46.0,2.31,10.808080809999996,9.898989898000002,-0.9090909119999946,1.2999999999999998,3.3
1999-01-01,47.0,2.75,0.0,8.000000000000007,8.000000000000007,1.2999999999999998,3.3
1999-01-01,50.0,2.4,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,52.0,2.5,0.0,8.000000000000007,8.000000000000007,1.2999999999999998,3.3
1999-01-01,53.0,2.4,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,55.0,2.6,23.286573153999996,17.494989980000003,-5.791583173999992,1.2999999999999998,3.3
1999-01-01,56.0,2.2,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,59.0,3.1,0.0,28.000000000000025,28.000000000000025,1.2999999999999998,3.3
1999-01-01,60.0,2.6,0.0,8.000000000000007,8.000000000000007,1.2999999999999998,3.3
1999-01-01,61.0,2.8,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,64.0,2.6,20.999999999999993,11.800000000000006,-9.199999999999987,1.2999999999999998,3.3
1999-01-01,65.0,2.6,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,67.0,2.3,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,68.0,2.5,5.454545454545451,3.636363636363639,-1.8181818181818117,1.2999999999999998,3.3
1999-01-01,70.0,2.7,0.0,10.000000000000009,10.000000000000009,1.2999999999999998,3.3
1999-01-01,71.0,1.7,16.999999999999993,0.0,-16.999999999999993,1.2999999999999998,3.3
1999-01-01,72.0,2.4,10.999999999999996,9.000000000000004,-1.999999999999993,1.2999999999999998,3.3
1999-01-01,76.0,2.8,2.9999999999999987,23.00000000000001,20.00000000000001,1.2999999999999998,3.3
1999-01-01,85.0,1.9,19.207920792079207,10.693069306930697,-8.51485148514851,1.2999999999999998,3.3
1999-01-01,86.0,2.8,2.9999999999999987,9.000000000000004,6.000000000000005,1.2999999999999998,3.3
1999-01-01,87.0,2.6,2.9999999999999987,2.0000000000000018,-0.9999999999999969,1.2999999999999998,3.3
1999-01-01,88.0,2.7,1.1999999999999993,11.000000000000005,9.800000000000006,1.2999999999999998,3.3
1999-01-01,89.0,2.6,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,90.0,2.5,1.4999999999999993,3.500000000000001,2.0000000000000018,1.2999999999999998,3.3
1999-01-01,91.0,2.5,10.169491531999997,19.481555332000006,9.31206380000001,1.2999999999999998,3.3
1999-01-01,92.0,2.36,22.217213993778273,13.586606570641344,-8.63060742313693,1.2999999999999998,3.3
1999-01-01,94.0,2.6,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,95.0,2.4,17.799999999999994,22.40000000000001,4.600000000000016,1.2999999999999998,3.3
1999-04-01,1.0,2.5,0.0,0.0,0.0,1.287962962962963,3.287962962962963
