Date,NIU_mean,NIU_median,NIU_std,Variance_mean,sigma_mean,Mean_spd_mean,POINT_mean,n_forecasters,NIU_se_lo,NIU_se_hi
1999-01-01,0.4209694112928614,0.3006883609043719,0.3203945007773474,0.39822841877381143,0.4845425467240332,2.031144186984377,2.064137931034483,58,0.37889955228791633,0.4630392702978065
1999-04-01,0.43158164442762376,0.31039096522529125,0.35258766542348885,0.5186980873276831,0.5049411286279839,2.1720986552324435,2.2377358490566035,53,0.3831500038637016,0.4800132849915459
1999-07-01,0.3999156167066007,0.2992763696670144,0.31752642724057994,0.32390925278404664,0.4405473680436625,2.414439767805666,2.417659574468085,47,0.35359962709679665,0.44623160631640474
1999-10-01,0.4311092401368036,0.3053012095012403,0.36295991212480866,0.5262906266449784,0.5404754224285894,2.7631292738049265,2.827959183673469,49,0.37925782411897374,0.4829606561546334
2000-01-01,0.4705408179884894,0.25174874496380645,0.4269571226634539,0.9948051260403568,0.6963506071647438,3.1931378042775647,3.089795918367347,50,0.41015996264624444,0.5309216733307344
2000-04-01,0.3417050654126564,0.24967701878494974,0.2597939112210784,0.40437379910336774,0.49291227059248965,3.2659648513190302,3.2386,52,0.3056781320295434,0.37773199879576935
2000-07-01,0.3498594672501307,0.2405351177211819,0.29479078200782144,0.5509235895235968,0.5276909338402336,3.3906403753866714,3.361489361702128,47,0.30685981233890214,0.3928591221613592
2000-10-01,0.3212647757567909,0.2479822242585245,0.19851141672973513,0.2694394305402938,0.4376980066363618,3.094684344326404,3.0708928571428573,58,0.29519894974407956,0.34733060176950226
2001-01-01,0.3816686397358471,0.2709400082373596,0.32000153527688086,0.4433526361278873,0.4815885680938735,2.732111081476233,2.7220408163265306,51,0.3368594620651868,0.42647781740650736
2001-04-01,0.35195723365140275,0.3020388098667473,0.2518226512900207,0.2792063960856401,0.4093558772735787,2.3495438235294115,2.3612244897959185,50,0.316344132774693,0.3875703345281125
2001-07-01,0.44485688470057605,0.3379041632503588,0.39083222316211164,0.5114431190290954,0.5194533274172071,2.008985382441565,1.9305555555555556,37,0.3806044630064235,0.5091093063947286
2001-10-01,0.48097462681957,0.31216319995992026,0.46415532763567796,1.4486162628765893,0.762229467832883,1.103474234611727,1.208974358974359,39,0.40665029112647355,0.5552989625126664
2002-01-01,0.3999673347987545,0.30511201139470223,0.327417033727883,0.4677968055977917,0.5047607402064186,1.6676446081448877,1.6238095238095238,42,0.3494457896598909,0.4504888799376181
2002-04-01,0.4339662823112782,0.33753114825477515,0.34407352832381344,0.4741835559039792,0.5150374229449491,2.295052749360614,2.3200000000000003,46,0.38323540823409774,0.48469715638845867
2002-07-01,0.4888313911679494,0.3871788307764474,0.3151917324863828,0.491652191530023,0.5827274653873259,2.406391845318964,2.438335294888889,46,0.4423589055663061,0.5353038767695927
2002-10-01,0.5309066752189789,0.37460285018083583,0.4341971203377542,1.007217287021241,0.6993277844684842,1.6089217183513658,1.6510416666666667,48,0.4682357191418883,0.5935776312960697
2003-01-01,0.5112073405160232,0.35086252036477383,0.39028382927130545,0.7192766217619738,0.6575112234761222,1.4652118255542435,1.5034082487234042,47,0.45427859307759855,0.5681360879544479
2003-04-01,0.5037366441486875,0.2627600752451886,0.44700294585968786,0.9076893898316557,0.6926697625892524,1.2461564463692791,1.2984444444444445,45,0.43710137927635945,0.5703719090210155
2003-07-01,0.5875207186775228,0.41144345211184774,0.4614129303873849,1.2595582253795559,0.8405274251062479,1.215479162453689,1.213952569767442,43,0.5171559064604689,0.6578855308945766
2003-10-01,0.5483696536943143,0.36727735936922795,0.6277171993466001,0.9899037601889907,0.6562861438585944,1.61199298190703,1.623540601875,48,0.45776648018988497,0.6389728271987437
2004-01-01,0.46775471390246687,0.3908428494371526,0.29155327638799894,0.371244510360538,0.5194570067866867,1.9185274093708977,1.9593749999999999,49,0.42610424584703843,0.5094051819578953
2004-04-01,0.460990293615112,0.4251851668080303,0.2734808192903705,0.34022893151183065,0.5080561479682493,1.8452802625326916,1.955819204074074,54,0.4237742679651285,0.4982063192650955
2004-07-01,0.47332814162093745,0.37250698272791527,0.3295587736014023,0.43690093201210817,0.5228947714823561,2.0540908017327393,2.0770833333333334,48,0.4257604299577943,0.5208958532840806
2004-10-01,0.45485337611696225,0.3406285836156202,0.3140241708943724,0.4308826924582072,0.5116599240041987,1.9719242027290038,1.970864379,50,0.41044365197778343,0.49926310025614107
2005-01-01,0.4320386213193086,0.3883108810143442,0.30168470398112057,0.33153531381961054,0.4705713975259251,1.88723692307498,1.8830793478,51,0.3897943130552437,0.4742829295833735
