Date,P_low_mean,P_low_std,P_high_mean,P_high_std,dP_mean,dP_std,low_threshold,high_threshold,n_forecasters,P_low_se_lo,P_low_se_hi,P_high_se_lo,P_high_se_hi,dP_se_lo,dP_se_hi,P_low_avg_spd,P_high_avg_spd,dP_avg_spd
1999-01-01,19.085521529825172,24.803678400303003,0.7520268896473538,2.3886127986842545,-18.333494640177822,25.040588012550085,1.0,3.0,56,15.770990583194493,22.40005247645585,0.432835078135221,1.0712187011594865,-21.679683965403573,-14.98730531495207,19.085521529825172,0.7520268896473538,-18.33349464017782
1999-04-01,10.57795429027227,15.96415972607781,1.3309845567603775,3.946849106528639,-9.246969733511893,16.39999320352783,1.0,3.0,53,8.385108307331274,12.770800273213267,0.7888431376672242,1.8731259758535308,-11.499682048703143,-6.994257418320643,10.577954290272269,1.3309845567603773,-9.246969733511891
1999-07-01,9.012312938980592,12.516411832549803,1.3643734043734044,4.076795157528836,-7.647939534607189,12.235595306111447,1.0,3.0,45,7.146476426182987,10.878149451778198,0.7566406642016417,1.972106144545167,-9.471914391250024,-5.823964677964352,9.012312938980592,1.3643734043734044,-7.647939534607188
1999-10-01,7.48326784721523,11.740223965387363,1.9038015795671601,4.731703950364215,-5.579466267648069,12.032190074669568,1.0,3.0,49,5.8060929950170355,9.160442699413425,1.2278438723722722,2.579759286762048,-7.298350564029436,-3.8605819712667024,7.48326784721523,1.9038015795671603,-5.57946626764807
2000-01-01,4.7637759288227155,8.706225898892749,1.481695571519523,3.8429066688706555,-3.282080357303192,8.097230715946022,1.0,3.0,52,3.556439625198471,5.97111223244696,0.9487803006950745,2.0146108423439717,-4.404964224057245,-2.159196490549139,4.7637759288227155,1.4816955715195226,-3.282080357303193
2000-04-01,5.626805538235295,9.721965059476622,1.9953114964705883,5.585279621080096,-3.631494041764706,9.675984092506587,1.0,3.0,51,4.265458133195165,6.988152943275424,1.2132159147579915,2.777407078183185,-4.986402823575586,-2.276585259953825,5.626805538235295,1.9953114964705883,-3.6314940417647064
2000-07-01,5.63535751952381,11.326345197852259,1.809656084761905,3.8043709825428746,-3.825701434761905,11.195194386479583,1.0,3.0,42,3.8876645126681533,7.383050526379466,1.2226288976569644,2.396683271866846,-5.553157432072511,-2.0982454374512995,5.635357519523811,1.8096560847619052,-3.825701434761905
2000-10-01,6.0724199597024775,9.579727116870608,2.023242761717387,3.911705586701545,-4.04917719798509,9.331685052011059,1.0,3.0,58,4.814540164216644,7.330299755188311,1.509610654730159,2.536874868704615,-5.274487474735056,-2.8238669212351235,6.072419959702478,2.0232427617173867,-4.049177197985092
2001-01-01,5.766371193887288,8.485966927655141,1.4497499618813177,2.971390366252098,-4.31662123200597,8.116980784587206,1.0,3.0,53,4.600733991054653,6.932008396719922,1.0415981054612278,1.8579018183014075,-5.43157429013754,-3.2016681738743986,5.766371193887287,1.4497499618813172,-4.31662123200597
2001-04-01,4.834752017989149,7.84962176168857,4.728236589075858,15.056073244264857,-0.10651542891329008,16.37424313516133,1.0,3.0,46,3.677388430369736,5.992115605608562,2.5083396979300394,6.948133480221677,-2.520765867317372,2.307735009490792,4.834752017989148,4.728236589075858,-0.10651542891328969
2001-07-01,6.567872428314729,8.733550556337342,2.8147543182638284,5.259221494528675,-3.7531181100509006,7.996639916072199,1.0,3.0,34,5.070080864632304,8.065663991997154,1.9128052730010898,3.716703363526567,-5.124530541551393,-2.381705678550408,6.567872428314728,2.814754318263829,-3.7531181100508992
2001-10-01,6.065432174417144,9.734149040762063,2.936847411919192,4.9292641006975755,-3.1285847624979524,9.859524184232958,1.0,3.0,37,4.465147929836446,7.665716418997842,2.126481385603858,3.747213438234526,-4.74948055369853,-1.507688971297375,6.065432174417144,2.936847411919192,-3.1285847624979524
2002-01-01,4.951898296793029,7.576200568592497,2.983879441462004,4.983152199625095,-1.9680188553310265,7.868331975860844,1.0,3.0,44,3.8097430866794584,6.0940535069066,2.2326409814897024,3.735117901434305,-3.154214532144034,-0.7818231785180192,4.951898296793029,2.9838794414620033,-1.9680188553310258
2002-04-01,3.174092563136539,4.82177648267512,4.406950769710257,9.797490321955257,1.232858206573718,10.169502992276003,1.0,3.0,43,2.438778543065208,3.90940658320787,2.9128475027645493,5.901054036655964,-0.31797646074151786,2.7836928738889535,3.1740925631365386,4.406950769710256,1.232858206573717
2002-07-01,4.136174679264876,5.532266387426464,3.17120357308173,4.499089864685162,-0.9649711061831463,5.7175236779273835,1.0,3.0,42,3.282527442802292,4.989821915727459,2.4769789351803144,3.8654282109831453,-1.847204163174922,-0.0827380491913704,4.136174679264876,3.1712035730817294,-0.9649711061831465
2002-10-01,5.53970398044253,6.296033813533285,4.844324613419568,7.568584223495551,-0.6953793670229622,7.996674931462034,1.0,3.0,40,4.544213626632478,6.535194334252582,3.647626372966427,6.041022853872709,-1.9597646915925069,0.5690059575465825,5.53970398044253,4.844324613419568,-0.6953793670229622
2003-01-01,6.698861492552142,8.177118738418187,3.561408532149667,6.603894285571207,-3.1374529604024755,9.062808298354202,1.0,3.0,43,5.451862575503417,7.945860409600868,2.5543240949724004,4.568492969326934,-4.519518269099957,-1.7553876517049938,6.698861492552142,3.5614085321496667,-3.1374529604024755
2003-04-01,9.649154351579142,16.85777744525861,3.139244204643793,6.524923871594965,-6.50991014693535,17.904529173142187,1.0,3.0,39,6.949749572012843,12.348559131145441,2.0944201913665497,4.184068217921037,-9.376929348179932,-3.6428909456907683,9.649154351579142,3.1392442046437923,-6.50991014693535
2003-07-01,9.325390912273523,10.908436032445053,3.1193942684273672,6.624639803710506,-6.205996643846157,12.346753388090537,1.0,3.0,39,7.578643189497207,11.07213863504984,2.0586029270355093,4.180185609819225,-8.183059469367798,-4.228933818324514,9.325390912273525,3.119394268427367,-6.205996643846158
2003-10-01,6.600553070815809,8.912046588243859,3.548173836200415,6.989135170720783,-3.0523792346153953,10.14024190376537,1.0,3.0,39,5.173483504015394,8.027622637616224,2.429016524618693,4.667331147782137,-4.676117449802326,-1.4286410194284647,6.600553070815812,3.548173836200415,-3.0523792346153975
2004-01-01,6.625064505416667,8.55010860210497,2.023356628541667,3.910390246756019,-4.601707876875,8.163580208645886,1.0,3.0,48,5.390962629660207,7.859166381173127,1.458940413141398,2.5877728439419356,-5.780019184628202,-3.4233965691217993,6.625064505416667,2.023356628541667,-4.601707876875
2004-04-01,5.4804657010204085,6.7021806435538505,2.353660188367347,4.026587938457572,-3.1268055126530614,6.228970933516044,1.0,3.0,49,4.523011323369858,6.437920078670959,1.7784333400162655,2.9288870367184288,-4.016658503155353,-2.2369525221507693,5.480465701020408,2.353660188367347,-3.1268055126530605
2004-07-01,4.5,5.1974183875013225,2.2948717948717947,4.337289277025985,-2.2051282051282053,5.568612636344642,1.0,3.0,39,3.6677469890568,5.3322530109432,1.6003496704230225,2.989393919320567,-3.096819865841752,-1.3134365444146587,4.500000000000001,2.2948717948717956,-2.2051282051282053
2004-10-01,4.676891778040378,6.923175119961348,2.631593293801319,4.8604443685180465,-2.04529848423906,6.605083073173203,1.0,3.0,40,3.582241677076013,5.771541879004744,1.8630895615485277,3.40009702605411,-3.089653816531656,-1.0009431519464635,4.676891778040378,2.6315932938013185,-2.04529848423906
2005-01-01,5.325340046721279,7.865291574774123,2.196214797159953,4.06061123765016,-3.129125249561326,7.810620346696231,1.0,3.0,49,4.20172696461069,6.448953128831868,1.6161274774956444,2.7763021168242616,-4.244928156232216,-2.0133223428904357,5.325340046721279,2.196214797159953,-3.129125249561326
2005-04-01,5.104731773404255,6.461435900127815,2.3406714600000003,3.9597252531768707,-2.7640603134042556,4.748325248206997,1.0,3.0,47,4.162234480767921,6.04722906604059,1.7630861696113578,2.9182567503886427,-3.4566747353632072,-2.071445891445304,5.104731773404255,2.3406714600000003,-2.764060313404255
2005-07-01,6.231965213333334,6.821630205382999,2.772540790909091,5.406472038911663,-3.459424422424242,6.077734992205568,1.0,3.0,33,5.044471817383676,7.419458609282992,1.831394811385326,3.7136867704328558,-4.517422283387309,-2.401426561461175,6.231965213333333,2.772540790909091,-3.459424422424242
2005-10-01,4.336880191578947,7.490703146099505,1.8316004065789473,4.014513350664374,-2.5052797850000004,6.504988868798843,1.0,3.0,38,3.1217276819500115,5.552032701207883,1.1803603456857532,2.4828404674721414,-3.56052832373634,-1.4500312462636606,4.336880191578947,1.831600406578947,-2.505279785
2006-01-01,2.9914831370325117,5.040770397054316,3.1004874433775473,4.543207760011087,0.10900430634503579,3.6808783677845662,1.0,3.0,44,2.2315584069706946,3.7514078670943287,2.4155731031690113,3.7854017835860834,-0.4459089866039285,0.6639175992940001,2.9914831370325112,3.1004874433775473,0.1090043063450361
2006-04-01,4.064129532119725,5.453387349398185,3.4749493830437856,5.603530693713036,-0.5891801490759389,5.929413424053944,1.0,3.0,45,3.2511865440602756,4.877072520179174,2.6396243467005256,4.310274419387046,-1.4730849146015659,0.29472461644968817,4.064129532119725,3.4749493830437856,-0.589180149075939
2006-07-01,2.4357524157999357,4.439512750619889,2.1537323070093906,3.4532123091129057,-0.28202010879054534,3.365370606087912,1.0,3.0,38,1.7155683482662367,3.155936483333635,1.5935472987588528,2.7139173152599283,-0.8279553111418221,0.26391509356073145,2.435752415799936,2.1537323070093906,-0.2820201087905456
2006-10-01,2.6511517377199354,4.4281883299048905,2.5768606266088248,4.653383598742097,-0.07429111111111109,4.993013197997151,1.0,3.0,45,1.991036396197362,3.3112670792425085,1.8831751564641626,3.270546096753487,-0.8186055726627941,0.6700233504405719,2.6511517377199354,2.5768606266088243,-0.07429111111111109
2007-01-01,2.380438458857581,4.4347269922945065,2.4037112386621717,4.262809381624844,0.023272779804590804,5.311705759014482,1.0,3.0,51,1.7594524703164378,3.0014244473987244,1.8067985307524692,3.0006239465718743,-0.7205147988518954,0.7670603584610771,2.380438458857581,2.4037112386621717,0.023272779804590638
2007-04-01,2.192725657849718,4.464265364654801,2.2001391417493266,4.523654097062975,0.007413483899608255,5.247699982986267,1.0,3.0,44,1.5197123315252135,2.8657389841742225,1.518172627144243,2.88210565635441,-0.7837070550058401,0.7985340228050567,2.192725657849718,2.2001391417493266,0.007413483899608497
2007-07-01,2.2735440053350566,3.5392320763837803,1.705976437767489,2.725964773980092,-0.5675675675675674,2.8629873727798203,1.0,3.0,37,1.691697836138926,2.855390174531187,1.2578305894950847,2.154122286039893,-1.0382397923205953,-0.09689534281453949,2.273544005335057,1.7059764377674895,-0.5675675675675675
2007-10-01,2.231287931695964,4.432928654272601,2.300108955886714,4.407993427452036,0.06882102419074966,4.660351047431988,1.0,3.0,43,1.5552726495329552,2.907303213858973,1.6278962601647606,2.9723216516086675,-0.6418758477906852,0.7795178961721845,2.231287931695964,2.300108955886714,0.06882102419075009
2008-01-01,2.268292682926829,4.049841912000407,3.682926829268293,5.529190828639592,1.4146341463414633,5.093994551214683,1.0,3.0,41,1.6358136364755804,2.9007717293780777,2.8194122973596687,4.546441361176917,0.6190858542382047,2.210182438444722,2.268292682926829,3.6829268292682924,1.4146341463414633
2008-04-01,2.1052569912675447,4.019873900348718,4.834051488480407,6.4795810421739075,2.728794497212862,6.410909988377616,1.0,3.0,41,1.4774581619322618,2.7330558206028277,3.822110941662013,5.845992035298801,1.72757856719869,3.7300104272270342,2.1052569912675443,4.834051488480407,2.7287944972128626
2008-07-01,3.0533835695756326,5.8144809267548565,8.083011133082111,9.768662684026708,5.029627563506479,10.695864931574148,1.0,3.0,38,2.1101502104997465,3.9966169286515187,6.49832478993225,9.667697476231973,3.2945291540838344,6.764725972929124,3.053383569575633,8.083011133082111,5.029627563506478
2008-10-01,3.954032980078451,5.804451688973045,4.060093136134701,5.796538251192979,0.10606015605625044,6.412994014455719,1.0,3.0,41,3.047529924110857,4.860536036046045,3.1548259515146917,4.96536032075471,-0.895481244150413,1.1076015562629138,3.9540329800784506,4.060093136134702,0.1060601560562513
2009-01-01,14.602657232163532,14.453332658591359,3.2645146208066813,4.549611774413382,-11.33814261135685,15.377467940353522,1.0,3.0,47,12.49442198680186,16.710892477525203,2.600885538013152,3.9281437036002105,-13.581176841735664,-9.095108380978038,14.602657232163532,3.264514620806681,-11.33814261135685
2009-04-01,19.359690667837835,19.95986095995003,2.530164445675676,5.824983147819908,-16.829526222162162,22.08956661447311,1.0,3.0,37,16.078309739266313,22.641071596409358,1.572543115103311,3.487785776248041,-20.46102860359577,-13.198023840728553,19.359690667837835,2.5301644456756756,-16.82952622216216
2009-07-01,18.880835135135136,21.42312032530141,2.592472972972973,4.595218063901299,-16.288362162162162,22.6864967945368,1.0,3.0,37,15.358895848734768,22.402774421535504,1.837023776820315,3.3479221691256313,-20.017999260690246,-12.558725063634078,18.880835135135136,2.5924729729729736,-16.288362162162162
2009-10-01,17.10648648648649,16.302535797336052,2.9972972972972975,4.8554961118811,-14.109189189189188,17.430633853837517,1.0,3.0,37,14.426366110895106,19.78660686207787,2.1990586536389447,3.7955359409556504,-16.974767742850553,-11.243610635527823,17.106486486486485,2.9972972972972975,-14.109189189189188
2010-01-01,18.689756097560977,15.85899358216102,3.3014634146341466,5.030847125969745,-15.388292682926831,16.599312169851952,1.0,3.0,41,16.21299741006763,21.166514785054325,2.5157770934849695,4.087149735783324,-17.98066970925593,-12.795915656597732,18.689756097560977,3.301463414634146,-15.388292682926831
2010-04-01,14.273823529411764,13.798972296977878,3.338235294117647,4.772017850679252,-10.935588235294118,14.40647606716496,1.0,3.0,34,11.907319304059383,16.640327754764144,2.5198409844513594,4.156629603783935,-13.406278497702324,-8.464897972885911,14.273823529411764,3.338235294117646,-10.93558823529412
2010-07-01,14.140882352941176,14.762642525963164,2.942941176470588,4.632012148288203,-11.19794117647059,15.414561745784951,1.0,3.0,34,11.60911004677386,16.672654659108492,2.148557646676249,3.7373247062649275,-13.84151670646455,-8.55436564647663,14.140882352941176,2.9429411764705886,-11.197941176470588
2010-10-01,13.920222267805405,13.343322154299432,3.4189337406810814,4.330482610347249,-10.501288527124325,13.528368622721143,1.0,3.0,37,11.72659361834944,16.11385091726137,2.7070067849965334,4.130860696365629,-12.725338628593253,-8.277238425655398,13.920222267805404,3.418933740681081,-10.501288527124323
2011-01-01,9.375235908861363,9.449158092720205,5.006350636306818,8.875348403892952,-4.368885272554546,12.736766978098634,1.0,3.0,44,7.9507217280294,10.799750089693326,3.668341520879882,6.344359751733754,-6.289025141124635,-2.4487454039844563,9.375235908861365,5.006350636306818,-4.368885272554547
2011-04-01,9.4343782618025,10.68665524551851,4.1854500409825,4.8305159426507025,-5.24892822082,10.69006132975736,1.0,3.0,40,7.74466970456128,11.12408681904372,3.4216784083559246,4.949221673609076,-6.939175327266079,-3.558681114373921,9.434378261802498,4.1854500409825,-5.248928220819998
2011-07-01,8.710471232530303,8.658431667632346,5.08292358220606,5.030697486162803,-3.6275476503242423,8.688373047463598,1.0,3.0,33,7.20323174357628,10.217710721484325,4.207191555992618,5.958655608419503,-5.139999264495368,-2.1150960361531164,8.710471232530304,5.082923582206062,-3.6275476503242423
2011-10-01,10.002610805179486,8.917957553620855,4.406096113735898,4.679780569999143,-5.5965146914435895,7.664559682255198,1.0,3.0,39,8.574594726406048,11.430626883952925,3.6567314908490167,5.1554607366227785,-6.823826483092019,-4.36920289979516,10.002610805179485,4.406096113735896,-5.596514691443589
2012-01-01,15.7427185203575,16.325511642172778,4.9208190798925004,5.157613847915199,-10.821899440465,16.832124600949417,1.0,3.0,40,13.161428482514411,18.32400855820059,4.105328727340635,5.736309432444366,-13.483292020402647,-8.160506860527352,15.7427185203575,4.9208190798925,-10.821899440465
2012-04-01,11.181953839808823,9.617729354835618,5.167031514,5.189767182417516,-6.014922325808824,8.649939930904205,1.0,3.0,34,9.53252686317094,12.831380816446707,4.276993784996371,6.057069243003628,-7.498374785526586,-4.5314698660910615,11.181953839808823,5.167031514,-6.014922325808824
