Date,NIU_1Y,NIU_2Y,NIU_5Y,NIU_merged,A_weighted_avg
1999-01-01,0.4209694112928614,0.5175106476020741,0.7056222196252426,0.5068623438521015,0.5068623438521015
1999-04-01,0.4315816444276237,0.4651695660286369,,0.44417711502800367,0.44417711502800367
1999-07-01,0.3999156167066007,0.4710584400076076,,0.42659417544447825,0.42659417544447825
1999-10-01,0.4311092401368036,0.5616814225866869,,0.4800738085555098,0.4800738085555098
2000-01-01,0.4705408179884894,0.5226785408375716,0.5676159330778797,0.5055971578610922,0.5055971578610922
2000-04-01,0.3417050654126564,0.413229144632016,,0.36852659511991626,0.36852659511991626
2000-07-01,0.3498594672501307,0.4328967102394356,,0.38099843337112,0.38099843337112
2000-10-01,0.3212647757567909,0.4222963346050143,,0.3591516103248747,0.3591516103248747
2001-01-01,0.3816686397358471,0.4494986022905414,0.5840136450157936,0.4424866295582447,0.4424866295582447
2001-04-01,0.3519572336514027,0.472311833521342,0.653239658930558,0.44832009866821554,0.44832009866821554
2001-07-01,0.444856884700576,0.533440210478695,0.7568137674119048,0.5338232589762775,0.5338232589762775
2001-10-01,0.48097462681957,0.5491160436529884,0.7664809864878732,0.5585183238032562,0.5585183238032562
2002-01-01,0.3999673347987545,0.5142150065083381,0.6543241095489416,0.48511299126166696,0.48511299126166696
2002-04-01,0.4339662823112782,0.4566148889903879,0.6373780871682346,0.48144322528640243,0.48144322528640243
2002-07-01,0.4888313911679494,0.685693852365243,0.707396166594514,0.5916030846124504,0.5916030846124504
2002-10-01,0.5309066752189789,0.6949168340781989,0.7421202604138177,0.6223524399157127,0.6223524399157127
2003-01-01,0.5112073405160232,0.7085205846684073,0.7252083899161837,0.6132015236417705,0.6132015236417705
2003-04-01,0.5037366441486875,0.6838871966602712,0.7330138467609516,0.6036372504246154,0.6036372504246154
2003-07-01,0.5875207186775228,0.6848778203202481,0.7931124358009597,0.6578461925950279,0.6578461925950279
2003-10-01,0.5483696536943143,0.7066554314624043,0.6798646121472953,0.6221543787153375,0.6221543787153375
2004-01-01,0.4677547139024668,0.6939636535041181,0.7827557034556692,0.5986175936936027,0.5986175936936027
2004-04-01,0.460990293615112,0.5926287614566482,0.7330734015010365,0.5548984555447578,0.5548984555447578
2004-07-01,0.4733281416209374,0.5311350102274017,0.773422405438071,0.5506890549663034,0.5506890549663034
2004-10-01,0.4548533761169622,0.528224017843663,0.7409572632932107,0.5340853460702222,0.5340853460702222
2005-01-01,0.4320386213193086,0.5116367163101198,0.6469953020236089,0.4989093859574121,0.4989093859574121
2005-04-01,0.4337109985261935,0.5182839032820993,0.6784805945686584,0.5080367891614582,0.5080367891614582
2005-07-01,0.4217360180295044,0.5302806996011202,0.6782828492471906,0.5056087887445264,0.5056087887445264
2005-10-01,0.4116118132878948,0.4632226190930555,0.6070393896759438,0.4661805703070528,0.4661805703070528
2006-01-01,0.4252816775040864,0.5058196821672655,0.6099441495120871,0.4863755733046403,0.4863755733046403
2006-04-01,0.4680416757826259,0.5379533105211215,0.683908579485069,0.5321885469446632,0.5321885469446632
2006-07-01,0.4536048287508556,0.4557828816187846,0.6219355482152557,0.48792438850411435,0.48792438850411435
2006-10-01,0.4587270314460004,0.5037003332105828,0.6566570367627632,0.5118050230387277,0.5118050230387277
2007-01-01,0.4418500947705312,0.4999717661807687,0.6952522717330597,0.5099670315861082,0.5099670315861082
2007-04-01,0.3838396578157228,0.4604253525500261,0.6637410711834133,0.46279564890955194,0.46279564890955194
2007-07-01,0.3797448807938043,0.4880318417266072,0.5786426068089087,0.45201051427666605,0.45201051427666605
2007-10-01,0.4895005639734531,0.5916665370469708,0.7397466118083124,0.5701995654624803,0.5701995654624803
2008-01-01,0.502929534325164,0.5706949121126264,0.7623225504377662,0.5751377508839232,0.5751377508839232
2008-04-01,0.5380993564106232,0.5344482789416891,0.6919221876702867,0.5677685994218757,0.5677685994218757
2008-07-01,0.7659041388878496,0.584618842747845,0.6762912967093617,0.6935959816101507,0.6935959816101507
2008-10-01,0.5303143820227632,0.4860137224934823,0.5974024393722035,0.530441795633867,0.530441795633867
2009-01-01,1.2786960860749608,0.6267254737409804,0.6508782211980674,0.957541329399388,0.957541329399388
2009-04-01,0.3170189720169946,0.5273509154493445,0.6736338447236707,0.45144152958803474,0.45144152958803474
2009-07-01,0.3414962972537393,0.5257292226431763,0.6459499150173513,0.4576568984232928,0.4576568984232928
2009-10-01,0.465256908116081,0.5748958550518017,0.7024257042676273,0.5455823514271065,0.5455823514271065
2010-01-01,0.5791411320373965,0.7157580990881806,0.8175207201793373,0.6678021397810199,0.6678021397810199
2010-04-01,0.5239138434784228,0.642114560711546,0.7277449421315169,0.6001402783789787,0.6001402783789787
2010-07-01,0.5223001739649402,0.6413722021151163,0.7060453244061621,0.5947708124982374,0.5947708124982374
2010-10-01,0.5313316094368352,0.6944665430072257,0.7659771095695088,0.6272011895344871,0.6272011895344871
2011-01-01,0.5284110083476197,0.6481405224019519,0.7188273317715811,0.6024131272487115,0.6024131272487115
2011-04-01,0.5654701925248797,0.6860783274815654,0.6927827080747877,0.627115136121867,0.627115136121867
2011-07-01,0.5948083564592631,0.7034184473610198,0.6933865329852598,0.6471070190349895,0.6471070190349895
2011-10-01,0.6239845713999469,0.7377344129261347,0.7367093822552923,0.6806544860288724,0.6806544860288724
2012-01-01,0.7647360155110265,0.7606471314296546,0.7438810670654863,0.7593383605975068,0.7593383605975068
2012-04-01,0.7215802034865418,0.7504830672011769,0.7755304659922586,0.7410411151020756,0.7410411151020756
2012-07-01,0.7876083348665108,0.6990629979382923,0.7229938098764139,0.7481218287900259,0.7481218287900259
2012-10-01,0.7500414397191154,0.7242884686258334,0.7737818940718427,0.7470636392616763,0.7470636392616763
2013-01-01,0.7723631866364977,0.7387773331388889,0.7897564260328214,0.7657660784664798,0.7657660784664798
2013-04-01,0.7235290035092923,0.7639072326164545,0.7980892272550937,0.7505545169906013,0.7505545169906013
2013-07-01,0.6993269808233297,0.6693613049960512,0.7664564338258093,0.703763168675642,0.703763168675642
2013-10-01,0.6277885957410092,0.7158185321831587,0.7647040430165584,0.6815806661287639,0.6815806661287639
2014-01-01,0.6041071768961356,0.7144524496609574,0.6988047507627726,0.6561502734989095,0.6561502734989095
2014-04-01,0.5809661490427972,0.7211374819484485,0.706359160141555,0.6480961511342442,0.6480961511342442
2014-07-01,0.6214277310689641,0.6725496981730803,0.6865926781184345,0.649797310610093,0.649797310610093
2014-10-01,0.631566998954536,0.7341875301359602,0.7460248118966859,0.6852447208973933,0.6852447208973933
2015-01-01,0.5949859099416129,0.7276154513247012,0.7077423374306203,0.6573260578543408,0.6573260578543408
