Date,var_of_avg_spd,mean_of_avg_spd,avg_indiv_var,disagreement,n_forecasters,rhs_sum,gap,disagreement_theo
1999-01-01,0.5499454056505102,1.4578571224733483,0.37598866218619265,0.17395674346431744,56,0.5499454056505101,1.1102230246251565e-16,0.17395674346431755
1999-04-01,0.5425900338010482,1.628320896194125,0.41566851038964486,0.12692152341140342,53,0.5425900338010483,-1.1102230246251565e-16,0.12692152341140334
1999-07-01,0.673884894456619,1.6391861902361806,0.5400171484208471,0.133867746035772,45,0.6738848944566191,-1.1102230246251565e-16,0.1338677460357719
1999-10-01,0.573947953361253,1.742330462602244,0.47446333770381893,0.0994846156574341,49,0.573947953361253,0.0,0.0994846156574341
2000-01-01,0.44853424033478534,1.7740252710698061,0.38662279559719737,0.061911444737587994,52,0.44853424033478534,0.0,0.06191144473758797
2000-04-01,0.6832326588162614,1.8167896476686272,0.5781379971355015,0.10509466168075984,51,0.6832326588162614,0.0,0.10509466168075987
2000-07-01,0.5173788063558787,1.885998234615476,0.4338740234909182,0.08350478286496041,42,0.5173788063558786,1.1102230246251565e-16,0.08350478286496055
2000-10-01,0.41159065187377075,1.8337450563649702,0.32931782636744483,0.08227282550632584,58,0.41159065187377064,1.1102230246251565e-16,0.08227282550632592
2001-01-01,0.4064112682577822,1.7753366568283186,0.3218629121081847,0.08454835614959752,53,0.4064112682577822,0.0,0.08454835614959749
2001-04-01,0.6915435414810045,1.8975586768326067,0.5662012457146564,0.12534229576634823,46,0.6915435414810046,-1.1102230246251565e-16,0.12534229576634814
2001-07-01,0.647710640274024,1.827664320823618,0.5682558375563124,0.07945480271771171,34,0.647710640274024,0.0,0.07945480271771166
2001-10-01,0.5927436040875161,1.8706408514611519,0.4939760129644954,0.09876759112302069,37,0.592743604087516,1.1102230246251565e-16,0.09876759112302075
2002-01-01,0.6076433280928916,1.8791784614140132,0.53515870511862,0.07248462297427155,44,0.6076433280928915,1.1102230246251565e-16,0.0724846229742716
2002-04-01,0.5584105907721316,1.9884197438174558,0.461011775111611,0.09739881566052074,43,0.5584105907721317,-1.1102230246251565e-16,0.09739881566052061
2002-07-01,0.5259567407074908,1.9525570642711099,0.4753407466210606,0.05061599408643022,42,0.5259567407074908,0.0,0.050615994086430194
2002-10-01,0.9075527258658005,1.9571421681356298,0.818182956682767,0.0893697691830338,40,0.9075527258658007,-2.220446049250313e-16,0.08936976918303352
2003-01-01,0.7157448441242868,1.8859860878645733,0.6388727834843654,0.0768720606399215,43,0.7157448441242868,0.0,0.07687206063992147
2003-04-01,1.0636426499014917,1.736462419249385,0.6694774066720843,0.3941652432294076,39,1.063642649901492,-2.220446049250313e-16,0.3941652432294074
2003-07-01,0.8003026866267209,1.7993434258598198,0.6749417498753844,0.12536093675133628,39,0.8003026866267207,2.220446049250313e-16,0.12536093675133653
2003-10-01,0.7312647763638235,1.902386268491726,0.6340631936661015,0.09720158269772183,39,0.7312647763638234,1.1102230246251565e-16,0.09720158269772194
2004-01-01,0.5257612186020527,1.8215225474812502,0.47649024992188127,0.0492709686801715,48,0.5257612186020528,-1.1102230246251565e-16,0.049270968680171445
2004-04-01,0.4680051202522836,1.8683933695556123,0.4227049328430156,0.045300187409267924,49,0.4680051202522835,5.551115123125783e-17,0.045300187409268
2004-07-01,0.48172547558730194,1.9477176113356278,0.42856562954999644,0.05315984603730545,39,0.4817254755873019,5.551115123125783e-17,0.0531598460373055
2004-10-01,0.5172316136110235,1.9641015730514266,0.48246198453144384,0.03476962907957978,40,0.5172316136110237,-1.1102230246251565e-16,0.0347696290795797
2005-01-01,0.5272170831405193,1.873586919905599,0.4722093110735981,0.05500777206692117,49,0.5272170831405193,0.0,0.0550077720669212
2005-04-01,0.43722363844426076,1.8926603222978722,0.40929195698930043,0.027931681454960406,47,0.4372236384442608,-5.551115123125783e-17,0.027931681454960333
2005-07-01,0.7798558852196925,1.8726259379833334,0.7242669909509749,0.055588894268717666,33,0.7798558852196926,-1.1102230246251565e-16,0.055588894268717604
2005-10-01,0.4204244299412395,1.9085714048592104,0.3967670056473129,0.02365742429392661,38,0.42042442994123946,5.551115123125783e-17,0.023657424293926643
2006-01-01,0.5052729298646841,2.025238144058266,0.47827488495226694,0.026998044912417044,44,0.505272929864684,1.1102230246251565e-16,0.02699804491241714
2006-04-01,0.6387078604880166,1.990392440948321,0.5788325144024179,0.059875346085598705,45,0.6387078604880166,0.0,0.059875346085598746
2006-07-01,0.3247503658224715,1.9789802340418827,0.30077457540958147,0.023975790412890035,38,0.3247503658224715,0.0,0.023975790412890052
2006-10-01,0.40629868744658315,1.9780286423143394,0.37243789289579143,0.03386079455079177,45,0.4062986874465832,-5.551115123125783e-17,0.03386079455079172
2007-01-01,0.3837949790588069,1.9660799707006609,0.3505516925172145,0.03324328654159243,51,0.38379497905880694,-5.551115123125783e-17,0.033243286541592365
2007-04-01,0.4057136769034917,1.9857134117653286,0.37244271026273595,0.03327096664075577,44,0.4057136769034917,0.0,0.03327096664075574
2007-07-01,0.29893755283285034,1.984924403085008,0.2796721815144867,0.019265371318363575,37,0.2989375528328503,5.551115123125783e-17,0.019265371318363644
2007-10-01,0.39916058720788705,2.010242200806948,0.37155975253474727,0.027600834673139805,43,0.39916058720788705,0.0,0.027600834673139785
2008-01-01,0.5558558298631767,2.061219512195122,0.5093137195121952,0.04654211035098156,41,0.5558558298631767,0.0,0.04654211035098155
2008-04-01,0.7023842030296124,2.171499615085455,0.6451694095687717,0.05721479346084089,41,0.7023842030296126,-2.220446049250313e-16,0.057214793460840685
2008-07-01,0.5611715926496336,2.1752467330389136,0.491187274343108,0.0699843183065255,38,0.5611715926496335,1.1102230246251565e-16,0.06998431830652557
2008-10-01,0.3821710665974405,2.029351877432078,0.3360044847843759,0.04616658181306451,41,0.3821710665974404,1.1102230246251565e-16,0.0461665818130646
2009-01-01,0.722851266657779,1.6823880886436917,0.591870872809157,0.13098039384862203,47,0.722851266657779,0.0,0.13098039384862203
2009-04-01,0.6842647739923288,1.5904139131594597,0.4526268813261222,0.23163789266620663,37,0.6842647739923289,-1.1102230246251565e-16,0.23163789266620655
2009-07-01,0.70830352769627,1.602438986486487,0.4741574792755068,0.23414604842076336,37,0.7083035276962701,-1.1102230246251565e-16,0.23414604842076325
2009-10-01,0.6678050355181702,1.6696952702702708,0.5167901673141891,0.15101486820398102,37,0.6678050355181702,0.0,0.15101486820398102
2010-01-01,0.7110728035243159,1.6259884146341463,0.5830871900457316,0.12798561347858414,41,0.7110728035243158,1.1102230246251565e-16,0.12798561347858428
2010-04-01,0.567702454824827,1.7030632352941173,0.46734197077205886,0.10036048405276819,34,0.5677024548248271,-1.1102230246251565e-16,0.1003604840527681
2010-07-01,0.5694391505168684,1.7027191176470586,0.4618167273897059,0.10762242312716261,34,0.5694391505168686,-1.1102230246251565e-16,0.10762242312716253
2010-10-01,0.5949540811102378,1.7009786485961147,0.5141301624618441,0.0808239186483937,37,0.5949540811102377,1.1102230246251565e-16,0.08082391864839378
2011-01-01,0.6313270976035589,1.8655881912653802,0.5131366527692944,0.11819044483426443,44,0.6313270976035589,0.0,0.11819044483426444
2011-04-01,0.5617212595602501,1.8630461137017622,0.4990973101180426,0.06262394944220742,40,0.56172125956025,1.1102230246251565e-16,0.0626239494422075
2011-07-01,0.5872442060489982,1.9337210690503417,0.545474807055176,0.04176939899382191,33,0.587244206048998,2.220446049250313e-16,0.04176939899382215
2011-10-01,0.6201719867579325,1.862434202862198,0.5824810258087617,0.03769096094917091,39,0.6201719867579326,-1.1102230246251565e-16,0.03769096094917079
2012-01-01,0.7730234394250577,1.7582255709464756,0.6859587042039211,0.0870647352211365,40,0.7730234394250577,0.0,0.08706473522113656
2012-04-01,0.7381601139341525,1.8688307778303601,0.6883295128678711,0.049830601066281455,34,0.7381601139341526,-1.1102230246251565e-16,0.049830601066281344
2012-07-01,0.6201820772160437,1.8836402092255,0.5638630818204887,0.05631899539555511,30,0.6201820772160438,-1.1102230246251565e-16,0.05631899539555496
2012-10-01,0.7074268454334194,1.935123637625048,0.6409517968673676,0.06647504856605177,36,0.7074268454334194,0.0,0.0664750485660518
2013-01-01,0.6327480664938587,1.8287808209571244,0.5323803014378565,0.10036776505600245,40,0.632748066493859,-2.220446049250313e-16,0.1003677650560022
2013-04-01,0.6988652910769857,1.7898941642404167,0.6185163437935989,0.08034894728338692,36,0.6988652910769858,-1.1102230246251565e-16,0.08034894728338682
2013-07-01,0.6743370599565979,1.7459510068824142,0.6075756589782211,0.0667614009783769,35,0.674337059956598,-1.1102230246251565e-16,0.0667614009783768
2013-10-01,0.6757892514764737,1.6755458681981856,0.575236838202609,0.10055241327386481,35,0.6757892514764737,0.0,0.10055241327386477
2014-01-01,0.5857373537811865,1.5821720295311361,0.521278901772761,0.06445845200842548,37,0.5857373537811865,0.0,0.06445845200842548
2014-04-01,0.5645970514592203,1.4966891713752375,0.5053549834032234,0.059242068055996834,35,0.5645970514592202,1.1102230246251565e-16,0.059242068055996966
2014-07-01,0.480407065325517,1.5153774438418244,0.4374327426137437,0.042974322711773386,36,0.4804070653255171,-5.551115123125783e-17,0.042974322711773316
2014-10-01,0.6044701899413508,1.4073448419070513,0.5385558798616183,0.06591431007973247,39,0.6044701899413508,0.0,0.06591431007973247
2015-01-01,0.727504826397937,1.2146699633177191,0.5823071811382502,0.14519764525968704,41,0.7275048263979372,-2.220446049250313e-16,0.14519764525968681
2015-04-01,0.6871222240787295,1.4542620873777616,0.6079231883295634,0.07919903574916601,43,0.6871222240787294,1.1102230246251565e-16,0.07919903574916609
2015-07-01,0.6883673227755152,1.5686496072700546,0.601873157907293,0.0864941648682221,29,0.6883673227755152,0.0,0.08649416486822215
2015-10-01,0.6880357957142855,1.5206999999999997,0.6070828964285715,0.0809528992857143,35,0.6880357957142857,-2.220446049250313e-16,0.08095289928571403
2016-01-01,0.6277976733833343,1.493130720264858,0.5441197860328665,0.08367788735046776,37,0.6277976733833343,0.0,0.08367788735046777
2016-04-01,0.6718015983350676,1.4844193548387097,0.5968646491935484,0.07493694914151926,31,0.6718015983350677,-1.1102230246251565e-16,0.07493694914151916
2016-07-01,0.6453613913112956,1.476007300896808,0.5738148403612178,0.07154655095007802,30,0.6453613913112958,-2.220446049250313e-16,0.07154655095007778
2016-10-01,0.7108564425962395,1.46755885451925,0.6454011435842592,0.0654552990119803,29,0.7108564425962395,0.0,0.06545529901198033
2017-01-01,0.5852461231579813,1.5518789433970834,0.5444136216743943,0.04083250148358712,39,0.5852461231579814,-1.1102230246251565e-16,0.04083250148358697
2017-04-01,0.6675466326706954,1.635818148629056,0.6348044058637561,0.032742226806939334,31,0.6675466326706954,0.0,0.03274222680693928
2017-07-01,0.6152630810880647,1.6195671835008216,0.582382811987321,0.03288026910074382,35,0.6152630810880648,-1.1102230246251565e-16,0.03288026910074371
2017-10-01,0.5320431668734176,1.6628789208772572,0.4685247132786618,0.06351845359475579,36,0.5320431668734176,0.0,0.06351845359475577
2018-01-01,0.5673546794001613,1.7445505675582786,0.5075847175392189,0.059769961860942404,35,0.5673546794001613,0.0,0.05976996186094241
2018-04-01,0.550092269696722,1.759508224989017,0.4911862659469977,0.058906003749724364,29,0.5500922696967221,-1.1102230246251565e-16,0.05890600374972427
2018-07-01,0.5872607365438827,1.7523521049045885,0.5369189831186418,0.05034175342524092,31,0.5872607365438828,-1.1102230246251565e-16,0.05034175342524083
2018-10-01,0.7593207310063975,1.8009943171044003,0.7094156147907913,0.049905116215606206,30,0.7593207310063975,0.0,0.04990511621560623
2019-01-01,0.8738854593272077,1.7114658402259,0.6930550089520383,0.18083045037516943,35,0.8738854593272077,0.0,0.18083045037516943
2019-04-01,0.6502360441675397,1.6191459065951046,0.5539361782896192,0.0962998658779207,31,0.6502360441675399,-2.220446049250313e-16,0.0962998658779205
2019-07-01,0.6075428961475456,1.4585978677174998,0.548313574778198,0.05922932136934768,27,0.6075428961475456,0.0,0.059229321369347665
2019-10-01,0.5761437186063634,1.4191211566990531,0.5347367372960579,0.04140698131030549,33,0.5761437186063634,0.0,0.04140698131030551
2020-01-01,0.5263758800235843,1.4457769872143296,0.47456226051161304,0.05181361951197125,44,0.5263758800235843,0.0,0.05181361951197122
2020-04-01,0.8593941918631434,1.317250251808484,0.7903415299821168,0.06905266188102634,31,0.8593941918631431,2.220446049250313e-16,0.06905266188102654
2020-07-01,0.9175108058995162,1.262809109938526,0.7969252147272283,0.12058559117228755,29,0.9175108058995158,3.3306690738754696e-16,0.12058559117228784
2020-10-01,0.8775804526309018,1.2665340240063616,0.7712597912822604,0.10632066134864175,38,0.8775804526309021,-3.3306690738754696e-16,0.10632066134864138
