Date,FCT_SOURCE,POINT,P_low,P_high,dP,low_threshold,high_threshold
2000-01-01,41,1.5,0.0,0.0,0.0,1.0,3.0
2000-01-01,42,1.5,0.0,0.0,0.0,1.0,3.0
2000-01-01,44,2.1,5.0,15.000000000000002,10.000000000000002,1.0,3.0
2000-01-01,46,0.74,55.44554455445545,9.9009900990099,-45.54455445544555,1.0,3.0
2000-01-01,48,1.7,0.0,0.0,0.0,1.0,3.0
2000-01-01,49,1.5,9.090909090909092,0.0,-9.090909090909092,1.0,3.0
2000-01-01,50,1.5,0.0,0.0,0.0,1.0,3.0
2000-01-01,53,2.4,0.0,0.0,0.0,1.0,3.0
2000-01-01,54,1.5,10.0,0.0,-10.0,1.0,3.0
2000-01-01,55,1.8,26.0,8.600000000000001,-17.4,1.0,3.0
2000-01-01,61,1.8,0.0,0.0,0.0,1.0,3.0
2000-01-01,64,2.4,3.0,13.0,10.0,1.0,3.0
2000-01-01,65,1.6,0.0,0.0,0.0,1.0,3.0
2000-01-01,66,1.6,0.0,0.0,0.0,1.0,3.0
2000-01-01,67,1.9,0.0,0.0,0.0,1.0,3.0
2000-01-01,71,1.5,10.0,3.0,-7.0,1.0,3.0
2000-01-01,72,2.3,20.0,20.0,0.0,1.0,3.0
2000-01-01,73,2.0,0.0,0.0,0.0,1.0,3.0
2000-01-01,87,1.5,15.000000000000002,0.0,-15.000000000000002,1.0,3.0
2000-01-01,89,1.8,5.0,0.0,-5.0,1.0,3.0
2000-01-01,90,2.1,0.0,0.0,0.0,1.0,3.0
2000-01-01,91,1.1,40.14014014401401,0.0,-40.14014014401401,1.0,3.0
2000-01-01,93,,0.0,0.0,0.0,1.0,3.0
2000-01-01,94,1.6,0.0,0.0,0.0,1.0,3.0
2000-01-01,95,1.6,22.222222222222225,4.040404040404041,-18.181818181818183,1.0,3.0
2001-01-01,1,1.8,10.0,10.0,0.0,1.0,3.0
2001-01-01,2,2.0,0.0,12.5,12.5,1.0,3.0
2001-01-01,3,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,4,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,5,1.8,5.0,0.0,-5.0,1.0,3.0
2001-01-01,9,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,10,1.4,10.0,0.0,-10.0,1.0,3.0
2001-01-01,11,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,14,1.5,0.0,0.0,0.0,1.0,3.0
2001-01-01,15,1.5,5.0,5.0,0.0,1.0,3.0
2001-01-01,16,1.9,5.0,5.0,0.0,1.0,3.0
2001-01-01,17,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,18,1.7,10.0,0.0,-10.0,1.0,3.0
2001-01-01,19,2.0,0.0,0.0,0.0,1.0,3.0
2001-01-01,20,2.0,0.0,0.0,0.0,1.0,3.0
2001-01-01,22,1.5,16.0,4.0,-12.0,1.0,3.0
2001-01-01,23,2.5,0.0,0.0,0.0,1.0,3.0
2001-01-01,24,2.0,0.0,0.0,0.0,1.0,3.0
2001-01-01,26,1.8,15.000000000000002,15.000000000000002,0.0,1.0,3.0
2001-01-01,30,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,33,2.3,0.0,0.0,0.0,1.0,3.0
2001-01-01,36,2.3,5.0,15.000000000000002,10.000000000000002,1.0,3.0
2001-01-01,37,2.0,0.0,0.0,0.0,1.0,3.0
2001-01-01,38,1.5,0.0,0.0,0.0,1.0,3.0
2001-01-01,39,2.1,0.0,1.0,1.0,1.0,3.0
2001-01-01,41,1.1,40.0,0.0,-40.0,1.0,3.0
2001-01-01,42,1.5,0.0,0.0,0.0,1.0,3.0
2001-01-01,50,1.75,0.0,0.0,0.0,1.0,3.0
2001-01-01,53,1.9,0.0,0.0,0.0,1.0,3.0
2001-01-01,54,1.5,10.0,0.0,-10.0,1.0,3.0
2001-01-01,59,1.75,0.0,0.0,0.0,1.0,3.0
2001-01-01,63,1.7,0.0,0.0,0.0,1.0,3.0
2001-01-01,67,1.86,0.0,0.0,0.0,1.0,3.0
2001-01-01,68,1.8,5.0,2.0,-3.0,1.0,3.0
2001-01-01,70,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,73,,0.0,0.0,0.0,1.0,3.0
2001-01-01,85,2.0,0.0,0.0,0.0,1.0,3.0
2001-01-01,87,1.5,15.000000000000002,0.0,-15.000000000000002,1.0,3.0
2001-01-01,89,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,93,1.8,0.0,0.0,0.0,1.0,3.0
2001-01-01,94,2.25,0.0,10.0,10.0,1.0,3.0
2001-01-01,95,1.6,11.0,0.0,-11.0,1.0,3.0
2001-01-01,96,2.0,2.0,15.000000000000002,13.000000000000002,1.0,3.0
2001-04-01,1,1.5,30.000000000000004,5.0,-25.000000000000004,1.0,3.0
2001-04-01,2,2.0,0.0,12.5,12.5,1.0,3.0
2001-04-01,3,1.8,0.0,0.0,0.0,1.0,3.0
2001-04-01,4,1.8,10.0,0.0,-10.0,1.0,3.0
2001-04-01,5,1.8,0.0,0.0,0.0,1.0,3.0
2001-04-01,9,1.8,0.0,0.0,0.0,1.0,3.0
2001-04-01,10,1.75,10.0,0.0,-10.0,1.0,3.0
2001-04-01,11,1.9,0.0,0.0,0.0,1.0,3.0
2001-04-01,14,1.5,0.0,0.0,0.0,1.0,3.0
2001-04-01,15,1.8,10.0,0.0,-10.0,1.0,3.0
2001-04-01,17,1.8,5.0,5.0,0.0,1.0,3.0
2001-04-01,19,2.0,0.0,0.0,0.0,1.0,3.0
2001-04-01,22,1.6,13.0,2.0,-11.0,1.0,3.0
2001-04-01,23,2.5,0.0,10.0,10.0,1.0,3.0
2001-04-01,24,2.0,0.0,0.0,0.0,1.0,3.0
2001-04-01,26,1.8,17.5,7.500000000000001,-10.0,1.0,3.0
2001-04-01,28,1.5,10.0,0.0,-10.0,1.0,3.0
2001-04-01,33,2.0,0.0,0.0,0.0,1.0,3.0
2001-04-01,36,2.0,5.0,15.000000000000002,10.000000000000002,1.0,3.0
2001-04-01,37,2.0,0.0,0.0,0.0,1.0,3.0
2001-04-01,38,1.6,0.0,0.0,0.0,1.0,3.0
2001-04-01,39,1.8,1.0,0.0,-1.0,1.0,3.0
2001-04-01,42,1.6,0.0,0.0,0.0,1.0,3.0
2001-04-01,46,3.13,0.0,68.0,68.0,1.0,3.0
2001-04-01,52,1.5,10.0,0.0,-10.0,1.0,3.0
2001-04-01,53,2.0,0.0,0.0,0.0,1.0,3.0
2001-04-01,54,1.5,5.0,0.0,-5.0,1.0,3.0
2001-04-01,59,1.75,35.0,0.0,-35.0,1.0,3.0
2001-04-01,60,1.75,15.000000000000002,5.0,-10.000000000000002,1.0,3.0
2001-04-01,70,1.7,10.0,0.0,-10.0,1.0,3.0
2001-04-01,71,1.5,20.0,0.0,-20.0,1.0,3.0
2001-04-01,72,1.6,22.0,18.0,-4.0,1.0,3.0
2001-04-01,76,2.0,10.0,10.0,0.0,1.0,3.0
2001-04-01,84,1.7,0.0,5.0,5.0,1.0,3.0
2001-04-01,85,2.0,0.0,5.0,5.0,1.0,3.0
2001-04-01,87,1.5,15.000000000000002,0.0,-15.000000000000002,1.0,3.0
2001-04-01,89,1.8,5.0,5.0,0.0,1.0,3.0
2001-04-01,90,2.0,0.0,0.0,0.0,1.0,3.0
2001-04-01,91,1.5,50.0,0.0,-50.0,1.0,3.0
2001-04-01,93,1.7,0.0,0.0,0.0,1.0,3.0
2001-04-01,94,1.8,10.0,0.0,-10.0,1.0,3.0
2001-07-01,1,2.0,15.000000000000002,15.000000000000002,0.0,1.0,3.0
2001-07-01,3,2.0,0.0,0.0,0.0,1.0,3.0
2001-07-01,5,1.8,5.0,0.0,-5.0,1.0,3.0
2001-07-01,11,1.9,0.0,0.0,0.0,1.0,3.0
2001-07-01,15,1.75,5.0,5.0,0.0,1.0,3.0
2001-07-01,19,2.0,0.0,0.0,0.0,1.0,3.0
2001-07-01,22,1.7,10.0,4.0,-6.0,1.0,3.0
2001-07-01,23,2.5,0.0,10.0,10.0,1.0,3.0
2001-07-01,24,1.9,0.0,0.0,0.0,1.0,3.0
2001-07-01,26,1.8,5.0,5.0,0.0,1.0,3.0
