Date,FCT_SOURCE,POINT,Mean_spd,Variance_spd,sigma_spd,Q1,Q2_median_spd,Q3,Bowley_Skewness,NIU,bins_filled,entropy_norm,I_informativeness,Bowley_smoothed,Q2_norm,A_norm,ACI,coherence
1999-01-01,1,1.7,1.7,0.1225,0.35,1.4166666666666667,1.7,1.95,-0.0624999999999997,0.3069703067574602,3,0.3901593961259963,0.3901593961259963,-0.0624999999999997,-0.6581107760257361,-0.720404268755657,-0.5080192599855364,0.7370529061815192
1999-01-01,2,1.2,1.025,0.186875,0.4322904116447645,0.6875,1.0,1.3571428571428572,0.0666666666666667,0.3076040525814914,4,0.4731918967211457,0.4731918967211457,0.0666666666666667,-0.9896955173948945,0.7482867758126743,-0.015656801255335796,0.12971196612615893
1999-01-01,3,1.2,1.2,0.3225,0.5678908345800273,0.75,1.1666666666666667,1.625,0.0476190476190474,0.4232808366400097,5,0.5701991642222377,0.5701991642222377,0.0476190476190474,-0.9754044986679044,0.5993799957576205,-0.03904657763308465,0.20768102786323378
1999-01-01,4,1.8,1.7,0.0725,0.2692582403567252,1.5357142857142858,1.7142857142857142,1.8928571428571428,6.217248937900879e-16,0.2361550989693653,3,0.3038276370677527,0.3038276370677527,6.217248937900879e-16,-0.636269015732076,9.037243042806476e-15,-0.15906725393301582,0.4999999999999971
1999-01-01,5,1.5,1.3,0.0725,0.2692582403567252,1.1071428571428572,1.2857142857142856,1.4642857142857144,1.243449787580175e-15,0.2065116433122583,3,0.3038276370677527,0.3038276370677527,1.243449787580175e-15,-0.9544653550762885,1.807448608561294e-14,-0.2386163387690635,0.4999999999999914
1999-01-01,6,1.3,1.3,0.1225,0.35,1.05,1.3,1.5833333333333333,0.0624999999999997,0.2684377460965796,3,0.3901593961259963,0.3901593961259963,0.0624999999999997,-0.9509968204584933,0.720404268755657,-0.018153273592187033,0.15744891548432216
1999-01-01,9,0.7,0.75,0.05,0.2236067977499789,0.59375,0.75,0.90625,0.0,0.1490711984999859,3,0.2421439854598914,0.2421439854598914,0.0,-0.9972252330980789,0.0,-0.24930630827451972,0.5
1999-01-01,10,1.6,1.3,0.1225,0.35,1.05,1.3,1.5833333333333333,0.0624999999999997,0.2684377460965796,3,0.3901593961259963,0.3901593961259963,0.0624999999999997,-0.9509968204584933,0.720404268755657,-0.018153273592187033,0.15744891548432216
1999-01-01,11,1.6,1.65,0.04,0.2,1.53125,1.6875,1.84375,0.0,0.172132593164774,2,0.1896140784524526,0.1896140784524526,0.0,-0.6763569004549554,0.0,-0.16908922511373886,0.5
1999-01-01,14,1.7,1.65,0.04,0.2,1.53125,1.6875,1.84375,0.0,0.172132593164774,2,0.1896140784524526,0.1896140784524526,0.0,-0.6763569004549554,0.0,-0.16908922511373886,0.5
1999-01-01,16,2.0,2.2375,2.71546875,1.6478679407039871,1.3333333333333333,2.0,2.6666666666666665,-1.6653345369377348e-16,1.4813231186402858,8,0.7476159703894162,0.7476159703894162,-1.6653345369377348e-16,0.0,-2.420690100751734e-15,-6.051725251879335e-16,0.5
1999-01-01,17,2.0,2.0,0.3625,0.6020797289396148,1.5833333333333333,2.0,2.4166666666666665,-2.664535259100376e-16,0.6020797289396148,6,0.6029019860848139,0.6029019860848139,-2.664535259100376e-16,0.0,-3.8731041612027745e-15,-9.682760403006936e-16,0.5
1999-01-01,18,1.2,0.9875,1.18421875,1.0882181536805935,0.7,1.125,1.4375,-0.1525423728813559,0.7670930041518002,7,0.6149797219062879,0.6149797219062879,-0.1525423728813559,-0.9801998425187819,-0.9765592813455529,-0.9574536148208909,0.9786116268925829
1999-01-01,19,1.2,1.0,0.0625,0.25,0.75,1.0,1.25,0.0,0.1767766952966368,2,0.2626495350371935,0.2626495350371935,0.0,-0.9896955173948945,0.0,-0.24742387934872362,0.5
1999-01-01,20,1.5,1.4,0.0525,0.229128784747792,1.1785714285714286,1.3571428571428572,1.5833333333333333,0.117647058823529,0.1811422093273679,2,0.2314706449154516,0.2314706449154516,0.117647058823529,-0.9343671170998189,0.9366584938209493,7.150075129471674e-05,0.06240855171073051
1999-01-01,23,2.1,2.0,0.1625,0.4031128874149275,1.6875,2.0,2.3125,0.0,0.4031128874149275,4,0.4522636134896463,0.4522636134896463,0.0,0.0,0.0,0.0,0.5
1999-01-01,24,2.1,1.925,0.356875,0.5973901572674261,1.5,1.9166666666666667,2.333333333333333,0.0,0.5761742307549398,6,0.5964641177259571,0.5964641177259571,0.0,-0.21584910386918735,0.0,-0.05396227596729684,0.5
1999-01-01,26,1.6,1.65,0.09,0.3,1.4166666666666667,1.6666666666666667,1.875,-0.090909090909091,0.2581988897471611,3,0.3402524510476205,0.3402524510476205,-0.090909090909091,-0.7050102936207568,-0.8671397563569856,-0.6333180299909603,0.805671227119735
1999-01-01,28,1.0,1.25,0.1,0.3162277660168379,1.0416666666666667,1.25,1.4583333333333333,0.0,0.2390457218668787,3,0.3600795361924829,0.3600795361924829,0.0,-0.9621204046622561,0.0,-0.24053010116556403,0.5
1999-01-01,29,1.4,1.35,0.14,0.3741657386773941,1.0625,1.375,1.6875,0.0,0.2912876325017677,3,0.3997337064822076,0.3997337064822076,0.0,-0.9281318510168911,0.0,-0.23203296275422278,0.5
1999-01-01,31,1.9,1.8,0.1225,0.35,1.55,1.8,2.083333333333333,0.0625000000000001,0.3195048252113469,3,0.3901593961259963,0.3901593961259963,0.0625000000000001,-0.48255982858647883,0.7204042687556598,0.03879015912925137,0.32618091977815056
1999-01-01,32,1.8,1.55,0.36,0.6,1.125,1.625,1.9375,-0.2307692307692307,0.4982728791224398,6,0.5900262493670999,0.5900262493670999,-0.2307692307692307,-0.7560125669184669,-0.9975627475107155,-0.7690172906702096,0.8770849867039072
