Date,FCT_SOURCE,POINT,Mean_spd,Variance_spd,sigma_spd,Q1,Q2_median_spd,Q3,Bowley_Skewness,NIU,bins_filled,entropy_norm,I_informativeness,Bowley_smoothed,Q2_norm,A_norm,ACI,coherence
1999-01-01,1.0,2.3,2.3,0.0975,0.3122498999199199,2.0833333333333335,2.2916666666666665,2.5,1.0658141036401506e-15,0.3122498999199199,3,0.2681638594481381,0.2681638594481381,1.0658141036401506e-15,-0.02232879423307851,1.9895196601282602e-14,-0.0055821985582646515,0.4999999999999998
1999-01-01,2.0,2.5,2.5,0.2625,0.51234753829798,2.0833333333333335,2.5,2.9166666666666665,0.0,0.4677071733467426,4,0.3907209761606285,0.3907209761606285,0.0,0.48993906295190004,0.0,0.12248476573797501,0.5
1999-01-01,3.0,2.5,2.5,0.5625,0.75,1.875,2.5,3.125,0.0,0.6846531968814575,6,0.4999466804564632,0.4999466804564632,0.0,0.48993906295190004,0.0,0.12248476573797501,0.5
1999-01-01,4.0,2.5,2.5,0.3625,0.6020797289396148,2.0833333333333335,2.5,2.9166666666666665,0.0,0.5496210815947049,6,0.4550520419150474,0.4550520419150474,0.0,0.48993906295190004,0.0,0.12248476573797501,0.5
1999-01-01,5.0,2.6,2.525,0.186875,0.4322904116447645,2.1875,2.5,2.857142857142857,0.0666666666666667,0.390577803271209,4,0.357150820183764,0.357150820183764,0.0666666666666667,0.48993906295190004,0.8467184192980205,0.4727892613814091,0.707420214467493
1999-01-01,6.0,2.7,2.6,0.2025,0.45,2.25,2.625,2.9375,-0.0909090909090909,0.3946761086881631,4,0.3660378830403215,0.3660378830403215,-0.0909090909090909,0.7018654821147119,-0.9350291771403882,-0.020036647919578782,0.17186764789751952
1999-01-01,9.0,2.5,2.6,0.0525,0.229128784747792,2.4166666666666665,2.642857142857143,2.8214285714285716,-0.1176470588235289,0.200959238117125,2,0.1747069872769527,0.1747069872769527,-0.1176470588235289,0.7253401853712476,-0.975554466562188,-0.018290109879554747,0.14619557119201698
1999-01-01,10.0,2.5,2.825,0.231875,0.4815340071064555,2.55,2.8,3.125,0.1304347826086959,0.3899348411310135,5,0.3812588046907213,0.3812588046907213,0.1304347826086959,0.8716603266991289,0.9847635610869256,0.8624849439782731,0.9291896636892136
1999-01-01,11.0,2.5,2.5,0.0625,0.25,2.25,2.5,2.75,0.0,0.2282177322938192,2,0.1982398631705605,0.1982398631705605,0.0,0.48993906295190004,0.0,0.12248476573797501,0.5
1999-01-01,14.0,2.5,2.55,0.06,0.2449489742783178,2.3125,2.5833333333333335,2.7916666666666665,-0.1304347826086966,0.2190890230020664,2,0.1924811129900679,0.1924811129900679,-0.1304347826086966,0.6406675339927421,-0.9847635610869261,-0.03175094112177836,0.18454697887626398
1999-01-01,16.0,3.0,2.226838235294118,6.550290738538061,2.559353578257225,1.25,2.5,3.375,-0.1764705882352941,2.4705730118317097,29,0.6915710349542195,0.6915710349542195,-0.1764705882352941,0.48993906295190004,-0.9972508503518502,-0.06486080798000582,0.2557039264253145
