Date,FCT_SOURCE,POINT,Mean_spd,Variance_spd,sigma_spd,Q1,Q2_median_spd,Q3,Bowley_Skewness,NIU,bins_filled,entropy_norm,I_informativeness,Bowley_smoothed,Q2_norm,A_norm,ACI,coherence
1999-01-01,1,1.2,1.25,0.05,0.2236067977499789,1.09375,1.25,1.40625,0.0,0.1690308509457033,3,0.2421439854598914,0.2421439854598914,0.0,-0.8579999616984019,0.0,-0.21449999042460047,0.5
1999-01-01,2,1.2,1.05,0.1599999999999999,0.3999999999999999,0.75,1.1,1.35,-0.1666666666666668,0.2864459496157731,4,0.4426893031334349,0.4426893031334349,-0.1666666666666668,-0.912599224072712,-0.9791361800980393,-0.8955281113695328,0.9467794591094949
1999-01-01,3,0.8,0.8,0.2225,0.4716990566028302,0.4166666666666667,0.75,1.125,0.0588235294117647,0.3180194390856691,4,0.4849664353522225,0.4849664353522225,0.0588235294117647,-0.9728461661125113,0.6659135475936201,-0.027023004436780542,0.17608427913058267
1999-01-01,4,1.3,1.45,0.06,0.2449489742783178,1.2083333333333333,1.4166666666666667,1.6875,0.1304347826086951,0.1967477507351858,2,0.2550197221776054,0.2550197221776054,0.1304347826086951,-0.7615941559557649,0.9448426960372518,0.012846333078948833,0.14020666220026995
1999-01-01,5,1.1,1.1,0.0775,0.2783882181415011,1.0,1.1666666666666667,1.3333333333333333,-6.661338147750941e-16,0.2019640405721041,3,0.2604853417881509,0.2604853417881509,-6.661338147750941e-16,-0.8913734677347187,-9.09752114063949e-15,-0.22284336693368378,0.5000000000000041
1999-01-01,6,1.1,1.15,0.09,0.3,0.9166666666666669,1.1666666666666667,1.375,-0.090909090909091,0.2205643866281423,3,0.3402524510476205,0.3402524510476205,-0.090909090909091,-0.8913734677347187,-0.8459009013480211,-0.7618007261727598,0.8770068098972549
1999-01-01,9,0.6,0.7,0.0225,0.15,0.5833333333333334,0.7222222222222222,0.8611111111111112,3.996802888650563e-16,0.098907071009368,2,0.1231814745907173,0.1231814745907173,3.996802888650563e-16,-0.9752824309300069,5.458512684383692e-15,-0.24382060773249906,0.49999999999999734
1999-01-01,10,1.1,1.15,0.215,0.4636809247747852,0.8,1.1875,1.5,-0.107142857142857,0.340904995880401,4,0.4887813417820166,0.4887813417820166,-0.107142857142857,-0.8837979026966314,-0.8982860622523295,-0.7992215932583706,0.8969516689201122
1999-01-01,11,1.5,1.6,0.0525,0.229128784747792,1.4166666666666667,1.6428571428571428,1.8214285714285712,-0.117647058823529,0.1936491673103708,2,0.2314706449154516,0.2314706449154516,-0.117647058823529,-0.5457054096481148,-0.9226752121781379,-0.5519308167221256,0.7517544273169159
1999-01-01,14,1.3,1.25,0.05,0.2236067977499789,1.09375,1.25,1.40625,0.0,0.1690308509457033,3,0.2421439854598914,0.2421439854598914,0.0,-0.8579999616984019,0.0,-0.21449999042460047,0.5
1999-01-01,16,1.6,1.425,0.156875,0.3960744879438714,1.125,1.4375,1.75,0.0,0.315599706278657,4,0.4423500709172151,0.4423500709172151,0.0,-0.746182428607531,0.0,-0.18654560715188276,0.5
1999-01-01,17,1.5,1.5,0.3625,0.6020797289396148,1.0833333333333333,1.5,1.9166666666666667,0.0,0.4915960401250876,6,0.6029019860848139,0.6029019860848139,0.0,-0.694782670314738,0.0,-0.1736956675786845,0.5
1999-01-01,18,1.0,0.7625,0.92796875,0.9633113463465486,0.5714285714285714,0.9285714285714286,1.2857142857142856,-3.108624468950438e-16,0.6439989416695562,5,0.5302986760287958,0.5302986760287958,-3.108624468950438e-16,-0.9504807360426548,-4.245509865631761e-15,-0.2376201840106657,0.500000000000002
1999-01-01,19,1.0,1.0,0.0625,0.25,0.75,1.0,1.25,0.0,0.1767766952966368,2,0.2626495350371935,0.2626495350371935,0.0,-0.9371712579368598,0.0,-0.23429281448421496,0.5
1999-01-01,20,0.9,0.75,0.05,0.2236067977499789,0.59375,0.75,0.90625,0.0,0.1490711984999859,3,0.2421439854598914,0.2421439854598914,0.0,-0.9728461661125113,0.0,-0.24321154152812782,0.5
1999-01-01,23,1.4,1.575,0.156875,0.3960744879438715,1.25,1.5625,1.875,0.0,0.3317946944998452,4,0.442350070917215,0.442350070917215,0.0,-0.6351489523872874,0.0,-0.15878723809682185,0.5
1999-01-01,24,1.4,1.35,0.29,0.5385164807134504,1.0625,1.375,1.75,0.0909090909090909,0.4192345116490003,5,0.5374963423596613,0.5374963423596613,0.0909090909090909,-0.7899988299594705,0.8459009013480207,0.004636228195721152,0.16586963883670114
1999-01-01,26,1.4,1.35,0.09,0.3,1.125,1.3333333333333333,1.5833333333333333,0.090909090909091,0.2335496832484568,3,0.3402524510476205,0.3402524510476205,0.090909090909091,-0.8153739424954041,0.8459009013480211,0.0023679338199668926,0.1551372235537241
1999-01-01,28,1.2,1.15,0.09,0.3,0.9166666666666669,1.1666666666666667,1.375,-0.090909090909091,0.2205643866281423,3,0.3402524510476205,0.3402524510476205,-0.090909090909091,-0.8913734677347187,-0.8459009013480211,-0.7618007261727598,0.8770068098972549
1999-01-01,29,1.1,1.2,0.1225,0.35,0.9166666666666669,1.2,1.45,-0.0624999999999997,0.2608745973749754,3,0.3901593961259963,0.3901593961259963,-0.0624999999999997,-0.8790173564490003,-0.6929324435011806,-0.6323559661402908,0.8045498223420771
1999-01-01,32,1.2,1.2499999999999998,0.2105263157210526,0.4588314676665634,0.9687500000296876,1.25,1.5312499999703124,0.0,0.3468439877532858,5,0.5001579488490872,0.5001579488490872,0.0,-0.8579999616984019,0.0,-0.21449999042460047,0.5
1999-01-01,33,1.6,1.75,0.05,0.2236067977499789,1.59375,1.75,1.90625,0.0,0.1999999999999999,3,0.2421439854598914,0.2421439854598914,0.0,-0.4041267397578592,0.0,-0.1010316849394648,0.5
1999-01-01,34,1.5,1.6,0.0525,0.229128784747792,1.4166666666666667,1.6428571428571428,1.8214285714285712,-0.117647058823529,0.1936491673103708,2,0.2314706449154516,0.2314706449154516,-0.117647058823529,-0.5457054096481148,-0.9226752121781379,-0.5519308167221256,0.7517544273169159
1999-01-01,36,1.2,1.1,0.0525,0.229128784747792,0.9166666666666669,1.1428571428571428,1.3214285714285714,-0.117647058823529,0.1662274915510921,2,0.2314706449154516,0.2314706449154516,-0.117647058823529,-0.8994605971893642,-0.9226752121781379,-0.8335861335262055,0.9149549986787856
