Date,Q_median,A_mean,AC_mean,AC_median,AC_std,coherence_mean,NIU_mean,n_forecasters,AC_se_lo,AC_se_hi,ACI_mean,ACI_median,ACI_std,ACI_se_lo,ACI_se_hi,Q_norm_formula,A_norm_formula,AC_formula,coherence_formula
1999-01-01,2.5,-0.03076986359574893,0.04593947811282819,-0.018223453452478725,0.25312368491860826,0.47219929487589574,0.7056222196252426,57,0.012412427011404825,0.07946652921425156,0.04593947811282819,-0.018223453452478725,0.25312368491860826,0.012412427011404825,0.07946652921425156,0.8199701574174569,-0.8533816449428269,-0.002507970817068389,0.15012625912953098
2000-01-01,2.5,-0.021087199338369476,0.07321720395505342,0.03270993831519074,0.20539825706859932,0.40846195485707354,0.5676159330778797,44,0.042252251623712156,0.10418215628639468,0.07321720395505342,0.03270993831519074,0.20539825706859932,0.042252251623712156,0.10418215628639468,0.8927268116788005,-0.7010212123570898,0.017933079592647845,0.1870897840866239
2001-01-01,2.68375,-0.011802352790935533,0.16924676322675833,0.13476369137939176,0.26386413515516116,0.441661865026301,0.5840136450157936,40,0.12752618023071755,0.2109673462227991,0.16924676322675833,0.13476369137939176,0.26386413515516116,0.12752618023071755,0.2109673462227991,0.9922769348776767,-0.45146923989332505,0.07463382610912751,0.27600874322354846
2001-04-01,2.5,-0.018105722356635073,0.16432101802676324,0.07024966771472616,0.3119807394233064,0.44945070114967783,0.653239658930558,41,0.11559781231423653,0.21304422373928994,0.16432101802676324,0.07024966771472616,0.3119807394233064,0.11559781231423653,0.21304422373928994,0.9450475263774641,-0.6329941249762878,0.031345020545908306,0.20089523398984588
2001-07-01,2.6,-0.02241708138145965,0.15605079388750936,0.17400545687056407,0.2195531039412617,0.43154041959961886,0.7568137674119046,31,0.11661789234322315,0.19548369543179558,0.15605079388750936,0.17400545687056407,0.2195531039412617,0.11661789234322315,0.19548369543179558,0.984656892145934,-0.7278449873441017,0.018190142382722856,0.14166120839888008
2001-10-01,2.5347222222222223,-0.02913083203273339,0.14214496246380934,0.1780750107639995,0.1634006239106593,0.41047762217706374,0.7664809864878732,34,0.11412198665172807,0.1701679382758906,0.14214496246380934,0.1780750107639995,0.1634006239106593,0.11412198665172807,0.1701679382758906,0.9717806744595991,-0.8339286472333305,0.006534332790598959,0.09480212837020646
2002-01-01,2.5277777777777777,-0.046687966482991006,0.10401633217582475,0.062025924756099006,0.1377819273183327,0.3611444615752662,0.6543241095489416,35,0.08072693575626792,0.12730572859538156,0.10401633217582475,0.062025924756099006,0.1377819273183327,0.08072693575626792,0.12730572859538156,0.9733734945240585,-0.9583012090975336,0.0002532709286483846,0.03360750164705162
2002-04-01,2.5,-0.03158352659644373,0.12741936390999997,0.06564174828062946,0.22394168206537443,0.403785979560763,0.6373780871682345,38,0.09109122599494153,0.16374750182505843,0.12741936390999997,0.06564174828062946,0.22394168206537443,0.09109122599494153,0.16374750182505843,0.968140702788179,-0.8622396542767884,0.004374525965308855,0.08261534756831679
2002-07-01,2.5,-0.03826130317103709,0.06261792944290295,0.0010586690737555732,0.2054561983362267,0.37243376027393227,0.707396166594514,37,0.028841138500818653,0.09639472038498725,0.06261792944290295,0.0010586690737555732,0.2054561983362267,0.028841138500818653,0.09639472038498725,0.9722241678105529,-0.9181786648093769,0.0014501018048536072,0.053662255852149454
2002-10-01,2.4999999961915336,-0.03613643379343918,0.05813522873381938,0.027649032613780683,0.2268693883223408,0.4101526967390384,0.7421202604138177,39,0.02180705242687355,0.0944634050407652,0.05813522873381938,0.027649032613780683,0.2268693883223408,0.02180705242687355,0.0944634050407652,0.975790684471779,-0.9032695932906708,0.0021502131012547075,0.059298972650175474
2003-01-01,2.3785714285714286,-0.040942730553468365,0.04124357617812128,-0.005690914842161381,0.18326739023582575,0.38833774399348137,0.7252083899161837,38,0.01151367968713959,0.07097347266910296,0.04124357617812128,-0.005690914842161381,0.18326739023582575,0.01151367968713959,0.07097347266910296,0.9167569859624618,-0.9338711206708287,-0.0006155403442010946,0.0719335630682123
2003-04-01,2.31625,-0.04074543438492892,0.011294070488672151,-0.0007187935398021233,0.16308975224070726,0.3811374896965658,0.7330138467609516,36,-0.01588755488477906,0.03847569586212336,0.011294070488672151,-0.0007187935398021233,0.16308975224070726,-0.01588755488477906,0.03847569586212336,0.8558137828433163,-0.9328230450416973,-0.0038827527296793588,0.10083859054972188
2003-07-01,2.25,-0.038493269161698256,-0.007229709629790511,-0.003981227690556232,0.18559664070841736,0.3801365584210805,0.7931124358009597,37,-0.03774160940953058,0.023282190149949554,-0.007229709629790511,-0.003981227690556232,0.18559664070841736,-0.03774160940953058,0.023282190149949554,0.7460285646111842,-0.9196663940163637,-0.013626341533707958,0.1569513000754142
2003-10-01,2.295138888888889,-0.04134286105546023,0.051702777756285685,-0.005092795951919404,0.17655351609857975,0.3965991083839385,0.6798646121472953,36,0.022277191739855727,0.08112836377271565,0.051702777756285685,-0.005092795951919404,0.17655351609857975,0.022277191739855727,0.08112836377271565,0.8603325512805904,-0.9359484061797105,-0.0036819839921009116,0.09738655992220369
2004-01-01,2.25,-0.03587231681838993,0.01815540170301963,-0.005124002668261847,0.19844525045584774,0.3983000310738121,0.7827557034556692,38,-0.014036668842578093,0.05034747224861735,0.01815540170301963,-0.005124002668261847,0.19844525045584774,-0.014036668842578093,0.05034747224861735,0.8016363156159966,-0.9012452307234273,-0.006911092985453478,0.13876454688819145
2004-04-01,2.25,-0.03488827696669353,0.031905520098625954,0.0034130903148091286,0.23320476220562802,0.4201879819913999,0.7330734015010365,41,-0.004514944905364797,0.0683259851026167,0.031905520098625954,0.0034130903148091286,0.23320476220562802,-0.004514944905364797,0.0683259851026167,0.82516516609404,-0.893344071596045,-0.004480097084438928,0.13142179539116178
2004-07-01,2.25,-0.027177191415074287,0.04555665433083589,0.023082497745844553,0.2312669365674377,0.4422219104411288,0.773422405438071,40,0.008990140978696597,0.08212316768297517,0.04555665433083589,0.023082497745844553,0.2312669365674377,0.008990140978696597,0.08212316768297517,0.8461414870467221,-0.8076946479922835,0.0030428371055977992,0.15828802473406522
2004-10-01,2.1708333333333334,-0.039327585577502516,-0.006956442634204127,-0.006758523447855749,0.24271844722423044,0.43637255643724904,0.7409572632932107,40,-0.04533359880260121,0.03142071353419296,-0.006956442634204127,-0.006758523447855749,0.24271844722423044,-0.04533359880260121,0.03142071353419296,0.693234816770382,-0.9248058488167175,-0.02077727010395426,0.17944619342368262
2005-01-01,2.25,-0.03236600105985889,0.02303672874024807,-0.0024325293765384897,0.19296064822596906,0.4091641188470178,0.6469953020236089,41,-0.0070986615896655,0.053172119070161644,0.02303672874024807,-0.0024325293765384897,0.19296064822596906,-0.0070986615896655,0.053172119070161644,0.8813191791695554,-0.870288301042013,0.0006425437666903224,0.11649911444239308
2005-04-01,2.125,-0.02198041525630583,0.0036403247190706714,-0.0007053747746961813,0.22975205967517742,0.4484043389099487,0.6784805945686584,41,-0.0322409187420573,0.03952156818019864,0.0036403247190706714,-0.0007053747746961813,0.22975205967517742,-0.0322409187420573,0.03952156818019864,0.6220298460074027,-0.719268597559875,-0.013433374663695364,0.27629673251093523
