Date,FCT_SOURCE,POINT,P_low,P_high,dP,low_threshold,high_threshold
1999-01-01,1.0,2.3,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,2.0,2.5,0.0,8.000000000000007,8.000000000000007,1.2999999999999998,3.3
1999-01-01,3.0,2.5,5.999999999999997,18.000000000000007,12.00000000000001,1.2999999999999998,3.3
1999-01-01,4.0,2.5,2.9999999999999987,11.000000000000005,8.000000000000007,1.2999999999999998,3.3
1999-01-01,5.0,2.6,0.0,6.000000000000005,6.000000000000005,1.2999999999999998,3.3
1999-01-01,6.0,2.7,0.0,8.000000000000007,8.000000000000007,1.2999999999999998,3.3
1999-01-01,9.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,10.0,2.5,0.0,18.000000000000007,18.000000000000007,1.2999999999999998,3.3
1999-01-01,11.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,14.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,16.0,3.0,25.999999999999996,28.000000000000007,2.0000000000000107,1.2999999999999998,3.3
1999-01-01,17.0,2.9,0.0,27.000000000000014,27.000000000000014,1.2999999999999998,3.3
1999-01-01,18.0,2.2,29.000000000000004,14.000000000000007,-14.999999999999996,1.2999999999999998,3.3
1999-01-01,19.0,1.5,29.999999999999982,0.0,-29.999999999999982,1.2999999999999998,3.3
1999-01-01,20.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,23.0,2.3,2.9999999999999987,2.0000000000000018,-0.9999999999999969,1.2999999999999998,3.3
1999-01-01,24.0,3.2,0.0,42.00000000000001,42.00000000000001,1.2999999999999998,3.3
1999-01-01,26.0,2.4,10.999999999999996,9.000000000000004,-1.999999999999993,1.2999999999999998,3.3
1999-01-01,28.0,2.5,23.0,2.6000000000000014,-20.4,1.2999999999999998,3.3
1999-01-01,29.0,2.4,5.999999999999997,0.0,-5.999999999999997,1.2999999999999998,3.3
1999-01-01,33.0,2.5,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,34.0,2.3,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,36.0,2.1,5.999999999999997,0.0,-5.999999999999997,1.2999999999999998,3.3
1999-01-01,37.0,2.5,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,38.0,2.5,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,39.0,2.5,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,40.0,2.5,10.999999999999996,4.0000000000000036,-6.999999999999993,1.2999999999999998,3.3
1999-01-01,43.0,2.5,10.599999999999998,15.800000000000008,5.20000000000001,1.2999999999999998,3.3
1999-01-01,46.0,2.25,25.599999999999994,23.400000000000006,-2.1999999999999886,1.2999999999999998,3.3
1999-01-01,47.0,3.0,0.0,32.000000000000014,32.000000000000014,1.2999999999999998,3.3
1999-01-01,50.0,2.25,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,52.0,2.3,5.999999999999997,0.0,-5.999999999999997,1.2999999999999998,3.3
1999-01-01,53.0,2.7,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,54.0,2.5,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,56.0,,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,59.0,2.3,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,60.0,2.5,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,61.0,2.0,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,62.0,2.9,0.0,12.00000000000001,12.00000000000001,1.2999999999999998,3.3
1999-01-01,63.0,2.4,7.999999999999999,9.000000000000004,1.0000000000000044,1.2999999999999998,3.3
1999-01-01,64.0,2.5,19.399999999999995,16.600000000000005,-2.79999999999999,1.2999999999999998,3.3
1999-01-01,65.0,2.8,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,67.0,2.1,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,68.0,2.3,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,70.0,2.0,36.0,24.000000000000004,-11.999999999999996,1.2999999999999998,3.3
1999-01-01,71.0,2.25,15.999999999999998,2.0000000000000018,-13.999999999999996,1.2999999999999998,3.3
1999-01-01,72.0,2.5,15.555555555555554,23.03030303030304,7.474747474747485,1.2999999999999998,3.3
1999-01-01,76.0,3.0,2.9999999999999987,42.00000000000002,39.00000000000002,1.2999999999999998,3.3
1999-01-01,85.0,2.5,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,86.0,2.3,10.999999999999996,9.000000000000004,-1.999999999999993,1.2999999999999998,3.3
1999-01-01,87.0,2.5,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,88.0,2.5,18.999999999999996,12.800000000000006,-6.19999999999999,1.2999999999999998,3.3
1999-01-01,89.0,2.3,0.0,0.0,0.0,1.2999999999999998,3.3
1999-01-01,90.0,2.8,1.4999999999999993,3.500000000000001,2.0000000000000018,1.2999999999999998,3.3
1999-01-01,91.0,2.7,11.318136763999998,29.494549054000007,18.17641229000001,1.2999999999999998,3.3
1999-01-01,94.0,2.5,0.0,4.0000000000000036,4.0000000000000036,1.2999999999999998,3.3
1999-01-01,95.0,2.4,19.499999999999996,24.4,4.900000000000002,1.2999999999999998,3.3
