Date,Q_median,A_mean,AC_mean,AC_median,AC_std,coherence_mean,NIU_mean,n_forecasters,AC_se_lo,AC_se_hi,ACI_mean,ACI_median,ACI_std,ACI_se_lo,ACI_se_hi,Q_norm_formula,A_norm_formula,AC_formula,coherence_formula
1999-01-01,1.2,-0.008803171311541607,-0.30752448091372964,-0.22284336693368378,0.2928778861979295,0.5209343236779664,0.3230194018265552,57,-0.34631710460752674,-0.26873185721993254,-0.30752448091372964,-0.22284336693368378,0.2928778861979295,-0.34631710460752674,-0.26873185721993254,-0.9453530617179249,-0.36355290862021755,-0.4396896095523715,0.6718429276302899
1999-04-01,1.4083333333333332,0.008809292606272154,-0.19943426539201747,-0.1736956675786845,0.2260286270330491,0.4893428480616749,0.3222033536490133,54,-0.23019286558606294,-0.168675665197972,-0.19943426539201747,-0.1736956675786845,0.2260286270330491,-0.23019286558606294,-0.168675665197972,-0.8670345915431557,0.36378278363912864,-0.08613000480536757,0.342293871388508
1999-07-01,1.5729166666666665,0.0013533591462499164,-0.20207907585152607,-0.18961048058623553,0.2080624270396329,0.5105366885626733,0.33470004200590997,46,-0.23275620709658512,-0.17140194460646702,-0.20207907585152607,-0.18961048058623553,0.2080624270396329,-0.23275620709658512,-0.17140194460646702,-0.741383791184199,0.058502292855811516,-0.16331577924230567,0.4783136741647951
1999-10-01,1.625,0.002736649910133022,-0.17883992056114673,-0.11079687730018138,0.21828025352282196,0.4970445219553823,0.3513968130284223,51,-0.20940526973560597,-0.14827457138668748,-0.17883992056114673,-0.11079687730018138,0.21828025352282196,-0.20940526973560597,-0.14827457138668748,-0.6843545804396287,0.11788304219878301,-0.13019303168107874,0.4596631000575524
2000-01-01,1.75,0.014812466065219508,-0.10711283595598003,-0.09876867031215686,0.2322180511199246,0.5009341875888644,0.33414257532440444,54,-0.13871371008416641,-0.07551196182779366,-0.10711283595598003,-0.09876867031215686,0.2322180511199246,-0.13871371008416641,-0.07551196182779366,-0.5066204272931911,0.5656055146665274,0.010520767350672523,0.35672634624012933
2000-04-01,1.7647058823529411,0.020522595223240264,-0.07366603422789593,-0.0523156536538451,0.21478688472856305,0.48531338380896366,0.34745876382657076,53,-0.10316928184299341,-0.044162786612798446,-0.07366603422789593,-0.0523156536538451,0.21478688472856305,-0.10316928184299341,-0.044162786612798446,-0.48181018723510644,0.7104807850161293,0.037598198047045436,0.32884155997221665
2000-07-01,1.8571428571428568,0.013955063744269981,-0.02469474365544348,0.0,0.20276761257657588,0.4961880475805272,0.369945858897525,48,-0.05396172758144944,0.00457224027056248,-0.02469474365544348,0.0,0.20276761257657588,-0.05396172758144944,0.00457224027056248,-0.3085624945174689,0.5398413880516332,0.048188414216058115,0.41671259732950755
2000-10-01,1.9,0.01835594836977077,0.0019815578576975064,0.008323099254272515,0.18444990466080294,0.48086144882794246,0.3716379550739971,63,-0.02125694581287669,0.0252200615282717,0.0019815578576975064,0.008323099254272515,0.18444990466080294,-0.02125694581287669,0.0252200615282717,-0.2196316892909127,0.6608878297682169,0.09430174216857902,0.4274240447581007
2001-01-01,1.75,0.01603979190043823,-0.06078216788308386,-0.021412424986888376,0.17803753137897363,0.4658439758901566,0.355925887364604,55,-0.08478874371688369,-0.03677559204928403,-0.06078216788308386,-0.021412424986888376,0.17803753137897363,-0.08478874371688369,-0.03677559204928403,-0.5066204272931911,0.6006428724877838,0.01635290199728622,0.3478510256448146
2001-04-01,1.845238095238095,0.0077885871539245905,-0.058545561209383624,-0.039252464332132225,0.23861139723291855,0.5072003897271286,0.35891649468266346,54,-0.0910164595445612,-0.026074662874206046,-0.058545561209383624,-0.039252464332132225,0.23861139723291855,-0.0910164595445612,-0.026074662874206046,-0.33241027563941244,0.3248553619953582,-0.0016847735816803988,0.4460073697880909
