Date,NIU_mean,NIU_median,NIU_std,Variance_mean,sigma_mean,Mean_spd_mean,POINT_mean,n_forecasters,NIU_se_lo,NIU_se_hi
1999-01-01,0.5576039577436518,0.38056219755369364,0.47529622277940625,0.7796754123311874,0.6591367052473291,1.8698706755936696,1.8522807017543859,59,0.4957256601067018,0.6194822553806018
2000-01-01,0.49804409699897556,0.3195048252113468,0.47709747955626,0.7310245119804759,0.590487829120144,1.820707936161551,1.7653333333333332,46,0.42769991133662955,0.5683882826613216
2001-01-01,0.4679121751996045,0.35631556844141055,0.3077412347460165,0.4028325581395349,0.5265601137834323,1.8880232558139536,1.809761904761905,43,0.42098207686844646,0.5148422735307625
2001-04-01,0.534067247389767,0.4419161176880334,0.4227428205933456,0.6112374432164634,0.6105039715155067,1.8598567073170733,1.8117073170731708,41,0.4680459107863041,0.6000885839932298
2001-07-01,0.6421017807687086,0.4208902677784672,0.5610581471167448,0.8730656166666667,0.7144069257671564,1.8962333333333334,1.8283333333333334,30,0.5396670463527442,0.744536515184673
2001-10-01,0.6332005423364779,0.4609772228646444,0.4937985758870756,0.7955193529761905,0.7058862734252678,1.936235714285714,1.8299999999999998,35,0.5497333488585091,0.7166677358144468
2002-01-01,0.6153197569734897,0.4234505222898966,0.5358511071756704,0.8212672303154908,0.6862579069684929,1.9305052277710184,1.867142857142857,35,0.5247443883473889,0.7058951255995906
2002-04-01,0.5891355830569842,0.4564354645876385,0.4267954779024815,0.6548670118243243,0.647949355416561,1.9618716216216214,1.8691176470588236,37,0.5189708387033103,0.6593003274106581
2002-07-01,0.6304701432985859,0.423046396945127,0.4461751981023264,0.6988016968779727,0.6881319119924849,1.898954344313149,1.8635135135135137,37,0.5571193925697963,0.7038208940273755
2002-10-01,0.6503348550712266,0.48989794855663554,0.5095026449410601,0.8435542374054418,0.7218666422773123,1.918358099197683,1.8662500000000002,41,0.5707639103185864,0.7299057998238667
2003-01-01,0.7844984837524693,0.49398557955800504,0.5831270488054668,1.17496136908037,0.8750146169340705,1.9910872052704494,1.9249999999999998,36,0.6873106422848916,0.8816863252200471
2003-04-01,0.6695457501001006,0.4508324551333577,0.5540257301661248,0.9326468492647059,0.7474084679115911,1.9463823529411766,1.9030303030303028,34,0.5745311212440649,0.7645603789561364
2003-07-01,0.7331691316824952,0.6020797289396148,0.5475036624296324,1.0396711526705031,0.8209180000294446,1.9526743220906293,1.9055555555555554,37,0.6431600840330894,0.823178179331901
2003-10-01,0.6900534846073844,0.5747635738580437,0.4742652376525746,0.9659234550776313,0.7902451827958248,2.050109444103986,1.9777777777777779,36,0.6110092783319553,0.7690976908828134
2004-01-01,0.695287786707536,0.534459472867113,0.48135539969188806,0.8618207365014889,0.76669650052066,1.9143342481667582,1.9397058823529412,36,0.615061886758888,0.775513686656184
2004-04-01,0.6442188495434664,0.5137011669140815,0.4560503425241918,0.7298813356483105,0.6968399739912929,1.915773432015829,1.9075,41,0.572995751940876,0.7154419471460568
2004-07-01,0.6469181186318355,0.5553110953817832,0.4568857311107229,0.7670068359375,0.7068873364588584,1.98540625,1.9461538461538463,40,0.5746781415947787,0.7191580956688922
2004-10-01,0.6914765816834543,0.5657269373743439,0.463470203013406,0.8297056642213467,0.7542312284951389,1.9738262929763606,1.9243243243243244,38,0.6162917866988565,0.766661376668052
2005-01-01,0.6924549004467099,0.551605196388619,0.49906208415203646,0.8675193992711165,0.7520793401680468,1.9454525824482125,1.9166666666666667,41,0.6145144973487182,0.7703953035447015
2005-04-01,0.6691782398359667,0.4982728791224398,0.4747200818618014,0.8063960338508491,0.7284369699106188,1.9247118179468845,1.892105263157895,39,0.5931621895532366,0.7451942901186968
2005-07-01,0.7338278844936378,0.551605196388619,0.5915739024591876,1.1141708966831962,0.8127004511091714,2.0078120904774193,1.9512903225806453,31,0.6275780750712975,0.8400776939159781
2005-10-01,0.5634734663428882,0.4502078551519388,0.4132600783449084,0.5937671875,0.6099867424191276,1.9671527777777778,1.8861111111111113,36,0.4945967866187368,0.6323501460670395
