INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,,
2024,30,2.33068618,,,,,,,,,,,,,,,,
2024,32,2.6,0.29525732,0.58010333,1.40638188,2.95429586,5.4157312,8.61415445,11.90486968,14.29540311,14.91522573,13.52151514,10.65079373,7.28949109,4.33478113,3.82199634,,
2024,33,2.7,0,0,0,0,0,0,5,10,70,10,5,0,0,0,,
2024,37,2.9,0,0,0,0,0,0,4,26,38,26,6,0,0,0,,
2024,38,2.895,0,0,0,0,0,0,0,0,60,40,0,0,0,0,,
2024,39,2.82900622,0,0,0,0,0,0,0,20,50,25,5,0,0,0,,
2024,41,2.7,0,0,0,0,0,0,0,25,50,25,0,0,0,0,,
2024,42,3.05,0,0,0,0,0,0,0,10,30,40,20,0,0,0,,
2024,45,1.44361445,0,0,0,0,10,40,40,10,0,0,0,0,0,0,,
2024,47,3.2,0,0,0,0,0,0,5,10,15,35,25,10,0,0,,
2024,48,3.4,0,0,0,0,0,0,0,0,0,50,50,0,0,0,,
2024,49,2.9,,,,,,,,,,,,,,,,
2024,54,,0,0,0,0,0,0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,
2024,56,3,0,0,0,0,0,0,0,5,20,30,30,10,5,0,,
2024,61,2.9,0,0,0,0,0,2.5,10,17.5,30,22.5,15,2.5,0,0,,
2024,63,3,0,0,0,0,0,0,0,10,35,50,5,0,0,0,,
2024,65,2.4,0,0,0,0,0,5,20,40,30,5,0,0,0,0,,
2024,68,2.7,,,,,,,,,,,,,,,,
2024,80,2.5,0,0,0,0,1.01237345,4.72440945,13.49831271,26.54668166,31.94600675,14.6231721,6.86164229,0.78740157,0,0,,
2024,82,3.1,,,,,,,,,,,,,,,,
2024,85,2.99494815,0,0,0,4e-07,0.00016124,0.01951903,0.72858349,8.55836205,32.33789787,39.9525292,16.18786896,2.12536718,0.0885599,0.00115067,,
2024,88,2.9,0,0,0,0,0.5,1.83024044,5.89920868,13.43620455,20.18517964,23.76158199,19.32219886,10.73873229,4.32665354,0,,
2024,89,3.1,0,0,0,0,0,2.5,5,10,20,35,20,5,2.5,0,,
2024,91,3.26,0,0,0,0,0,0,0,15,15,24,36,10,0,0,,
2024,93,3.1,0,0,0,0,0,0,0,10,27.5,40,22.5,0,0,0,,
2024,95,2.8165252,2.21e-06,9.206e-05,0.00236716,0.03758004,0.36833808,2.22892861,8.32733119,19.2077132,27.35304205,24.04892951,13.05407223,4.37478203,0.90516337,0.09165825,,
2024,97,2.7,,,,,,,,,,,,,,,,
2024,98,3.3,0,0,0,0,0,0,5,10,15,30,25,10,5,0,,
2024,99,2.7,0,0,0,0,0,0,0,20,70,10,0,0,0,0,,
2024,101,3.1,0,0,0,0,0,0,0,5,35,40,15,5,0,0,,
2024,102,3,0,0,0,0,0,0,5,10,15,40,25,5,0,0,,
2024,103,3,,,,,,,,,,,,,,,,
2024,105,3,,,,,,,,,,,,,,,,
2024,107,2.85467919,0,0.4,1,2.1,4.1,7,10.3,13.2,14.7,14.4,12.2,9,5.8,5.8,,
2024,108,2.0265323,0,0,0.05,3.33,8.54,13.75,18.96,21.26,16.32,11.05,5.79,0.95,0,0,,
2024,109,2.3,0,0,0,0,0,5,20,30,30,10,5,0,0,0,,
2024,110,2.29027275,1.67723241,1.82182738,3.20031102,5.09970825,7.37170969,9.66634107,11.49814891,12.40698504,12.1444364,10.78353554,8.68594908,6.34665575,4.20671505,5.09044442,,
2024,112,3,0,0,0,0,0,0,0,5,10,20,30,20,10,5,,
2024,114,3,,,,,,,,,,,,,,,,
2024,115,2.4,1.61538462,2.63169773,4.3281636,5.59201143,7.33287565,9.04294616,10.44236103,11.34356541,11.26567033,10.6595626,9.35568004,7.68443406,5.92935118,2.77629616,,
2024,117,2.5,,,,,,,,,,,,,,,,
2024,118,2.20096859,,,,,,,,,,,,,,,,
2024,119,2.2,0,0,0,0,5,5,10,60,10,5,5,0,0,0,,
2024,121,2.51097146,0,1,1,2,4,8,13,25,20,15,6,3,1,1,,
2024,127,2.5,1,2,3,4,5,8,10,12.5,15,12.5,10,7,5,5,,
2024,128,3,0,1,1,1,1,3,6,12,20,20,12,10,8,5,,
2024,135,2.5,0,0,0,0,2.5,5,10,32.5,32.5,10,5,2.5,0,0,,
2024,137,2.62,0,0.1,0.3,1.1,3.2,7.4,13,18.1,19.7,16.7,11.2,5.8,2.4,1,,
2024Sep,1,4.3,,,,,,,,,,,,,,,,
2024Sep,2,2.8,0,0,0,0,0,5,20,25,20,20,10,0,0,0,,
2024Sep,4,2.1,5,2.5,2.5,5,10,10,10,10,10,10,10,5,2.5,7.5,,
2024Sep,5,2,0,1,2,5,7,10,25,25,10,7,5,2,1,0,,
2024Sep,6,2.1,0,0,0,0,5,15,20,30,20,10,0,0,0,0,,
2024Sep,8,2.2,0,0,0,0,0,10,25,35,25,5,0,0,0,0,,
2024Sep,14,3.3,0,0,0,0,1,2,6,12,17,20,18,13,7,4,,
2024Sep,16,2.1,0,1,1,2,3,6,15,17,16,13,11,8,5,2,,
2024Sep,20,2.7,0,0,0,0,0,6,10,20,30,22,11,1,0,0,,
2024Sep,23,2,0,0,0,2,4,7,15,19,20,16,10,6,1,0,,
2024Sep,24,1.94789052,0,1,2,8,10,14,16,20,12,10,4,2,1,0,,
2024Sep,26,2.4,0,0,2,3,5,8,10,20,20,15,9,5,3,0,,
2024Sep,29,2.4,0,0.5,1,2.5,4,8,13,24,20,12.5,8,4,1.5,1,,
2024Sep,33,2.8,0,0,0,0,0,0,5,10,70,10,5,0,0,0,,
2024Sep,37,2.7,0,0,0,0,0,0,1,8,38,37,14,2,0,0,,
