INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2026,1,2.3,0,0,0,0,0,0,45,45,10,0,0,0,0,,,
2026,2,2.3,0,0,0,0,0,10,35,40,15,0,0,0,0,,,
2026,5,3,0,0,0,0,0,0,0,15,60,20,2.5,2.5,0,,,
2026,6,2.4,0,0,0,0,0,10,20,35,10,10,10,5,0,,,
2026,7,1.8,,,,,,,,,,,,,,,,
2026,8,3.1,0,0,0,0,0,0,0,15,30,25,15,10,5,,,
2026,14,2.6,0,0,0,0,0,0,11,48,36,5,0,0,0,,,
2026,15,2.7,0,0,0,0,5,10,15,20,20,15,10,5,0,,,
2026,16,3.1,1,1,2,3,4,8,10,12,19,16,12,10,2,,,
2026,20,2.9,0,0,0,0,0,2,5,30,40,20,3,0,0,,,
2026,23,2.7,0,0,0,1,1,3,15,35,25,10,4,2,4,,,
2026,24,2.83337472,0,0,0,3,5,7,10,18,22,15,15,5,0,,,
2026,26,2.7,0,0,0,0,0,3,7,45,30,13,2,0,0,,,
2026,29,2.5,1,1,2.5,4,5,8,13,25.5,14,10,8,5,3,,,
2026,30,3.2,,,,,,,,,,,,,,,,
2026,32,2.56783487,0.03788048,0.16876511,0.6879804,2.19462859,5.47893396,10.70604841,16.37558146,19.60749761,18.37873504,13.48569812,7.74601561,3.4825715,1.64966369,,,
2026,33,2.4,0,0,0.2,4.2,8.9,14.3,18,20,15,10.1,5.6,2.5,1.2,,,
2026,37,2.7,0,0,0,0,0,0,2,60,36,2,0,0,0,,,
2026,38,2.85,0,0,0,0,0,0,0,10,80,10,0,0,0,,,
2026,39,2.66107321,0,0,0,0,0,0,20,50,25,5,0,0,0,,,
2026,41,2.3,0,0,0,0,0,0,55,35,10,0,0,0,0,,,
2026,42,2.6,0,0,0,0,0,0,20,50,25,5,0,0,0,,,
2026,45,2.95,0,0,0,0,0,0,15,20,40,15,10,0,0,,,
2026,47,2.65,0,0,0,0,0,0,5,50,40,5,0,0,0,,,
2026,48,2.6,0,0,0,0,0,0,0,70,30,0,0,0,0,,,
