INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,,
2024,1,2.6,0,0,0,0,0,0,0,25,65,10,0,0,0,0,,
2024,4,1.8,2.5,1,2.5,2.5,7.5,16,18.5,16,12.5,10,5,2.5,1,2.5,,
2024,5,2.1,0,0,0,0,5,15,25,30,20,5,0,0,0,0,,
2024,6,1.9,0,0,0,0,10,15,30,25,15,5,0,0,0,0,,
2024,7,2.9,,,,,,,,,,,,,,,,
2024,14,2.1,0,0,0,0,3,12,28,31,19,6,1,0,0,0,,
2024,15,3,0,0,0,0,0,5,10,15,20,20,15,10,5,0,,
2024,16,2.2,0,1,1,2,3,8,14,17,16,13,10,8,5,2,,
2024,20,2.3,0,0,0,0,0,5,20,38,30,7,0,0,0,0,,
2024,23,2.5,0,0,0,2,5,12,16,19,19,16,7,3,1,0,,
2024,24,2.11326233,0,0,0,2,6,12,23,23,20,9,3,1,1,0,,
2024,26,2.1,0,0,2,3,7,11,18,20,16,9,7,4,3,0,,
2024,29,2.78,0,0,0,1,2,5,8,13,29,23,11.5,4.5,2,1,,
2024,30,2.26,,,,,,,,,,,,,,,,
2024,32,2.2,0,0,1e-08,2.532e-05,0.01655548,1.54266753,22.01245871,52.67958812,22.16685108,1.56490422,0.01692344,2.61e-05,0,0,,
2024,33,2.8,0,0,0,0,0,0,2.5,7.5,80,7.5,2.5,0,0,0,,
2024,37,2.6,0,0,0,0,0,1,6,32,51,10,0,0,0,0,,
2024,38,2.23,0,0,0,0,0,0,15,70,15,0,0,0,0,0,,
2024,39,2.27735199,0,0,0,0,0,0,0,70,20,10,0,0,0,0,,
2024,41,2.5,0,0,0,0,0,0,0,40,50,10,0,0,0,0,,
2024,42,2.6,0,0,0,0,0,0,5,20,45,25,5,0,0,0,,
2024,45,1.77788602,0,0,0,0,0,20,45,15,10,10,0,0,0,0,,
2024,47,2.7,0,0,0,0,0,0,5,25,40,20,5,5,0,0,,
2024,49,2.1,,,,,,,,,,,,,,,,
2024,54,2.45,0,0,0,0,5,10,15,20,20,15,10,5,0,0,,
2024,56,2.49,0,0,0,0,0,5,15,30,30,15,5,0,0,0,,
2024,61,2.7,0,0,0,0,0,2.5,7.5,22.5,30,22.5,12.5,2.5,0,0,,
2024,63,2.8,0,0,0,0,0,0,0,20,50,30,0,0,0,0,,
2024,65,1.9,0,0,0,0,0,15,40,30,15,0,0,0,0,0,,
2024,68,2.2,,,,,,,,,,,,,,,,
2024,80,2.8,0,0,0,0,0,0.30456853,4.16243655,20.30456853,38.17258883,27.51269036,9.03553299,0.50761421,0,0,,
2024,82,2.5,,,,,,,,,,,,,,,,
2024,84,2.53386952,0,0,0,0,1,3,15,22,26,15,10,5,2,1,,
2024,85,2.49815803,0,0,0,7.79e-06,0.00322153,0.29896113,6.43837787,33.56695899,43.93811657,14.54644922,1.18504262,0.02276485,9.932e-05,1e-07,,
2024,88,2.5,0,0,0,0,0.5,1.83024044,5.89920868,13.43620455,39.32716807,25.04283719,11.51549808,1.94884298,0.5,0,,
2024,89,3.1,0,0,0,0,0,0,10,10,15,35,20,10,0,0,,
2024,91,2.76,0,0,0,0,0,0,15,15,24,36,10,0,0,0,,
2024,93,3.1,0,0,0,0,0,0,0,10,27.5,40,22.5,0,0,0,,
2024,95,2.39984539,0,5e-08,1.857e-05,0.00249425,0.12322192,2.2394531,14.97274703,36.82701518,33.32246133,11.09208381,1.35829697,0.06119019,0.00101409,3.51e-06,,
2024,97,2.3,,,,,,,,,,,,,,,,
2024,98,2.5,0,0,0,0,0,0,5,25,40,20,5,5,0,0,,
2024,99,2.3,0,0,0,0,0,0,10,70,20,0,0,0,0,0,,
2024,101,2.4,0,0,0,0,0,2.5,5,42.5,42.5,5,2.5,0,0,0,,
2024,102,2.9,,,,,,,,,,,,,,,,
2024,103,2.5,,,,,,,,,,,,,,,,
2024,105,2.8,,,,,,,,,,,,,,,,
2024,107,2.1,0.06593555,0.30557431,1.14579719,3.34394052,7.59675035,13.43576334,18.50100675,19.83562785,16.55839721,10.76221296,5.4459083,2.14528569,0.65779999,0.2,,
2024,108,1.11687322,0,0,1.86,11.95,23.01,30.5,21.43,10.27,0.98,0,0,0,0,0,,
2024,110,2.3056147,0,0,0,0,0,0,0.00112705,83.79700504,16.20186788,3e-08,0,0,0,0,,
2024,114,2.3,,,,,,,,,,,,,,,,
2024,115,2.28681807,1.2,2.65850681,4.42213643,6.06239667,7.83642114,9.4942109,10.74668808,11.34649685,11.16743643,10.24767733,8.77652131,7.03098448,5.29126074,3.71926283,,
2024,117,1.8,,,,,,,,,,,,,,,,
2024,118,1.74,,,,,,,,,,,,,,,,
2024,119,2,0,0,0,0,0,5,10,70,10,5,0,0,0,0,,
2024,121,2.17648359,0,1,1,2,4,8,15,25,18,15,6,3,1,1,,
2024,127,2.5,1,2,3,4,5,8,10,12.5,15,12.5,10,7,5,5,,
2024,128,2.5,0,0,2,3,4,6,10,25,25,10,6,4,3,2,,
2024,135,2.2,0,0,0,0,0,7.5,25,35,25,7.5,0,0,0,0,,
2024,137,2.02307425,0.10593288,0.19817516,1.20459027,3.47634756,7.97680889,14.16783096,18.75763058,19.44097789,15.77341609,10.41818939,5.38062065,2.13807558,0.79020329,0.1712008,,
2024Dec,1,2,,,,,,,,,,,,,,,,
2024Dec,4,2,2.5,2.5,2.5,2.5,7.5,15,15,15,15,10,5,2.5,2.5,2.5,,
2024Dec,5,1.7,0,0,0,0,15,20,30,20,15,0,0,0,0,0,,
2024Dec,6,2.1,0,0,0,0,5,10,30,25,15,10,5,0,0,0,,
2024Dec,14,1.9,0,0,2,5,10,17,21,19,14,8,3,1,0,0,,
2024Dec,16,2.3,0,1,1,2,3,8,14,17,16,13,10,8,5,2,,
2024Dec,20,2,0,0,0,0,5,15,25,30,15,10,0,0,0,0,,
2024Dec,23,2.9,0,0,0,2,4,8,15,17,19,18,10,6,1,0,,
2024Dec,24,2.12110013,0,0,0,2,6,12,23,23,20,9,3,1,1,0,,
2024Dec,26,1.9,0,0,2,5,11,18,20,14,10,8,6,4,2,0,,
2024Dec,29,2.38,0,0.5,1,2.5,4,9.5,13,24,19,12,8,4,1.5,1,,
2024Dec,32,1.8,,,,,,,,,,,,,,,,
2024Dec,33,2.6,0,0,0,0,0,0,5,10,70,10,5,0,0,0,,
2024Dec,37,2.8,0,0,0,0,0,0,4,26,38,26,6,0,0,0,,
