INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2021,2,2.3,0,0,0,0,0,0,10,60,30,0,0,0,,,,,,,,,
2021,4,2.2,,,,,,,10,60,20,10,,,,,,,,,,,
2021,5,2.3,,,,,,,,90,10,,,,,,,,,,,,
2021,6,2.4,,,,,,,,70,30,,,,,,,,,,,,
2021,7,2.0369,,,,,,,,,,,,,,,,,,,,,
2021,14,2.3,0,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,,
2021,15,2.3,,,,,,,10,70,20,,,,,,,,,,,,
2021,16,2.4,0,1,2,3,6,7,15,23,21,15,5,2,,,,,,,,,
2021,20,2.4,,,,,,,,55,45,,,,,,,,,,,,
2021,22,2.4,,,,,,,,80,20,,,,,,,,,,,,
2021,23,2.3,,,,,,,10,75,15,,,,,,,,,,,,
2021,24,2.37328,,,1,2,3,10,10,20,30,20,3,1,,,,,,,,,
2021,26,2.3,,,,,,,5,60,30,5,,,,,,,,,,,
2021,29,2.4,0,0,.1,.5,.5,1,10,42.7,40,5,.1,.1,,,,,,,,,
2021,30,2.2,,,,,,,,,,,,,,,,,,,,,
2021,32,2.3,,,,,,.0011,3.9766,73.1868,22.7761,.0594,,,,,,,,,,,
2021,36,2.75,,,,,,,5,25,50,15,5,,,,,,,,,,
2021,37,2.3,,,,,,,15,55,30,,,,,,,,,,,,
2021,38,2.2,,,,,,,,70,30,,,,,,,,,,,,
2021,39,2.33,,,,,,,,65,35,,,,,,,,,,,,
2021,41,2.3,,,,,,,,75,25,,,,,,,,,,,,
2021,45,3.1,,,,,,,,,25,50,25,,,,,,,,,,
2021,47,2.3,,,,,,,5,75,15,5,,,,,,,,,,,
2021,48,2.1,,,,,,,,80,20,,,,,,,,,,,,
2021,49,2.4,,,,,,,,,,,,,,,,,,,,,
2021,54,,,,,,0,20,30,30,20,,,,,,,,,,,,
2021,56,2.39652,,,,,,,10,50,40,,,,,,,,,,,,
2021,61,2.2,,,,,,,20,47.5,32.5,,,,,,,,,,,,
2021,63,2.1,,,,,,,15,85,,,,,,,,,,,,,
2021,65,2.2,,,,,,,20,60,20,,,,,,,,,,,,
2021,68,2.2,,,,,,,,,,,,,,,,,,,,,
2021,73,2.2,,,,,,,20,60,20,,,,,,,,,,,,
2021,80,2,0,0,0,.31983,4.69083,19.6162,26.01279,27.1855,13.75267,6.71642,1.27932,.42644,,,,,,,,,
2021,85,2.28776,,,,,.0002,.154,9.6542,54.7759,33.3521,2.0531,.0105,,,,,,,,,,
2021,88,2.3,,,,,,,,,,,,,,,,,,,,,
2021,89,2.2,,,,,,,25,55,15,5,,,,,,,,,,,
2021,90,2.1,,,,,1,5,15,40,26,10,3,,,,,,,,,,
2021,93,2.2,,,,,,,12.5,67.5,20,,,,,,,,,,,,
2021,95,2.3,0,.01,.12,.75,3.24,9.46,18.66,24.94,22.51,13.76,5.69,.86,,,,,,,,,
2021,97,2.4,,,,,,,,,,,,,,,,,,,,,
2021,98,2.3,,,,,,,,55,45,,,,,,,,,,,,
2021,99,2.4,,,,,,,,70,30,,,,,,,,,,,,
2021,101,2.3,,,,,,,,75,25,,,,,,,,,,,,
2021,102,2.3,,,,,,,,65,35,,,,,,,,,,,,
2021,103,2.2,,,,,,,,,,,,,,,,,,,,,
2021,105,2.2,,,,,,,10,90,,,,,,,,,,,,,
2021,107,2.366139,,,,,,,,94.64,5.36,,,,,,,,,,,,
2021,109,2.3,,,,,,,,70,30,,,,,,,,,,,,
2021,110,2.1,0,0,0,0,0,0,1.12,98.85,.03,0,0,0,,,,,,,,,
2021,112,2.2,,,,,5,10,15,30,25,10,5,,,,,,,,,,
2021,114,2.4,,,,,,,,,,,,,,,,,,,,,
2021,115,2.29962,.02483,.0857,.45549,1.68251,4.73243,10.13756,16.54099,20.55919,19.46628,14.04069,7.71432,4.56001,,,,,,,,,
2021,117,2.5,,,,,,,,,,,,,,,,,,,,,
2021,118,2.4,,,,,,,,,,,,,,,,,,,,,
2021,119,,,,,,5,5,10,60,10,5,5,,,,,,,,,,
2021,121,2.458,.5,.5,.5,1,2.5,5,15,25,25,15,7,3,,,,,,,,,
2021,127,2.2,0,0,0,0,0,0,5,80,15,0,0,0,,,,,,,,,
2021,128,2.2,,,,,,,5,85,10,,,,,,,,,,,,
2022,2,1.8,0,0,0,0,0,10,60,30,0,0,0,0,,,,,,,,,
2022,4,1.6,2.5,2.5,2.5,2.5,5,15,25,15,10,10,5,5,,,,,,,,,
2022,5,2.2,,,,,5,10,20,30,25,10,,,,,,,,,,,
2022,6,2.1,,,,,,5,25,45,20,5,,,,,,,,,,,
2022,7,1.893,,,,,,,,,,,,,,,,,,,,,
2022,14,2.7,0,0,0,0,0,2,10,25,32,22,8,1,,,,,,,,,
2022,15,1.9,,,,,10,15,30,25,15,5,,,,,,,,,,,
2022,16,2.4,1,2,3,5,8,12,15,16,14,10,8,6,,,,,,,,,
2022,20,2.5,,,,,,5,15,28,32,15,5,,,,,,,,,,
2022,22,1.7,,,,,10,20,40,20,10,,,,,,,,,,,,
2022,23,1.9,,,,,10,20,30,25,10,5,,,,,,,,,,,
2022,24,2.0423745,,,1,2,4,18,22,30,14,6,2,1,,,,,,,,,
2022,26,1.8,,5,5,5,10,15,25,15,10,5,5,,,,,,,,,,
2022,29,1.9,0,.1,.5,1,5,12,38.4,29,11,2,.5,.5,,,,,,,,,
2022,30,1.8,,,,,,,,,,,,,,,,,,,,,
2022,32,2,.0176,.1468,.7418,2.7837,7.5952,14.9815,21.3895,22.106,16.5386,8.9562,3.51,1.2331,,,,,,,,,
2022,36,2.25,,,,,,10,20,30,25,10,5,,,,,,,,,,
2022,37,2,,,,,,3,38,52,6,1,,,,,,,,,,,
2022,38,1.8,,,,,,,70,30,,,,,,,,,,,,,
2022,39,2.1,,,,,,5,40,45,10,,,,,,,,,,,,
2022,41,2.5,,,,,,,,45,55,,,,,,,,,,,,
2022,45,1.9,,,,,,20,40,15,10,10,5,,,,,,,,,,
2022,47,1.7,,,,,5,15,60,10,5,5,,,,,,,,,,,
2022,48,1.8,,,,,,,65,30,5,,,,,,,,,,,,
2022,49,1.9,,,,,,,,,,,,,,,,,,,,,
2022,54,,,,,,20,30,40,10,,,,,,,,,,,,,
2022,56,2.35293,,,,,,,15,50,35,,,,,,,,,,,,
2022,61,1.8,,,,,5,20,35,20,15,5,,,,,,,,,,,
2022,63,1.9,,,,,,10,55,30,5,,,,,,,,,,,,
2022,65,1.8,,,,,,20,60,20,,,,,,,,,,,,,
2022,68,1.7,,,,,,,,,,,,,,,,,,,,,
2022,73,1.5,,,,,,30,60,10,,,,,,,,,,,,,
2022,80,1.3,1.38593,3.62473,6.5032,13.53945,18.76332,17.27079,13.64606,9.91471,6.18337,4.371,3.09168,1.70576,,,,,,,,,
2022,85,1.85886,,,.0007,.0587,1.5959,13.7383,38.2482,34.9002,10.4236,1.0036,.0305,.0003,,,,,,,,,
2022,88,2,,,,,,,,,,,,,,,,,,,,,
2022,89,1.7,,,,5,12,18,30,16,8,6,4,1,,,,,,,,,
2022,90,1.7,,,1,7,12,20,22,17,12,5,3,1,,,,,,,,,
2022,93,1.7,,,,,,25,47.5,22.5,5,,,,,,,,,,,,
2022,95,2.025,.07,.35,1.28,3.66,8.14,14.11,19.05,20.03,16.39,10.45,5.19,1.28,,,,,,,,,
2022,97,2.2,,,,,,,,,,,,,,,,,,,,,
2022,98,2,,,,,,5,35,35,20,5,,,,,,,,,,,
2022,99,1.7,,,,,,10,65,25,,,,,,,,,,,,,
2022,101,1.8,,,,,10,15,40,25,10,,,,,,,,,,,,
2022,102,1.7,,,,,,20,50,20,10,,,,,,,,,,,,
2022,103,1.5,,,,,,,,,,,,,,,,,,,,,
2022,105,2.1,,,,,,,20,80,,,,,,,,,,,,,
2022,107,2.0777977,,,,.06,1.14,9.25,29.46,37.28,18.77,3.74,.29,.01,,,,,,,,,
2022,109,2,,,,,,10,40,40,10,,,,,,,,,,,,
2022,110,1.8,0,0,.1,1.07,6.08,18.61,30.57,27,12.82,3.27,.45,.03,,,,,,,,,
2022,112,2,,,,,5,10,25,30,15,10,5,,,,,,,,,,
2022,114,1.9,,,,,,,,,,,,,,,,,,,,,
2022,115,1.77082,.17255,.44449,1.79904,4.98142,10.50487,16.87368,20.64652,19.24494,13.66515,7.39118,3.04486,1.2313,,,,,,,,,
2022,117,2,,,,,,,,,,,,,,,,,,,,,
2022,118,2,,,,,,,,,,,,,,,,,,,,,
2022,119,,,,,,5,5,10,60,10,5,5,,,,,,,,,,
2022,121,2.31728,.5,.5,.5,1,2.5,5,15,25,25,15,7,3,,,,,,,,,
2022,127,1.8,0,0,3,6,9,12,25,23,12,7,3,0,,,,,,,,,
2022,128,1.8,,,,1,5,18,35,30,8,2,1,,,,,,,,,,
2022Sep,2,3.4,0,0,0,0,0,0,0,0,10,50,40,0,,,,,,,,,
2022Sep,4,1.3,2.5,5,5,7.5,10,15,15,12.5,10,7.5,5,5,,,,,,,,,
2022Sep,5,1.9,,,,,5,20,30,25,15,5,,,,,,,,,,,
2022Sep,6,1.6,,,,,5,40,40,10,5,,,,,,,,,,,,
2022Sep,7,,,,,,,,,,,,,,,,,,,,,,
2022Sep,14,2.5,0,0,0,0,2,6,17,25,25,16,7,2,,,,,,,,,
2022Sep,15,,,,,,,,,,,,,,,,,,,,,,
2022Sep,16,1.8,3,4,5,8,10,16,19,14,9,7,4,1,,,,,,,,,
2022Sep,20,1.8,,,,,10,22,30,25,10,3,,,,,,,,,,,
2022Sep,22,1.1,,,,10,30,40,20,,,,,,,,,,,,,,
2022Sep,23,1.3,,,1,5,20,30,26,11,5,2,,,,,,,,,,,
2022Sep,24,1.541168,1,1,3,5,15,20,25,20,5,3,1,1,,,,,,,,,
2022Sep,26,1.4,,5,5,5,10,25,25,10,5,5,5,,,,,,,,,,
2022Sep,29,2,0,.1,.5,1,5,12,25,39.4,14,2,.5,.5,,,,,,,,,
2022Sep,30,,,,,,,,,,,,,,,,,,,,,,
2022Sep,32,1.8,,,,,,,,,,,,,,,,,,,,,
2022Sep,36,2,,,,,,10,20,30,25,10,5,,,,,,,,,,
2022Sep,37,1.3,,,,1,6,61,30,2,,,,,,,,,,,,,
2022Sep,38,,,,,,,,,,,,,,,,,,,,,,
2022Sep,39,1.7,,,,,5,35,40,20,,,,,,,,,,,,,
2022Sep,41,,,,,,,,,,,,,,,,,,,,,,
2022Sep,45,1.2,,,,10,20,30,20,10,5,5,,,,,,,,,,,
2022Sep,47,1.3,,,,,,,,,,,,,,,,,,,,,
2022Sep,48,1.5,,,,,,40,50,10,,,,,,,,,,,,,
2022Sep,49,1.3,,,,,,,,,,,,,,,,,,,,,
2022Sep,54,,,,,,33.3333333333,33.3333333333,33.3333333333,,,,,,,,,,,,,,
2022Sep,56,1.9262673,,,,,,10,40,40,10,,,,,,,,,,,,
2022Sep,61,1.6,,,,,5,25,42.5,17.5,10,,,,,,,,,,,,
2022Sep,63,1.6,,,,,,20,70,10,,,,,,,,,,,,,
2022Sep,65,,,,,,,,,,,,,,,,,,,,,,
2022Sep,68,1.5,,,,,,,,,,,,,,,,,,,,,
2022Sep,73,1.5,,,,,15,35,40,10,,,,,,,,,,,,,
2022Sep,80,,,,,,,,,,,,,,,,,,,,,,
2022Sep,85,1.452584,,,.0005,.1313,5.5872,38.3098,45.9145,9.7171,.3378,.0018,,,,,,,,,,,
2022Sep,88,1.5,,,,,,,,,,,,,,,,,,,,,
2022Sep,89,1.4,,,2.5,7.5,17.5,30,17.5,10,7.5,5,2.5,,,,,,,,,,
2022Sep,90,1.4,,1,2,7,20,30,15,12,7,5,1,,,,,,,,,,
2022Sep,93,1.4,,,,,10,45,35,10,,,,,,,,,,,,,
2022Sep,95,1.904,.04,.24,1.09,3.67,9.03,16.34,21.69,21.17,15.17,7.98,3.09,.49,,,,,,,,,
2022Sep,97,1.7,,,,,,,,,,,,,,,,,,,,,
2022Sep,98,1.5,,,,,5,35,35,20,5,,,,,,,,,,,,
2022Sep,99,1.4,,,,,,,,,,,,,,,,,,,,,
2022Sep,101,,,,,,,,,,,,,,,,,,,,,,
2022Sep,102,1.2,,,,,,,,,,,,,,,,,,,,,
2022Sep,103,,,,,,,,,,,,,,,,,,,,,,
2022Sep,105,1.9,,,,,,,95,5,,,,,,,,,,,,,
2022Sep,107,2.436752445,,,,,4.6,14.27,27.93,29.7,17.14,5.37,.91,.08,,,,,,,,,
2022Sep,109,1.8,,,,,,20,45,30,5,,,,,,,,,,,,
2022Sep,110,1.5,.05,.35,1.77,6.08,14.19,22.54,24.34,17.88,8.94,3.04,.7,.12,,,,,,,,,
2022Sep,112,1.8,,,,5,10,15,30,25,10,5,,,,,,,,,,,
2022Sep,114,1.5,,,,,,,,,,,,,,,,,,,,,
2022Sep,115,1.4,.56538,1.17378,3.93014,8.89197,15.32346,22.1,18.13053,15.32347,8.89197,3.93014,1.3229,.41626,,,,,,,,,
2022Sep,117,1.4,,,,,,,,,,,,,,,,,,,,,
2022Sep,118,1.5,,,,,,,,,,,,,,,,,,,,,
2022Sep,119,,,,,,,5,5,80,5,5,,,,,,,,,,,
2022Sep,121,2.1345,0,0,1,2.5,5,15,23,28,15,7,3,.5,,,,,,,,,
2022Sep,127,1.8,0,0,3,6,9,12,25,23,12,7,3,0,,,,,,,,,
2022Sep,128,1.8,,,,1,6,20,30,30,10,2,1,,,,,,,,,,
2023,2,1.9,0,0,0,0,0,10,50,40,0,0,0,0,,,,,,,,,
