INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2025,1,2.1,0,0,0,0,0,20,50,30,0,0,0,0,0,,,
2025,6,2.1,0,0,0,0,0,5,80,15,0,0,0,0,0,,,
2025,7,2,,,,,,,,,,,,,,,,
2025,8,2.1,0,0,0,0,0,0,80,20,0,0,0,0,0,,,
2025,14,2.2,0,0,0,0,0,0,57,43,0,0,0,0,0,,,
2025,15,2.1,0,0,0,0,0,10,60,30,0,0,0,0,0,,,
2025,16,2.1,2,2,4,5,11,15,17,15,11,8,5,3,2,,,
2025,20,2,0,0,0,0,0,25,50,25,0,0,0,0,0,,,
2025,23,2.1,0,0,0,1,3,10,50,25,10,1,0,0,0,,,
2025,26,2,0,0,0,1,5,15,58,15,5,1,0,0,0,,,
2025,29,2.05,0,0.25,1.25,4.25,9,22,27,17,11,5.25,2,0.75,0.25,,,
2025,30,2.1,,,,,,,,,,,,,,,,
2025,32,2.07939069,0,0,5.31e-06,0.00477449,0.63881785,13.51818808,49.18810367,32.69012243,3.88365367,0.07610617,0.00022823,1e-07,0,,,
2025,33,2,0.2,0.9,2.6,5.6,9.4,12.8,15.1,15.2,13.5,10.5,7.1,4.1,3,,,
2025,37,2.1,0,0,0,0,0,5,84,10,1,0,0,0,0,,,
2025,38,2.1,0,0,0,0,0,0,90,10,0,0,0,0,0,,,
2025,39,2.06519895,0,0,0,0,0,15,70,15,0,0,0,0,0,,,
2025,41,2.2,0,0,0,0,0,0,80,20,0,0,0,0,0,,,
2025,42,2.2,0,0,0,0,0,10,50,40,0,0,0,0,0,,,
2025,45,2.09407472,0,0,0,0,0,15,55,30,0,0,0,0,0,,,
2025,47,2.1,0,0,0,0,3,7,70,18,2,0,0,0,0,,,
2025,48,2.1,0,0,0,0,0,0,70,30,0,0,0,0,0,,,
2025,49,2.1,,,,,,,,,,,,,,,,
2025,54,2.15,0,0,0,0,0,10,50,40,0,0,0,0,0,,,
2025,56,2.12,0,0,0,0,0,10,70,20,0,0,0,0,0,,,
2025,59,2.2,0,0,0,0,0,10,50,40,0,0,0,0,0,,,
2025,61,2.1,0,0,0,0,0,10,60,30,0,0,0,0,0,,,
2025,68,2,,,,,,,,,,,,,,,,
2025,70,2.2,0,0,0,0,0,0,90,10,0,0,0,0,0,,,
2025,80,2.07,0,0,0,0,0,15.37678208,54.37881874,28.92057026,1.32382892,0,0,0,0,,,
2025,82,2.1,0.010001,0.0050005,0.010001,0.010001,0.010001,1.50015002,97.00970097,1.40014001,0.010001,0.010001,0.010001,0.0050005,0.010001,,,
2025,85,2.12014549,0,0,0,3.141e-05,0.07773278,8.83762623,59.24534431,30.7393005,1.09797411,0.0019905,1.5e-07,0,0,,,
2025,88,2.1,0,0,0.5,4.20227975,15.99100221,14.27878624,12.52327651,48.00732515,3.79028169,0.20704847,0,0.5,0,,,
2025,89,2.1,0,0,0,0,2.5,15,50,25,7.5,0,0,0,0,,,
2025,91,2.2,0,0,0,0,0,15,40,35,10,0,0,0,0,,,
2025,93,2.1,0,0,0,0,0,7.5,72.5,20,0,0,0,0,0,,,
2025,95,2.14737837,0.00302632,0.1044948,0.67997098,2.99276147,8.91795047,17.97859833,24.52450902,22.63593985,14.13677868,5.97387464,1.70810856,0.33046734,0.01351952,,,
2025,97,2,,,,,,,,,,,,,,,,
2025,98,2.1,0,0,0,0,0,5,85,10,0,0,0,0,0,,,
2025,99,2.2,0,0,0,0,0,0,60,40,0,0,0,0,0,,,
2025,101,2,,,,,,,,,,,,,,,,
2025,102,2.083,,,,,,,,,,,,,,,,
2025,103,2.1,,,,,,,,,,,,,,,,
2025,105,2.1,,,,,,,,,,,,,,,,
2025,107,2.020855,0,0,0,0,0.00409585,8.3146411,79.59785782,12.07366274,0.00974247,2e-08,0,0,0,,,
2025,109,2.1,0,0,0,0,0,0,100,0,0,0,0,0,0,,,
2025,110,2.0759062,0,0,0,0,0,0.01190801,88.73308288,11.25500906,5e-08,0,0,0,0,,,
2025,112,2.1,0,0,0,5,10,20,30,20,10,5,0,0,0,,,
2025,114,2.1,,,,,,,,,,,,,,,,
2025,115,2.11995433,2.61816446,4.25715777,5.94764658,7.83134349,9.64067426,11.04847995,11.76218935,11.6224848,10.66109681,9.08909594,7.22157999,5.37545672,2.92462989,,,
2025,117,2.05253749,,,,,,,,,,,,,,,,
2025,118,2.12543137,,,,,,,,,,,,,,,,
2025,121,2.12212874,0,0,0,0,5,15,55,20,5,0,0,0,0,,,
2025,127,2.1,0,0,0,0,0,0,80,20,0,0,0,0,0,,,
2025,128,2.1,0,0,0,0,0,0,90,10,0,0,0,0,0,,,
2025,135,2.1,0,0,0,2.5,7.5,20,30,22.5,10,7.5,0,0,0,,,
2025,137,2.08,0,0,0,0,0.5,2,55.5,40,2,0,0,0,0,,,
2026,1,2,0,0,0,0,5,20,50,20,5,0,0,0,0,,,
2026,6,1.9,0,0,0,5,10,25,35,20,5,0,0,0,0,,,
2026,7,1.8,,,,,,,,,,,,,,,,
2026,8,1.8,0,0,0,0,10,35,40,10,5,0,0,0,0,,,
2026,14,2.2,0,0,0,2,7,15,24,24,17,8,3,0,0,,,
2026,15,1.8,0,0,5,5,20,20,20,15,10,5,0,0,0,,,
2026,16,1.7,1,2,5,8,12,17,15,13,12,7,5,2,1,,,
2026,20,1.9,0,0,0,3,14,22,31,22,7,1,0,0,0,,,
2026,23,2.1,0,0,1,5,10,20,30,15,7,5,3,2,2,,,
2026,26,1.7,0,1,3,5,14,25,35,8,5,3,1,0,0,,,
2026,29,1.92,0,0.5,1.5,5,13,22.5,26.25,16,9.5,3.5,1.75,0.5,0,,,
2026,30,1.8,,,,,,,,,,,,,,,,
2026,32,2.00078407,0.07655447,0.38545134,1.61872014,4.9747857,11.19171079,18.43437114,22.23449876,19.63882385,12.70217704,6.01540711,2.08541357,0.52911012,0.11297598,,,
2026,33,2.1,0.1,0.7,2.3,5.6,10,14.3,16.8,16.3,13.6,9.7,5.8,3,1.8,,,
2026,37,1.9,0,0,0,0,1,16,67,15,1,0,0,0,0,,,
2026,38,1.87,0,0,0,0,0,10,90,0,0,0,0,0,0,,,
