INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2024,1,2.5,0,0,0,0,0,0,15,80,5,0,0,0,0,,,
2024,2,2.3,0,0,0,0,0,0,25,65,10,0,0,0,0,,,
2024,4,2.3,0,0,0,0,0,0,20,75,5,0,0,0,0,,,
2024,5,2.3,0,0,0,0,0,0,40,60,0,0,0,0,0,,,
2024,6,2.3,0,0,0,0,0,0,45,50,5,0,0,0,0,,,
2024,7,2.4,,,,,,,,,,,,,,,,
2024,8,2.4,0,0,0,0,0,0,20,80,0,0,0,0,0,,,
2024,14,2.4,0,0,0,0,0,0,0,100,0,0,0,0,0,,,
2024,15,2.5,0,0,0,0,0,15,20,30,20,10,5,0,0,,,
2024,16,2.3,0,0,0,2,4,8,25,30,20,5,4,2,0,,,
2024,20,2.5,0,0,0,0,0,10,20,45,20,5,0,0,0,,,
2024,23,2.4,0,0,0,0,0,0,35,35,30,0,0,0,0,,,
2024,26,2.35,0,0,0,0,0,0,30,65,5,0,0,0,0,,,
2024,32,2.31178267,0,0,0,0,2.435e-05,0.28145353,30.36589598,65.40563681,3.94407462,0.00291468,2e-08,0,0,,,
2024,33,2.4,0,0,0,0,0,0,10,80,10,0,0,0,0,,,
2024,37,2.4,0,0,0,0,0,0,35,65,0,0,0,0,0,,,
2024,38,2.46,0,0,0,0,0,0,30,70,0,0,0,0,0,,,
2024,39,2.40045892,0,0,0,0,0,0,20,80,0,0,0,0,0,,,
2024,41,2.3,0,0,0,0,0,0,50,50,0,0,0,0,0,,,
2024,45,2.35485181,0,0,0,0,0,0,40,60,0,0,0,0,0,,,
2024,47,2.3,0,0,0,0,0,5,30,60,5,0,0,0,0,,,
2024,48,2.3,0,0,0,0,0,0,40,50,10,0,0,0,0,,,
2024,49,2.3,,,,,,,,,,,,,,,,
2024,54,2.425,0,0,0,0,0,0,40,35,25,0,0,0,0,,,
2024,56,2.28,0,0,0,0,0,0,45,55,0,0,0,0,0,,,
2024,61,2.5,0,0,0,0,0,0,25,55,20,0,0,0,0,,,
2024,63,2.3,0,0,0,0,0,0,40,60,0,0,0,0,0,,,
2024,68,2.4,,,,,,,,,,,,,,,,
2024,80,2.5,0,0,0,0,0,0.40733198,17.20977597,65.17311609,17.10794297,0.10183299,0,0,0,,,
2024,82,2.3,0,0,0,0,0,0.5,27.5,70,1,0.5,0.2,0.2,0.1,,,
2024,84,2.5,0,0,0,0,0,0,15,80,5,0,0,0,0,,,
2024,85,2.36976933,0,0,0,3.115e-05,0.02847494,2.79763615,32.79809611,52.27451611,11.76320521,0.33695641,0.00108356,3.6e-07,0,,,
2024,88,2.3,0,0,0,0,0.5,4,17.5,63.64242704,13.85757296,0.5,0,0,0,,,
2024,89,2.4,0,0,0,0,0,0,35,60,5,0,0,0,0,,,
2024,90,2.4,0,0,0,0,2,7,20,50,15,5,1,0,0,,,
2024,91,2.28,0,0,0,0,0,10,40,35,15,0,0,0,0,,,
2024,93,2.4,0,0,0,0,0,0,27.5,60,12.5,0,0,0,0,,,
2024,95,2.44713864,3e-08,5.485e-05,0.00348147,0.10228199,1.39394947,8.79810748,25.72503606,34.84554163,21.86567785,6.35628219,0.85598842,0.05340195,0.00019661,,,
2024,97,2.3,,,,,,,,,,,,,,,,
2024,98,2.3,0,0,0,0,0,5,20,70,5,0,0,0,0,,,
2024,99,2.4,0,0,0,0,0,0,0,100,0,0,0,0,0,,,
2024,101,2.3,0,0,0,0,0,0,50,50,0,0,0,0,0,,,
2024,102,2.3,0,0,0,0,0,0,35,65,0,0,0,0,0,,,
2024,103,2.4,,,,,,,,,,,,,,,,
2024,105,2.5,,,,,,,,,,,,,,,,
2024,107,2.5,0,0,0,0,8e-08,0.02049863,15.07067813,77.81063155,7.09459142,0.0036002,0,0,0,,,
2024,110,2.46528824,0,0,0,0,0,0,0.27865649,99.01183237,0.70951115,0,0,0,0,,,
2024,114,2.4,,,,,,,,,,,,,,,,
2024,115,2.4,2.66666667,3.69220514,6.31403397,7.33164803,9.11892458,10.6021416,11.49213947,11.65627484,10.90173708,9.54796513,7.81005507,5.99233216,2.87387626,,,
2024,117,2.4,,,,,,,,,,,,,,,,
2024,118,2.3,,,,,,,,,,,,,,,,
2024,121,2.31920676,,,,,,,,,,,,,,,,
2024,127,2.4,0,0,0,0,0,0,0,100,0,0,0,0,0,,,
2024,128,2.3,0,0,0,0,0,0,40,60,0,0,0,0,0,,,
2024,135,2.3,0,0,0,0,5,15,30,30,15,5,0,0,0,,,
2024,137,2.3136039,0,1e-08,1.239e-05,0.00462136,0.38721972,4.54976084,30.74144545,42.55308168,15.80222509,5.94516226,0.0164066,6.454e-05,6e-08,,,
2025,1,2,0,0,0,0,0,10,80,10,0,0,0,0,0,,,
2025,2,2.1,0,0,0,0,0,10,45,45,0,0,0,0,0,,,
2025,4,1.9,2.5,2.5,5,7.5,10,12.5,17.5,12.5,10,7.5,5,2.5,5,,,
2025,5,1.5,0,0,0,10,25,30,20,10,5,0,0,0,0,,,
2025,6,1.9,0,0,0,0,10,30,35,20,5,0,0,0,0,,,
2025,7,2.2,,,,,,,,,,,,,,,,
2025,8,1.8,0,0,0,2,15,25,35,15,5,3,0,0,0,,,
2025,14,1.5,0,1,3,10,19,24,23,13,5,2,0,0,0,,,
2025,15,2,0,0,0,5,15,20,25,15,10,5,5,0,0,,,
2025,16,1.6,2,4,5,12,15,17,15,11,8,5,3,2,1,,,
2025,20,2.1,0,0,0,0,5,20,40,25,10,0,0,0,0,,,
2025,23,2.4,0,0,0,5,7,10,20,27,13,8,5,3,2,,,
2025,26,1.7,0,1,3,10,15,25,25,10,5,3,2,1,0,,,
