INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,,
2024,1,2.5,0,0,0,0,0,0,0,50,50,0,0,0,0,0,,
2024,6,2.4,0,0,0,0,0,0,10,50,30,10,0,0,0,0,,
2024,7,2.7,,,,,,,,,,,,,,,,
2024,8,2.4,0,0,0,0,0,0,5,50,40,5,0,0,0,0,,
2024,14,2.5,0,0,0,0,0,0,0,42,57,1,0,0,0,0,,
2024,15,2.6,0,0,0,0,0,0,15,30,30,15,10,0,0,0,,
2024,16,2.4,0,1,1,2,3,8,14,17,16,13,10,8,5,2,,
2024,20,2.3,0,0,0,0,0,5,20,38,30,7,0,0,0,0,,
2024,23,2.5,0,0,0,2,3,10,16,19,19,16,9,5,1,0,,
2024,24,2.4,0,0,0,3,4,10,15,18,20,20,6,3,1,0,,
2024,26,2.3,0,0,2,3,5,7,20,24,16,9,7,4,3,0,,
2024,29,2.4,0,0.5,1,2.5,4,9.5,13,22,19,14,8,4,1.5,1,,
2024,30,2.32,,,,,,,,,,,,,,,,
2024,32,2.4,0.46320262,0.84076081,1.9268357,3.82650707,6.63139384,9.97108595,13.02680881,14.78748506,14.58520755,12.49950401,9.30750375,6.0218633,3.38517673,2.72666478,,
2024,33,2.5,0,0,0,0,0,0,1,9,80,9,1,0,0,0,,
2024,37,2.5,0,0,0,0,0,0,0,49,51,0,0,0,0,0,,
2024,38,2.44,0,0,0,0,0,0,0,60,40,0,0,0,0,0,,
2024,39,2.3327632,0,0,0,0,0,0,0,50,50,0,0,0,0,0,,
2024,41,2.35,0,0,0,0,0,0,10,50,40,0,0,0,0,0,,
2024,42,2.2,0,0,0,0,0,0,15,60,25,0,0,0,0,0,,
2024,45,2.09737061,0,0,0,0,0,0,50,50,0,0,0,0,0,0,,
2024,47,2.4,0,0,0,0,0,0,5,65,10,10,5,5,0,0,,
2024,48,2.4,0,0,0,0,0,0,0,75,25,0,0,0,0,0,,
2024,49,2.5,,,,,,,,,,,,,,,,
2024,54,2.15,0,0,0,0,0,15,25,25,25,10,0,0,0,0,,
2024,56,2.4,0,0,0,0,0,0,15,35,35,15,0,0,0,0,,
2024,68,2.3,,,,,,,,,,,,,,,,
2024,80,2.5,0,0,0,0,0,1.02249489,13.19018405,40.69529652,37.62781186,7.05521472,0.40899796,0,0,0,,
2024,82,2.5,0.1,0.2,0.3,0.4,0.7,2,5,35,50,4,1.5,0.5,0.2,0.1,,
2024,84,2.5,0,0,0,0,0,0,5,40,50,5,0,0,0,0,,
2024,88,2.6,0,0,0,1.43189206,3.48297301,9.74459522,14.22342328,12.5,18.85248006,26.57815581,10.93165838,1.75482217,0,0.5,,
2024,89,2.4,0,0,0,0,0,2.5,25,30,20,15,7.5,0,0,0,,
2024,91,2.25,0,0,0,0,0,5,20,40,30,5,0,0,0,0,,
2024,93,2.5,0,0,0,0,0,0,0,45,50,5,0,0,0,0,,
2024,95,2.57437806,0,8.6e-07,0.00010521,0.00597122,0.15699779,1.91226577,10.7901493,28.20532804,34.15539832,19.16073005,4.97954026,0.59950242,0.03343622,0.00057453,,
2024,97,2.3,,,,,,,,,,,,,,,,
2024,98,2.5,0,0,0,0,0,0,5,30,50,10,5,0,0,0,,
2024,99,2.4,0,0,0,0,0,0,5,70,25,0,0,0,0,0,,
2024,101,2.4,0,0,0,0,0,0,5,45,45,5,0,0,0,0,,
2024,102,2.4,0,0,0,0,0,0,10,50,35,5,0,0,0,0,,
2024,103,2.4,,,,,,,,,,,,,,,,
2024,105,2.5,,,,,,,,,,,,,,,,
2024,107,2.38694624,0,0,0,1e-08,8.125e-05,0.08832036,7.15192725,51.09249161,38.65463903,2.99309464,0.01943672,9.14e-06,0,0,,
2024,108,2.168645,0,0,0,0,6.88068807,15.91159116,25.16251625,27.22272227,17.33173317,7.25072507,0.240024,0,0,0,,
2024,109,2.4,0,0,0,0,0,0,0,75,25,0,0,0,0,0,,
2024,110,2.41272934,0,0,0,0,0,0,4.22e-06,44.70951037,55.29046762,1.778e-05,0,0,0,0,,
2024,112,2.8,0,0,0,0,0,5,10,20,30,20,10,5,0,0,,
2024,115,2.4,1.07692308,2.41501615,4.03052334,5.62072346,7.40966441,9.16278324,10.58440323,11.39669235,11.42777208,10.67089058,9.28680833,7.54824412,5.75262796,3.61692768,,
2024,117,2.4,,,,,,,,,,,,,,,,
2024,118,2.2,,,,,,,,,,,,,,,,
2024,119,2,0,0,0,0,0,5,10,70,10,5,0,0,0,0,,
2024,121,2.47916751,0,0,0,1,3,9,15,26,24,19,3,0,0,0,,
2024,127,2.5,0,0,0,0,0,0,0,50,50,0,0,0,0,0,,
2024,128,2.4,0,0,0,0,0,0,5,75,20,0,0,0,0,0,,
2024,135,2.4,0,0,0,0,0,5,15,30,30,15,5,0,0,0,,
2024,137,2.41560213,3.694e-05,0.00109853,0.02026792,0.02784535,1.16500963,6.57382743,16.90977304,26.6617473,25.77991076,15.28622886,5.9552679,1.43611089,0.16817761,0.01469783,,
2025,1,2,0,0,0,0,0,0,45,45,10,0,0,0,0,0,,
2025,6,2.1,0,0,0,0,0,10,30,35,20,5,0,0,0,0,,
2025,7,2.2,,,,,,,,,,,,,,,,
2025,8,1.8,0,0,0,2,8,20,28,25,10,5,2,0,0,0,,
2025,14,2,0,0,1,4,9,16,20,20,16,9,4,1,0,0,,
2025,15,2.2,0,0,0,0,5,15,25,20,15,10,5,5,0,0,,
2025,16,2.1,0,1,3,4,5,12,15,17,12,10,8,6,5,2,,
2025,20,2,0,0,0,0,5,13,25,30,17,10,0,0,0,0,,
2025,23,3,0,0,0,0,1,3,12,17,19,19,15,10,3,1,,
2025,24,1.9,0,0,0,4,10,24,24,14,10,8,3,2,1,0,,
2025,26,1.8,0,0,2,3,10,18,25,21,10,5,3,2,1,0,,
2025,29,2,0,1.5,2.5,3,7,14,18.5,23.5,14,7.5,5,2,1,0.5,,
2025,30,1.62,,,,,,,,,,,,,,,,
2025,32,2,1.55154715,2.0169034,3.79048813,6.27919464,9.23082828,11.97207042,13.72059634,13.8948162,12.43394116,9.83196241,6.86982009,4.24152242,2.31401454,1.85229485,,
2025,33,2.1,0,0,0,0,0,3,12,70,12,3,0,0,0,0,,
2025,37,2.3,0,0,0,0,0,0,18,60,22,0,0,0,0,0,,
2025,38,2.13,0,0,0,0,0,0,10,90,0,0,0,0,0,0,,
2025,39,1.80319281,0,0,0,0,0,5,45,40,10,0,0,0,0,0,,
2025,41,1.9,0,0,0,0,0,5,50,40,5,0,0,0,0,0,,
2025,42,1.9,0,0,0,0,0,10,40,40,10,0,0,0,0,0,,
2025,45,1.27504032,0,0,0,0,20,50,30,0,0,0,0,0,0,0,,
2025,47,1.9,0,0,0,0,0,10,45,40,5,0,0,0,0,0,,
2025,48,1.8,0,0,0,0,0,0,70,30,0,0,0,0,0,0,,
2025,49,2.2,,,,,,,,,,,,,,,,
2025,54,2.1,0,0,0,0,10,10,20,30,15,10,5,0,0,0,,
2025,56,1.9,0,0,0,0,0,20,30,30,20,0,0,0,0,0,,
2025,68,1.9,,,,,,,,,,,,,,,,
2025,80,1.99,0,0,0.10224949,1.43149284,7.87321063,16.56441718,24.84662577,24.64212679,15.4396728,6.74846626,1.53374233,0.61349693,0.20449898,0,,
2025,82,2.1,0.1,0.2,0.3,0.4,0.5,8,22,45,22,0.5,0.4,0.3,0.2,0.1,,
2025,84,2.1,0,0,0,0,0,10,35,45,10,0,0,0,0,0,,
2025,88,2.2,0.5,0.6279261,1.33498162,3.56693007,6.9828171,9.95470215,13.60686537,14.69241111,16.47513284,13.2455996,9.94639205,5.21688738,2.22225025,1.62710436,,
2025,89,2.1,0,0,0,0,5,15,20,30,20,10,0,0,0,0,,
2025,91,2.1,0,0,0,0,0,15,22,36,23,4,0,0,0,0,,
2025,93,2.1,0,0,0,0,0,0,37.5,40,22.5,0,0,0,0,0,,
2025,95,3.16086094,0,2.7e-07,2.144e-05,0.00095836,0.02370277,0.32440593,2.45696737,10.29748141,23.88271304,30.65189442,21.76967763,8.55593924,1.86082016,0.17541796,,
2025,97,1.5,,,,,,,,,,,,,,,,
2025,98,2.6,0,0,0,0,5,5,10,30,25,15,5,5,0,0,,
2025,99,2.1,0,0,0,0,0,0,40,60,0,0,0,0,0,0,,
