INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,,
2023,1,4.5,0,0,0,0,0,0,0,0,0,5,10,30,30,25,,
2023,5,5,0,0,0,0,0,0,0,2,5,10,15,18,20,30,,
2023,6,5,0,0,0,0,0,0,0,0,0,5,5,10,10,70,,
2023,14,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,15,6,0,0,0,0,0,0,0,0,0,0,5,10,25,60,,
2023,16,5.2,0,0,0,0,0,0,0,1,5,6,9,18,28,33,,
2023,20,5.4,0,0,0,0,0,0,0,0,0,0,0,5,10,85,,
2023,23,7,0,0,0,0,0,0,0,0,0,0,5,10,20,65,,
2023,24,7.1,0,0,0,0,0,0,0,0,0,0,5,10,15,70,,
2023,26,5.4,5,2,2,2,2,2,2,2,2,4,5,10,10,50,,
2023,29,6,0,0,0,0,0,0,0,0,0,0,1,2,3,94,,
2023,30,6,,,,,,,,,,,,,,,,
2023,32,5.7,0.00044617,0.00178169,0.00640867,0.02154934,0.0654889,0.17885931,0.43946349,0.97141577,1.93179889,3.45617709,5.56301021,8.05574243,10.49505541,68.81280265,,
2023,37,6.5,0,0,0,0,0,0,0,0,0,0,0,0,2,98,,
2023,38,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,39,6.47793176,0,0,0,0,0,0,0,0,0,0,0,5,25,70,,
2023,41,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,42,4.5,0,0,0,0,0,0,0,0,0,0,0,5,45,50,,
2023,45,4.66,0,0,0,0,0,0,0,0,0,0,20,30,50,0,,
2023,47,6,0,0,0,0,0,0,0,0,0,0,0,5,5,90,,
2023,48,5.1,0,0,0,0,0,0,0,0,0,0,0,10,30,60,,
2023,49,5.8,,,,,,,,,,,,,,,,
2023,54,,0,0,0,0,0,0,0,0,0,20,20,20,20,20,,
2023,56,7.5,0,0,0,0,0,0,0,0,0,0,0,5,10,85,,
2023,61,6.1,0,0,0,0,0,0,0,0,0,0,0,5,15,80,,
2023,63,5.6,0,0,0,0,0,0,0,0,0,0,0,5,20,75,,
2023,68,6.2,,,,,,,,,,,,,,,,
2023,80,4.8,0,0,0,0,0,0,0,0.10537408,1.15911486,3.68809273,7.69230769,19.49420443,27.2918862,40.56902002,,
2023,82,6.7,,,,,,,,,,,,,,,,
2023,85,5.95886593,0,0,0,0,0,0,0,0,0,9e-08,6.341e-05,0.01216309,0.62388911,99.3638843,,
2023,88,5.5,,,,,,,,,,,,,,,,
2023,89,5.1,0,0,0,0,0,0,0,0,0,0,5,10,15,70,,
2023,90,5.2,0,0,0,0,0,0,0,0,2.5,2.5,5,10,30,50,,
2023,91,6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,93,5.1,0,0,0,0,0,0,0,0,0,0,5,7.5,22.5,65,,
2023,95,5.5535689,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,97,5.6,,,,,,,,,,,,,,,,
2023,98,4.7,0,0,0,0,0,0,0,0,5,5,10,15,30,35,,
2023,99,5.9,0,0,0,0,0,0,0,0,0,0,0,10,20,70,,
2023,101,7.5,0,0,0,0,0,0,0,0,0,1,1.5,2.5,5,90,,
2023,102,6.5,0,0,0,0,0,0,0,0,0,0,0,10,20,70,,
2023,103,6.36815747,,,,,,,,,,,,,,,,
2023,105,6.3,,,,,,,,,,,,,,,,
2023,107,6.48325365,0,1e-08,2.2e-07,2.92e-06,3.185e-05,0.00028454,0.00208512,0.01253273,0.06179189,0.24993549,0.82941124,2.258337,5.04558421,91.54000278,,
2023,108,3.77045546,0,0,0,0,0,0,0,0.34,12.02,29.19,44.14,14.31,0,0,,
2023,110,8.49364976,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023,112,6.5,0,0,0,0,0,0,0,0,0,0,0,0,5,95,,
2023,114,5.2,,,,,,,,,,,,,,,,
2023,115,5.953,0.0018721,0.00323265,0.01148615,0.03303357,0.08706285,0.21028532,0.46546364,0.9442025,1.75528957,2.99046079,4.66911369,6.68095975,8.76097017,73.38656725,,
2023,116,6,0,0,0,0,0,0,0,1,1.5,2.5,5,10,20,60,,
2023,117,5.5,,,,,,,,,,,,,,,,
2023,119,3.8,0,0,0,0,0,0,0,0,5,10,65,10,5,5,,
2023,121,5.46580288,0,0,0,0,0,0,0,1,2,2,3,5,12,75,,
2023,127,8,1,2,2,2,2,3,3,3,5,6,6,10,10,45,,
2023,128,7,0,0,0,0,0,0,0,0,0,1,1,3,5,90,,
2023,135,5.4,0,0,0,0,0,0,0,0,0,0,0,10,20,70,,
2023,136,5.7,,,,,,,,,,,,,,,,
2023Dec,1,2,,,,,,,,,,,,,,,,
2023Dec,5,2.8,0,0,0,1,3,6,10,15,20,15,10,8,6,6,,
2023Dec,6,4.3,0,0,0,0,0,0,0,0,0,5,10,45,30,10,,
2023Dec,14,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
2023Dec,16,3.8,0,0,0,1,2,3,5,8,12,18,20,17,10,4,,
2023Dec,20,3.5,0,0,0,0,0,0,3,8,19,30,25,10,5,0,,
2023Dec,23,5.1,0,0,0,0,0,0,0,0,1,2,5,15,35,42,,
2023Dec,24,2.7,0,0,0,0,0,3,10,30,30,10,10,4,3,0,,
2023Dec,26,2.5,4,3,3,5,5,5,10,10,10,10,5,5,5,20,,
2023Dec,29,4,0,0,0,0,0,0,1,5,8,11,16,25,20,14,,
2023Dec,32,4.2,,,,,,,,,,,,,,,,
2023Dec,37,4.8,0,0,0,0,0,0,0,0,0,1,10,38,44,7,,
2023Dec,39,2.91471798,0,0,0,0,0,0,5,20,30,35,10,0,0,0,,
2023Dec,45,1.53,0,0,0,0,0,30,60,10,0,0,0,0,0,0,,
2023Dec,47,4.2,,,,,,,,,,,,,,,,
2023Dec,48,3.5,0,0,0,0,0,0,0,0,0,30,70,0,0,0,,
2023Dec,49,3.6,,,,,,,,,,,,,,,,
2023Dec,54,,0,0,0,0,0,0,0,0,0,20,20,20,20,20,,
2023Dec,56,4.6,0,0,0,0,0,0,0,0,5,10,10,30,30,15,,
2023Dec,61,3.5,0,0,0,0,0,0,0,2.5,10,20,25,17.5,15,10,,
2023Dec,63,3.5,0,0,0,0,0,0,0,10,15,25,30,15,5,0,,
2023Dec,68,2.7,,,,,,,,,,,,,,,,
2023Dec,82,4.8,,,,,,,,,,,,,,,,
2023Dec,85,2.86795082,0,0,0,2.07e-06,0.00061005,0.05468041,1.51851024,13.34573109,37.91934874,35.30740799,10.76258264,1.05799063,0.03282054,0.00031559,,
2023Dec,88,4,,,,,,,,,,,,,,,,
2023Dec,89,2.7,0,0,0,0,0,0,0,10,30,25,20,15,0,0,,
2023Dec,90,3,0,0,0,0,0,0,0,10,20,40,30,0,0,0,,
2023Dec,91,3.45,0,0,0,0,0,0,0,0,15,35,35,15,0,0,,
2023Dec,93,2.7,0,0,0,0,0,0,5,30,35,25,5,0,0,0,,
2023Dec,95,3.60775313,0,0,0,1.7e-07,3.05e-05,0.00246711,0.08732023,1.35244587,9.16650654,27.18734221,35.28650095,20.04146098,5.47451057,1.40141486,,
2023Dec,97,2.44,,,,,,,,,,,,,,,,
2023Dec,98,2.9,0,0,0,0,0,5,5,10,25,25,15,10,5,0,,
2023Dec,99,3.6,,,,,,,,,,,,,,,,
2023Dec,102,4.3,0,0,0,0,0,0,0,0,0,10,20,40,20,10,,
2023Dec,103,4.50505996,,,,,,,,,,,,,,,,
