INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2026,1,2,0,0,0,0,0,20,60,20,0,0,0,0,0,,,
2026,2,1.8,0,0,0,0,10,40,40,10,0,0,0,0,0,,,
2026,4,1.8,2.5,2.5,5,7.5,10,15,17.5,12.5,10,7.5,2.5,2.5,5,,,
2026,5,1.7,0,0,0,0,5,50,45,0,0,0,0,0,0,,,
2026,6,1.8,0,0,0,5,10,30,30,20,5,0,0,0,0,,,
2026,7,1.8,,,,,,,,,,,,,,,,
2026,8,1.8,0,0,0,0,10,35,40,10,5,0,0,0,0,,,
2026,14,1.8,0,0,0,3,13,28,32,18,5,1,0,0,0,,,
2026,15,2.1,0,0,0,5,10,20,25,20,15,5,0,0,0,,,
2026,16,1.8,3,3,5,8,15,17,14,12,10,7,5,1,0,,,
2026,20,1.9,0,0,0,0,5,32,40,20,3,0,0,0,0,,,
2026,23,2,0,0,1,5,10,30,35,12,4,2,0.5,0.5,0,,,
2026,26,1.7,0,1,3,5,14,25,35,8,5,3,1,0,0,,,
2026,29,1.99,0,0,0,6,9,21.75,32,17,7,5,2,0.25,0,,,
2026,30,1.9,,,,,,,,,,,,,,,,
2026,32,2.03342515,0.00307385,0.04527519,0.4275658,2.49053163,8.96060831,19.93590408,27.44881672,23.39597329,12.34291514,4.02790756,0.8122288,0.10107336,0.00812627,,,
2026,33,2.1,0.1,0.4,1.5,4.2,8.9,14.3,18,18.2,15,10.1,5.6,2.5,1.2,,,
2026,37,1.9,0,0,0,0,1,16,67,15,1,0,0,0,0,,,
2026,38,1.8853,0,0,0,0,0,25,75,0,0,0,0,0,0,,,
2026,39,1.76250074,0,0,0,0,0,45,50,5,0,0,0,0,0,,,
2026,41,2,0,0,0,0,0,20,65,15,0,0,0,0,0,,,
2026,42,1.8,0,0,0,0,10,35,45,10,0,0,0,0,0,,,
2026,45,1.64647406,0,0,0,0,25,30,40,5,0,0,0,0,0,,,
2026,47,1.7,0,0,0,5,5,45,35,5,5,0,0,0,0,,,
2026,48,1.8,0,0,0,0,0,45,55,0,0,0,0,0,0,,,
2026,49,1.6,,,,,,,,,,,,,,,,
2026,54,2,0,0,0,0,0,25,50,25,0,0,0,0,0,,,
2026,56,1.69,0,0,0,0,10,40,40,10,0,0,0,0,0,,,
2026,59,1.6,0,0,0,0,10,60,30,0,0,0,0,0,0,,,
2026,61,1.9,0,0,0,2.5,7.5,30,35,20,5,0,0,0,0,,,
2026,63,1.9,0,0,0,0,0,25,70,5,0,0,0,0,0,,,
2026,68,1.9,,,,,,,,,,,,,,,,
2026,80,1.99,0,0,0,1.92962543,9.53461975,28.03632236,28.71736663,22.13393871,7.83200908,1.36208854,0.45402951,0,0,,,
2026,82,1.8,0.05002501,0.15007504,0.30015008,0.50025013,5.00250125,40.02001001,45.02251126,7.00350175,1.00050025,0.50025013,0.30015008,0.10005003,0.05002501,,,
2026,85,1.93955196,0,2e-08,6.918e-05,0.03378181,2.40721699,26.96442838,51.84040814,17.72499619,1.02004856,0.0090392,1.153e-05,0,0,,,
2026,88,1.925,0,0,0.71686457,3.00518198,10.65162025,18.74811846,23.02607238,28.40838695,11.61735848,3.21714371,0.10925323,0.5,0,,,
2026,89,2,0,0,2.5,5,10,15,35,15,10,5,2.5,0,0,,,
2026,90,1.8,0,0,0,0,5,45,35,10,5,0,0,0,0,,,
2026,91,1.98,0,0,0,0,10,25,35,20,10,0,0,0,0,,,
2026,93,2,0,0,0,0,0,25,50,25,0,0,0,0,0,,,
