INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2021,1,1.7,,,1,3,9,13,40,27,6,1,,,,,,,,,,,
2021,2,1.5,0,0,0,0,0,40,60,0,0,0,0,0,,,,,,,,,
2021,4,1.8,,,,5,10,25,30,25,5,,,,,,,,,,,,
2021,5,1.8,,,,,5,15,50,25,5,,,,,,,,,,,,
2021,6,1.5,,,,,10,35,40,10,5,,,,,,,,,,,,
2021,7,2.0595619598,,,,,,,,,,,,,,,,,,,,,
2021,8,1.7,,,,,10,25,40,25,,,,,,,,,,,,,
2021,14,1.4,0,0,0,0,12,56,30,2,0,0,0,0,,,,,,,,,
2021,15,1.5,,,,5,15,20,35,20,5,,,,,,,,,,,,
2021,16,2,1,2,4,5,8,15,17,19,14,10,4,1,,,,,,,,,
2021,20,1.5,,,,,10,25,35,20,10,,,,,,,,,,,,
2021,22,1.6,,,,,5,35,45,15,,,,,,,,,,,,,
2021,23,1.7,,,,,15,25,35,20,5,,,,,,,,,,,,
2021,24,1.5117203076,,1,2,4,18,22,30,14,6,2,1,,,,,,,,,,
2021,26,1.8,,,,5,5,15,30,25,15,5,,,,,,,,,,,
2021,29,1.8,0,.5,.5,1,4.5,7,60,20,5,1,.5,0,,,,,,,,,
2021,30,1.9,,,,,,10,50,40,,,,,,,,,,,,,
2021,32,1.7,.0000451854,.0039155912,.103175066,1.3032004545,7.9758786706,23.6003880682,33.8996665425,23.6686084709,8.0221376463,1.3152175876,.1037768339,.0039898829,,,,,,,,,
2021,33,1.86,,0,0,2,9,20,24,26,10,6,3,,,,,,,,,,
2021,37,1.6,,,,,2,33,60,5,,,,,,,,,,,,,
2021,38,1.5449295194,,,,,,,85,15,,,,,,,,,,,,,
2021,39,1.5,,,,5,10,25,35,25,,,,,,,,,,,,,
2021,41,1.6,,,,,5,40,55,,,,,,,,,,,,,,
2021,42,1.3,,,,,20,50,30,,,,,,,,,,,,,,
2021,45,1.23,,,,,10,70,15,5,,,,,,,,,,,,,
2021,47,1.8,,,,,5,15,45,25,5,5,,,,,,,,,,,
2021,48,1.6,,,,,,45,40,15,,,,,,,,,,,,,
2021,49,1.28,,,,,,,,,,,,,,,,,,,,,
2021,52,1.7,0,0,0,1,4,23,46,22,3,1,0,0,,,,,,,,,
2021,54,,,,,,30,50,20,,,,,,,,,,,,,,
2021,56,1.55,,,,,10,30,50,10,,,,,,,,,,,,,
2021,61,1.6,,,,,10,30,45,15,,,,,,,,,,,,,
2021,62,1.5,,,,,,,,,,,,,,,,,,,,,
2021,63,1.8,,,,,,5,80,15,,,,,,,,,,,,,
2021,65,1.5,,,,,2.5,15,70,10,2.5,,,,,,,,,,,,
2021,68,1.4,,,,,,,,,,,,,,,,,,,,,
2021,73,1.2,,,,,20,60,20,,,,,,,,,,,,,,
2021,80,.9,0,.4255319149,7.2340425532,19.7872340426,28.2978723404,24.4680851064,13.4042553191,4.7872340426,1.4893617021,.1063829787,0,0,,,,,,,,,
2021,85,1.5331867632,.0000000001,.0000006407,.0006641937,.1249604021,4.4401580542,31.5575270565,47.4771432469,15.3592891678,1.0268790832,.0133460605,.0000320805,.0000000138,,,,,,,,,
2021,88,1.6,,,,,,,,,,,,,,,,,,,,,
2021,89,2,,0,2.5,5,10,20,25,30,5,2.5,,,,,,,,,,,
2021,90,1.5,0,0,5,7,10,20,25,20,10,2,1,0,,,,,,,,,
2021,91,1.5,0,0,0,0,20,25,40,15,0,0,0,0,,,,,,,,,
2021,93,2,,,,,,2.5,42.5,50,5,,,,,,,,,,,,
2021,95,1.1551466679,.3624175038,1.667115106,5.4255916171,12.4926251503,20.3509838239,23.4553653498,19.1259971982,11.0339513898,4.5036345025,1.3005297812,.2657067323,.0160818451,,,,,,,,,
2021,97,1.3,,,,,,,,,,,,,,,,,,,,,
2021,98,1.9,,,,,,10,50,35,5,,,,,,,,,,,,
2021,99,1.65,,,,,,20,70,10,,,,,,,,,,,,,
2021,101,1.7,,,,,,35,50,15,,,,,,,,,,,,,
2021,102,1.7,,,,,,10,70,20,,,,,,,,,,,,,
2021,103,1.4,,,,,,,,,,,,,,,,,,,,,
2021,105,1.4,,,,,,90,10,,,,,,,,,,,,,,
2021,107,1.68706643,0,.0000733699,.0091679863,.3783577272,5.2439710664,24.8616748574,40.9351362543,23.5437011843,4.6998875898,.3206348504,.0073393435,.0000557705,,,,,,,,,
2021,108,.6323693075,,,15.82,21.3,27.69,20.65,11.67,2.87,,,,,,,,,,,,,
2021,110,1.6,0,0,0,0,0,1.1245988754,98.8444011556,.030999969,0,0,0,0,,,,,,,,,
2021,111,1.8,,,,,,,,,,,,,,,,,,,,,
2021,112,1.8,,,,5,10,20,30,20,10,5,,,,,,,,,,,
2021,115,1.7,.1920390927,.4860735106,1.936126566,5.2698750722,10.9226973478,17.2415662162,20.7288699763,18.9819537006,13.2393214326,7.032704701,2.844875763,1.123896621,,,,,,,,,
2021,117,2,,,,,,,,,,,,,,,,,,,,,
2021,119,1.4,,,5,5,10,60,10,5,5,,,,,,,,,,,,
2021,121,1.5011708389,.5,1,2.5,5,15,25,25,15,7,3,.5,.5,,,,,,,,,
2021,127,1.7,0,0,0,5,7,15,30,25,11,5,2,0,,,,,,,,,
2021,128,1.1,,,1,10,25,40,20,4,,,,,,,,,,,,,
2022,1,1.5,,1,3,5,10,19,37,17,5,2,1,,,,,,,,,,
2022,2,1.3,0,0,0,0,10,60,30,0,0,0,0,0,,,,,,,,,
2022,4,1.3,2.5,2.5,2.5,10,17.5,25,20,10,2.5,2.5,2.5,2.5,,,,,,,,,
2022,5,1.5,,,,5,15,30,30,15,5,,,,,,,,,,,,
2022,6,1,,,,10,35,45,10,,,,,,,,,,,,,,
2022,7,1.4888984852,,,,,,,,,,,,,,,,,,,,,
2022,8,1.5,,,,5,15,28,32,15,5,,,,,,,,,,,,
2022,14,.6,1,5,13,24,29,18,8,2,0,0,0,0,,,,,,,,,
2022,15,1.6,,,,5,20,25,20,15,10,5,,,,,,,,,,,
2022,16,1.4,3,4,6,9,13,18,16,10,9,6,4,2,,,,,,,,,
2022,20,1.2,,,,5,20,35,25,10,5,,,,,,,,,,,,
2022,22,1.4,,,,,10,45,35,10,,,,,,,,,,,,,
2022,23,1.5,,,5,10,15,20,28,15,5,2,,,,,,,,,,,
2022,24,1.14,1,2,4,16,20,23,22,6,3,2,1,,,,,,,,,,
2022,26,1.3,,5,5,10,15,25,15,10,5,5,5,,,,,,,,,,
2022,29,1.5,0,.5,.5,1,14.5,30,40,7,5,1,.5,0,,,,,,,,,
2022,30,1.5,,,,,10,35,45,10,,,,,,,,,,,,,
