INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,,
2024,1,2.5,0,0,0,0,0,0,5,40,45,10,0,0,0,0,,
2024,2,2.5,0,0,0,0,0,0,10,30,60,0,0,0,0,0,,
2024,4,2.5,0,1,1,1,5,10,15,22.5,22.5,15,5,1,1,0,,
2024,5,2.3,0,0,0,0,0,5,20,35,20,15,5,0,0,0,,
2024,6,2.5,0,0,0,0,0,5,15,30,30,15,5,0,0,0,,
2024,7,2.7,,,,,,,,,,,,,,,,
2024,8,2.3,0,0,0,0,0,10,15,35,28,12,0,0,0,0,,
2024,14,2.2,0,0,0,0,0,3,28,48,19,2,0,0,0,0,,
2024,15,2.6,0,0,0,0,0,5,10,30,25,15,10,5,0,0,,
2024,16,2.1,0,1,1,2,3,8,14,17,16,13,10,8,5,2,,
2024,20,2.3,0,0,0,0,0,5,20,38,30,7,0,0,0,0,,
2024,23,2.5,0,0,0,2,5,12,16,19,19,16,7,3,1,0,,
2024,24,2.38256632,0,0,0,3,4,10,15,18,20,20,6,3,1,0,,
2024,26,2.1,0,0,2,3,7,11,18,20,16,9,7,4,3,0,,
2024,29,2.59,0,0,0.5,1.5,5,7,10,18,21.5,18,11,4.5,2,1,,
2024,30,2.26,,,,,,,,,,,,,,,,
2024,32,2.3,0.57565278,1.00367238,2.23641219,4.31830679,7.27638876,10.6376288,13.51239636,14.91354882,14.30183382,11.91692272,8.62772508,5.42731374,2.96636974,2.28582801,,
2024,33,2.3,0,0,0,0,0,2,8,80,8,2,0,0,0,0,,
2024,37,2.4,0,0,0,0,0,0,0,50,49,1,0,0,0,0,,
2024,39,2.46560434,0,0,0,0,0,0,0,50,50,0,0,0,0,0,,
2024,41,2.35,0,0,0,0,0,0,10,50,40,0,0,0,0,0,,
2024,45,1.63040698,0,0,0,0,10,20,40,30,0,0,0,0,0,0,,
2024,47,2.6,1,1,1,1,1,2,3,25,30,25,5,3,1,1,,
2024,48,2.2,0,0,0,0,0,0,10,70,20,0,0,0,0,0,,
2024,49,2.5,,,,,,,,,,,,,,,,
2024,54,1.95,0,0,0,5,10,15,20,20,15,10,5,0,0,0,,
2024,56,2.6,0,0,0,0,0,0,5,30,50,15,0,0,0,0,,
2024,61,2.4,0,0,0,0,0,2.5,15,30,27.5,17.5,7.5,0,0,0,,
2024,63,2.6,0,0,0,0,0,0,0,40,50,10,0,0,0,0,,
2024,65,2.3,0,0,0,0,0,0,30,50,20,0,0,0,0,0,,
2024,68,2.2,,,,,,,,,,,,,,,,
2024,80,2.5,0,0,0,0,0,0.50658561,6.99088146,38.0952381,44.57953394,9.21985816,0.60790274,0,0,0,,
2024,82,2.5,0.1,0.2,0.3,0.4,0.7,2,5,40,45,4,1.5,0.5,0.2,0.1,,
2024,85,2.30820203,0,0,1e-08,1.803e-05,0.00864193,0.76337928,13.0458279,45.85135874,34.6039629,5.54693995,0.17877729,0.00109275,1.22e-06,0,,
2024,88,2.54468466,0,0,0,0.5,1.21447579,3.93638877,11.40129902,18.07364026,22.45860958,22.09862031,13.52793446,4.91364515,1.37538665,0.5,,
2024,89,2.2,0,0,0,0,0,5,30,35,15,10,5,0,0,0,,
2024,90,2.6,0,0,0,0,0,1,5,15,50,20,7,2,0,0,,
2024,91,2.3,0,0,0,0,0,10,16,28,36,10,0,0,0,0,,
2024,93,2.2,0,0,0,0,0,0,27.5,45,27.5,0,0,0,0,0,,
2024,95,2.70839192,0,0,1.07e-06,0.00021508,0.01657258,0.48836518,5.50388105,23.72264402,39.10450986,24.65246233,5.94379008,0.54807037,0.01932764,0.00016074,,
2024,97,2.3,,,,,,,,,,,,,,,,
2024,98,2.6,0,0,0,0,0,0,5,30,50,10,5,0,0,0,,
2024,99,2.3,0,0,0,0,0,0,10,70,20,0,0,0,0,0,,
2024,101,2.6,0,0,0,0,0,0,5,35,45,10,5,0,0,0,,
2024,102,2.3,0,0,0,0,0,0,15,50,30,5,0,0,0,0,,
2024,103,2.4,,,,,,,,,,,,,,,,
2024,105,2.5,,,,,,,,,,,,,,,,
2024,107,2.40489103,0.01133734,0.06930633,0.35906945,1.40771614,4.17715288,9.383314,15.95902404,20.55292432,20.04375057,14.80199827,8.27699637,3.50420391,1.12306028,0.3301461,,
2024,109,2.4,0,0,0,0,0,0,0,80,20,0,0,0,0,0,,
2024,110,2.33630399,0,0,0,0,0,0,0.00025727,74.71431849,25.28542405,1.9e-07,0,0,0,0,,
2024,112,2.3,0,0,0,0,5,10,20,30,20,10,5,0,0,0,,
2024,114,2.2,,,,,,,,,,,,,,,,
2024,115,2.44732366,1.11538462,2.44645587,4.04126614,5.6020414,7.35746067,9.0823014,10.49192277,11.38519074,11.31657862,10.68311784,9.35723922,7.6659398,5.89728971,3.55781121,,
2024,117,2.2,,,,,,,,,,,,,,,,
2024,118,2.22240862,,,,,,,,,,,,,,,,
2024,119,2,0,0,0,0,0,5,10,70,10,5,0,0,0,0,,
2024,121,2.43984381,0,0,1,2,3,9,15,26,21,19,3,1,0,0,,
2024,127,2.2,1,2,3,4,5,8,10,12.5,15,12.5,10,7,5,5,,
2024,128,2.3,0,0,0,1,2,4,12,50,20,8,2,1,0,0,,
2024,135,2.4,0,0,0,0,0,5,15,30,30,15,5,0,0,0,,
2024,137,2.33372591,0.03575468,0.06079504,0.46058828,1.72295227,4.84201748,10.52009104,16.21687295,19.56915624,18.48608656,14.0704422,8.31348921,3.78567864,1.47159951,0.44447589,,
2025,1,2,0,0,0,0,0,0,45,45,10,0,0,0,0,0,,
2025,2,2.1,0,0,0,0,0,10,30,50,10,0,0,0,0,0,,
2025,4,1.9,2.5,2.5,2.5,2.5,7.5,12.5,15,15,15,12.5,5,2.5,2.5,2.5,,
2025,5,1.8,0,0,0,5,10,20,30,20,10,5,0,0,0,0,,
2025,6,2.1,0,0,0,0,5,10,30,25,15,10,5,0,0,0,,
2025,7,2.2,,,,,,,,,,,,,,,,
2025,8,1.8,0,0,0,2,8,20,28,25,10,5,2,0,0,0,,
2025,14,2.3,0,0,1,3,6,11,16,18,17,13,8,4,2,1,,
2025,15,2.2,0,0,0,0,5,15,25,20,15,10,5,5,0,0,,
2025,16,1.7,0,1,2,3,8,13,17,14,12,10,8,6,4,2,,
