INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2026,37,2.1,0,0,0,0,0,15,62,22,1,0,0,0,0,,,
2026,38,1.89,0,0,0,0,0,20,70,10,0,0,0,0,0,,,
2026,39,1.6873336,0,0,0,0,0,45,40,15,0,0,0,0,0,,,
2026,41,1.9,0,0,0,0,5,25,45,25,0,0,0,0,0,,,
2026,45,1.72024597,0,0,0,0,20,35,40,5,0,0,0,0,0,,,
2026,47,1.9,0,0,0,5,10,25,35,15,5,5,0,0,0,,,
2026,48,1.8,0,0,0,0,0,40,60,0,0,0,0,0,0,,,
2026,49,1.9,,,,,,,,,,,,,,,,
2026,54,2,0,0,0,0,10,20,40,20,10,0,0,0,0,,,
2026,56,1.73,0,0,0,0,5,40,40,15,0,0,0,0,0,,,
2026,59,1.5,0,0,0,0,10,60,30,0,0,0,0,0,0,,,
2026,80,2.07,0,0.10050251,0.20100503,2.11055276,9.74874372,23.71859296,22.31155779,21.10552764,13.76884422,5.02512563,1.40703518,0.40201005,0.10050251,,,
2026,82,1.9,0.05002501,0.15007504,0.30015008,0.50025013,5.00250125,30.0150075,45.02251126,15.00750375,3.00150075,0.50025013,0.30015008,0.10005003,0.05002501,,,
2026,85,1.70537852,4e-08,5.078e-05,0.01366357,0.83227465,11.90071949,41.69442728,36.89192543,8.21627959,0.44502574,0.00561744,1.597e-05,1e-08,0,,,
2026,88,1.95,0,0.5,0.21686457,2.44738137,7.61325089,17.18814814,24.40285441,23.33988538,15.2535535,6.68759695,1.85046479,0.5,0,,,
2026,89,1.9,0,0,2.5,7.5,10,20,30,15,7.5,5,2.5,0,0,,,
2026,91,1.98,0,0,0,0,10,25,35,20,10,0,0,0,0,,,
2026,95,2.08341544,0.02330645,0.36066791,1.52280097,4.72073836,10.75305375,17.98745602,22.09867152,19.939813,13.21400567,6.43141286,2.29898842,0.60356726,0.04551779,,,
2026,97,1.5,,,,,,,,,,,,,,,,
2026,98,2.2,0,0,0,0,5,15,30,30,15,5,0,0,0,,,
2026,99,1.8,0,0,0,0,0,10,80,10,0,0,0,0,0,,,
2026,102,1.5,0,0,0,5,32.5,40,10,7.5,5,0,0,0,0,,,
2026,103,1.9,,,,,,,,,,,,,,,,
2026,105,1.8,,,,,,,,,,,,,,,,
2026,107,1.7,0.81643513,2.03177882,5.14266791,10.20869613,15.89490632,19.41223041,18.59660154,13.97430012,8.23662569,3.80770304,1.38048284,0.39246596,0.10510608,,,
2026,109,1.8,0,0,0,0,5,35,45,10,5,0,0,0,0,,,
2026,110,2.00815853,3.89000297,4.59969336,6.25932603,8.77644965,11.07821258,12.58870504,12.87815078,11.86006681,9.83289934,7.33898625,4.93116265,2.98276929,2.98357527,,,
2026,114,1.5,,,,,,,,,,,,,,,,
2026,115,1.85644975,2.19911382,5.19031426,6.9966653,8.86152776,10.48081369,11.5387262,11.80725965,11.22607656,9.92453878,8.17490788,6.29983901,4.57706469,2.72315241,,,
2026,117,1.45190613,,,,,,,,,,,,,,,,
2026,118,1.5,,,,,,,,,,,,,,,,
2026,121,1.52841473,1,1,5,10,20,30,19,7,4,2,1,0,0,,,
2026,127,2,0,0,0,5,12.5,15,25,20,10,7.5,5,0,0,,,
2026,128,1.7,0,1,1,3,15,40,22,10,4,2,1,1,0,,,
2026,135,1.7,0,0,2.5,5,15,30,25,15,5,2.5,0,0,0,,,
2026,137,1.5,0.5,1.5,3,7,20,35,16,7,3.7,3,2,1,0.3,,,
2026Jun,1,2,,,,,,,,,,,,,,,,
2026Jun,5,1.6,0,0,0,5,20,40,30,5,0,0,0,0,0,,,
2026Jun,6,1.9,0,0,0,5,10,25,35,15,5,5,0,0,0,,,
2026Jun,7,1.9,,,,,,,,,,,,,,,,
2026Jun,8,1.9,0,0,0,0,10,25,45,15,5,0,0,0,0,,,
2026Jun,14,2.2,0,0,1,4,9,15,20,20,15,9,4,2,1,,,
2026Jun,16,1.5,1,5,7,10,15,17,15,11,7,5,4,2,1,,,
2026Jun,20,2,0,0,0,2,10,25,35,15,10,3,0,0,0,,,
2026Jun,24,1.77621178,0,0,4,8,18,22,19,15,8,3,2,1,0,,,
2026Jun,26,1.6,0,1,4,13,20,25,12,10,8,4,2,1,0,,,
2026Jun,29,2,0.5,1,1.5,2,9,23,28,19,10,4,1,0.5,0.5,,,
2026Jun,33,2.2,0,0,0,5,8,13,16,17,15,12,9,5,0,,,
2026Jun,37,1.9,0,0,0,0,1,18,64,15,2,0,0,0,0,,,
2026Jun,39,1.7178318,0,0,0,0,15,35,35,15,0,0,0,0,0,,,
2026Jun,47,2,,,,,,,,,,,,,,,,
2026Jun,48,1.7,,,,,,,,,,,,,,,,
2026Jun,49,2,,,,,,,,,,,,,,,,
2026Jun,54,2,0,0,0,0,10,20,40,20,10,0,0,0,0,,,
2026Jun,56,1.77,0,0,0,0,5,40,40,15,0,0,0,0,0,,,
2026Jun,59,1.2,0,0,0,10,60,30,0,0,0,0,0,0,0,,,
2026Jun,82,2.1,0.05002501,0.15007504,0.20010005,0.50025013,5.00250125,17.50875438,40.02001001,30.0150075,5.00250125,1.00050025,0.4002001,0.10005003,0.05002501,,,
2026Jun,85,1.63201077,0,3.78e-06,0.00392666,0.58279242,13.16681755,49.44483886,32.92917264,3.80235196,0.06990686,0.0001892,7e-08,0,0,,,
2026Jun,88,2.025,0,0.5,0.10636423,2.66857875,8.21622349,16.94487283,18.75127018,30.27695694,14.73769598,5.76353033,1.53450728,0.5,0,,,
2026Jun,89,1.7,0,1.25,2.5,10,15,27.5,22.5,12.5,5,2.5,1.25,0,0,,,
2026Jun,91,2.03,0,0,0,0,3,22,44,28,3,0,0,0,0,,,
2026Jun,95,2.03943367,0.02789614,0.41446635,1.70307649,5.13823201,11.39052262,18.54346178,22.17157112,19.4697609,12.55692384,5.9479101,2.06920741,0.52869128,0.03827996,,,
2026Jun,98,2.2,0,0,0,0,5,20,35,30,10,0,0,0,0,,,
2026Jun,102,1.58,,,,,,,,,,,,,,,,
2026Jun,107,1.7,1.65393858,2.85547509,5.91587295,10.15804033,14.45655656,17.05266857,16.67233881,13.51066805,9.07461071,5.05173131,2.33076937,0.89122375,0.37610592,,,
2026Jun,110,1.99118957,6.79796088,3.41704383,5.83563674,7.66862677,9.33752849,10.53492834,11.01328141,10.66810947,9.57510876,7.96315769,8.08761773,3.74830847,5.35269141,,,
2026Jun,114,1.5,,,,,,,,,,,,,,,,
2026Jun,115,1.85639318,2.19953127,5.19050609,6.9968781,8.86173107,10.48097064,11.53880417,11.80724125,11.22596596,9.92436017,8.17469685,6.2996311,4.57688604,2.72279729,,,
2026Jun,117,1.53332921,,,,,,,,,,,,,,,,
2026Jun,118,1.6,,,,,,,,,,,,,,,,
2026Jun,121,1.50334303,1,1,5,10,20,30,19,7,4,2,1,0,0,,,
2026Jun,127,2,0,0,0,0,10,15,40,20,10,5,0,0,0,,,
2026Jun,128,1.8,0,1,1,3,12,40,20,15,4,2,1,1,0,,,
2026Jun,135,1.9,0,0,1,3,15,24,30,20,5,2,0,0,0,,,
2026Jun,137,1.53,0.5,1.5,3,7,20,35,16,7,3.7,3,2,1,0.3,,,
2027,1,2,0,0,0,0,5,20,50,20,5,0,0,0,0,,,
2027,2,1.7,0,0,0,10,15,30,30,15,0,0,0,0,0,,,
2027,5,2,0,0,0,0,5,25,40,25,5,0,0,0,0,,,
2027,6,2,0,0,0,5,10,20,35,20,5,5,0,0,0,,,
2027,7,2,,,,,,,,,,,,,,,,
2027,14,3,0,0,1,2,4,7,12,15,17,16,13,7,6,,,
2027,15,2.1,0,0,5,5,10,15,25,15,10,10,5,0,0,,,
2027,16,1.7,2,4,5,11,15,17,15,11,8,5,3,2,2,,,
2027,20,2,0,0,0,0,10,25,35,15,10,5,0,0,0,,,
2027,24,1.97351438,0,0,3,6,16,20,19,15,10,5,4,2,0,,,
2027,26,1.9,1,2,3,6,10,20,30,10,7,5,3,2,1,,,
2027,29,1.9,1.25,1.5,1.75,2.5,9.5,23,28,19,9,4,0.25,0.25,0,,,
2027,33,2.1,0,1.5,2.7,5.5,9,12.3,15,15,15,11,8,5,0,,,
2027,37,2.2,0,0,0,0,0,10,63,25,2,0,0,0,0,,,
2027,38,2.083,0,0,0,0,0,10,70,20,0,0,0,0,0,,,
2027,39,1.78287661,0,0,0,0,0,45,40,15,0,0,0,0,0,,,
2027,41,2.1,0,0,0,0,0,15,55,30,0,0,0,0,0,,,
2027,45,2.07376798,0,0,0,0,5,15,45,30,5,0,0,0,0,,,
2027,49,2,,,,,,,,,,,,,,,,
2027,54,1.775,0,0,0,10,15,20,30,15,10,0,0,0,0,,,
2027,56,1.89,0,0,0,0,5,40,40,15,0,0,0,0,0,,,
2027,59,2.1,0,0,0,0,0,20,60,20,0,0,0,0,0,,,
2027,80,2.05,0,0.40201005,1.50753769,4.62311558,12.7638191,19.09547739,18.89447236,18.19095477,13.26633166,7.2361809,2.91457286,0.50251256,0.60301508,,,
2027,85,2.09130917,1.1e-07,4.12e-05,0.00525848,0.23198365,3.58927845,19.79448426,39.46321868,28.63933947,7.54070839,0.71171466,0.02369746,0.00027409,1.09e-06,,,
2027,88,2.325,0.5,1.66434296,2.82664909,5.89984803,9.22061494,10.42938608,11.79342964,16.10992236,20.94879845,12.49140081,5.53498702,1.61361948,0.96700115,,,
2027,89,1.9,0.5,1.5,3,7.5,12.5,15,25,15,10,5,3,1.5,0.5,,,
2027,91,2.13,0,0,0,0,5,15,40,30,10,0,0,0,0,,,
2027,95,2.32508237,0.03362939,0.37071166,1.3433755,3.7902345,8.33184843,14.26275388,19.01480144,19.74270157,15.96422156,10.05345392,4.93070723,1.88334343,0.2782175,,,
2027,97,1.8,,,,,,,,,,,,,,,,
