INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2022,39,1.5,,,,,10,30,30,25,5,,,,,,,,,,,,
2022,41,2.2,,,,,,,20,70,10,,,,,,,,,,,,
2022,42,1.2,,,,5,20,45,25,5,,,,,,,,,,,,,
2022,45,1.38,,,,5,15,40,25,10,5,,,,,,,,,,,,
2022,47,1,,,5,20,30,20,15,5,5,,,,,,,,,,,,
2022,48,1.5,,,,,,30,70,,,,,,,,,,,,,,
2022,49,1.29,,,,,,,,,,,,,,,,,,,,,
2022,52,1.8,0,0,0,1,6,20,34,26,10,2,1,0,,,,,,,,,
2022,54,,,,,,20,40,40,,,,,,,,,,,,,,
2022,56,1.6,,,,0,10,25,45,20,,,,,,,,,,,,,
2022,61,1.5,,,,5,15,27.5,30,15,7.5,,,,,,,,,,,,
2022,65,1.5,,,,,,20,60,20,,,,,,,,,,,,,
2022,73,1.3,,,,,15,60,20,5,,,,,,,,,,,,,
2022,80,1.4,.422832981,2.3255813953,6.976744186,12.7906976744,18.0761099367,17.9704016913,14.1649048626,9.6194503171,8.4566596195,4.9682875264,2.5369978858,1.6913319239,,,,,,,,,
2022,82,1.5,,,,,,,,,,,,,,,,,,,,,
2022,85,1.5161465186,.000001818,.0004175594,.0329773429,.9058233669,8.7897492163,30.6124756512,38.7072665875,17.8122728154,2.960243597,.1751177146,.0036283114,.0000260194,,,,,,,,,
2022,88,1.8,,,,,,,,,,,,,,,,,,,,,
2022,89,1.4,,,2.5,7.5,17.5,30,17.5,10,7.5,5,2.5,,,,,,,,,,
2022,90,1.3,1,2.5,5,10,15,25,20,10,5,4,2.5,0,,,,,,,,,
2022,91,1.5,0,0,0,2.5,15,27.5,30,15,10,0,0,0,,,,,,,,,
2022,93,1.4,,,,,2.5,52.5,42.5,2.5,,,,,,,,,,,,,
2022,97,1.3,,,,,,,,,,,,,,,,,,,,,
2022,98,1.6,,,,,10,25,35,25,5,,,,,,,,,,,,
2022,99,1.4,,,,,,60,40,,,,,,,,,,,,,,
2022,101,1.2,,,,10,20,40,20,10,,,,,,,,,,,,,
