INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2025,1,2,0,0,0,0,0,25,50,25,0,0,0,0,0,,,
2025,2,2.1,0,0,0,0,0,15,50,35,0,0,0,0,0,,,
2025,4,2.3,2.5,2.5,2.5,5,10,12.5,15,15,12.5,10,5,2.5,5,,,
2025,5,2,0,0,0,0,0,25,60,15,0,0,0,0,0,,,
2025,6,2.3,0,0,0,0,0,10,40,30,15,5,0,0,0,,,
2025,7,2.1,,,,,,,,,,,,,,,,
2025,14,1.7,0,0,0,0,8,42,41,9,0,0,0,0,0,,,
2025,15,2.1,0,0,0,5,10,15,20,30,10,10,0,0,0,,,
2025,16,1.8,2,2,4,5,11,15,17,15,11,8,5,3,2,,,
2025,20,2.1,0,0,0,0,5,20,40,25,10,0,0,0,0,,,
2025,23,2.1,0,0,1,2,3,15,50,25,3,1,0,0,0,,,
2025,24,2.12094767,0,0,3,5,10,15,25,20,10,5,5,2,0,,,
2025,26,1.9,0,0,2,5,10,20,30,25,6,2,0,0,0,,,
2025,29,2.1,0,1,1,4,8,20,24,19,13.5,6,2.5,1,0,,,
2025,30,2.3,,,,,,,,,,,,,,,,
2025,32,2.34,2.65726437,2.54215072,4.17747108,6.24840365,8.50686212,10.54181389,11.89070457,12.20805554,11.4085946,9.70430271,7.51350468,5.29500095,7.30587111,,,
2025,33,2.3,0,0.1,0.5,1.9,5.1,10.3,15.9,19.3,18.6,14.2,8.5,3.9,1.7,,,
2025,37,2.3,0,0,0,0,0,2,32,56,10,0,0,0,0,,,
2025,38,2.24,0,0,0,0,0,0,70,30,0,0,0,0,0,,,
2025,39,2.27298843,0,0,0,0,0,25,55,20,0,0,0,0,0,,,
2025,41,2.2,0,0,0,0,0,5,55,40,0,0,0,0,0,,,
2025,42,2.3,0,0,0,0,0,5,40,45,10,0,0,0,0,,,
2025,45,2.07027842,0,0,0,0,0,10,60,30,0,0,0,0,0,,,
2025,47,2.3,0,0,0,0,0,15,40,30,10,5,0,0,0,,,
2025,48,1.8,0,0,0,0,0,40,60,0,0,0,0,0,0,,,
2025,49,2.4,,,,,,,,,,,,,,,,
2025,56,2.19,0,0,0,0,0,10,40,40,10,0,0,0,0,,,
2025,59,2.6,0,0,0,0,0,0,20,60,20,0,0,0,0,,,
2025,68,2,,,,,,,,,,,,,,,,
2025,80,2.2,0,0,0.10319917,1.03199174,6.08875129,19.91744066,22.08462332,28.68937049,15.17027864,4.8503612,1.85758514,0.20639835,0,,,
2025,82,2.2,0.05002501,0.15007504,0.20010005,0.50025013,1.00050025,2.50125063,49.02451226,40.02001001,5.00250125,1.00050025,0.4002001,0.10005003,0.05002501,,,
2025,85,2.34195852,0,0,1e-08,4.832e-05,0.03894092,3.38823219,35.43356364,50.67457151,10.20431992,0.25958616,0.00073713,2.2e-07,0,,,
2025,88,2.3,0,0,0.5,2.30093929,7.00845203,15.01146933,15.73438075,29.4176185,19.97365495,7.53378383,2.01970132,0.5,0,,,
2025,89,2.4,0,0,0,0,2.5,10,25,32.5,20,10,0,0,0,,,
2025,90,2.3,0,0,0,0,2,7,50,20,15,5,1,0,0,,,
2025,91,2.3,0,0,0,0,0,10,35,40,15,0,0,0,0,,,
2025,93,2.4,0,0,0,0,0,0,35,50,15,0,0,0,0,,,
2025,95,2.22488182,0.0019964,0.07548721,0.5218737,2.44025714,7.72551637,16.54682349,23.98034734,23.51527286,15.60264738,7.00487327,2.1279234,0.43738654,0.01959489,,,
2025,97,1.83,,,,,,,,,,,,,,,,
2025,98,2.5,0,0,0,0,5,10,20,40,20,5,0,0,0,,,
2025,99,2.05,0,0,0,0,0,5,75,20,0,0,0,0,0,,,
2025,101,2.2,0,0,0,0,7.5,20,45,20,7.5,0,0,0,0,,,
2025,102,2.3,0,0,0,0,0,15,30,45,10,0,0,0,0,,,
2025,105,2.3,,,,,,,,,,,,,,,,
2025,107,2.22263694,0,0,1.26e-06,0.00159401,0.29895006,8.79409325,43.98556787,40.1022981,6.63195804,0.18473575,0.00080114,5.1e-07,0,,,
2025,110,2.37573541,0,0,0,0,0,0,4.29074821,95.63299159,0.0762602,0,0,0,0,,,
2025,112,2.44,0,0,0,0,5,10,20,30,20,10,5,0,0,,,
2025,115,2.2929065,1.7393217,2.74895271,4.4942719,6.17895214,8.03310752,9.79155024,11.13797918,11.79584365,11.62058682,10.65128818,9.09650006,7.26128937,5.45035654,,,
2025,117,2.18742056,,,,,,,,,,,,,,,,
2025,118,1.92,,,,,,,,,,,,,,,,
2025,127,2.1,0,0,0,0,0,20,60,20,0,0,0,0,0,,,
2025,128,2.3,0,0,0,0,1,4,35,55,4,1,0,0,0,,,
2025,135,2.2,0,0,0,0,7.5,12.5,30,30,12.5,7.5,0,0,0,,,
2025,137,2.02,0.08997301,0.13995801,0.79976007,3.09907028,5.99820054,23.99280216,32.99010297,21.59352194,5.99820054,1.99940018,1.99940018,0.99970009,0.29991003,,,
2026,1,2,0,0,0,0,5,20,50,20,5,0,0,0,0,,,
2026,2,1.8,0,0,0,0,15,25,45,15,0,0,0,0,0,,,
2026,4,2.2,2.5,2.5,5,7.5,10,15,15,15,10,7.5,2.5,2.5,5,,,
2026,5,1.7,0,0,0,5,20,35,25,10,5,0,0,0,0,,,
2026,6,2,0,0,0,5,10,20,35,20,5,5,0,0,0,,,
2026,7,1.9,,,,,,,,,,,,,,,,
2026,14,2.3,0,0,1,4,8,13,17,20,17,11,6,2,1,,,
2026,15,2.3,0,0,0,5,5,20,20,20,15,10,5,0,0,,,
2026,16,1.7,1,2,5,8,12,17,15,13,12,7,5,2,1,,,
2026,20,2,0,0,0,0,10,25,35,15,10,5,0,0,0,,,
2026,23,2.4,0,0,3,4,5,8,25,30,10,5,5,3,2,,,
2026,24,1.88339594,0,0,2,5,18,22,20,18,8,4,2,1,0,,,
2026,26,1.8,0,1,3,10,12,25,20,12,8,5,3,1,0,,,
2026,29,1.9,0,1,2,6,10,23,25,14.5,11,5,2,0.5,0,,,
2026,30,1.9,,,,,,,,,,,,,,,,
