Date,FCT_SOURCE,POINT,"]-inf,-1]","[-1,-0.6]","[-0.5,-0.1]","[0,0.4]","[0.5,0.9]","[1,1.4]","[1.5,1.9]","[2,2.4]","[2.5,2.9]","[3,3.4]","[3.5,3.9]","[4.0,4.4]","[4.5,4.9]","[5,+inf[","]-inf,-0.8]","[-0.7,-0.3]","[-0.2,0.2]","[0.3,0.7]","[0.8,1.2]","[1.3,1.7]","[1.8,2.2]","[2.3,2.7]","[2.8,3.2]","[3.3,3.7]","[3.8,4.2]","[4.3,4.7]","[4.8,+inf["
1999-01-01,1,1.2,0.0,,,,10.0,80.0,10.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,2,1.2,0.0,,,10.0,30.0,50.0,10.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,3,0.8,0.0,,,30.0,40.0,20.0,10.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,4,1.3,0.0,,,,,60.0,40.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,5,1.1,0.0,,,5.0,20.0,75.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,6,1.1,0.0,,,,30.0,60.0,10.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,9,0.6,0.0,,,10.0,90.0,,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,10,1.1,0.0,,,10.0,25.0,40.0,25.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,11,1.5,0.0,,,,,30.0,70.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,14,1.3,0.0,,,,10.0,80.0,10.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,16,1.6,0.0,,,,15.0,40.0,40.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,17,1.5,0.0,,,5.0,15.0,30.0,30.0,15.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,18,1.0,5.0,,,15.0,35.0,35.0,10.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,19,1.0,0.0,,,,50.0,50.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,20,0.9,0.0,,,10.0,80.0,10.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,23,1.4,0.0,,,,5.0,40.0,40.0,15.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,24,1.4,0.0,,,10.0,10.0,40.0,30.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,26,1.4,0.0,,,,10.0,60.0,30.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,28,1.2,0.0,,,,30.0,60.0,10.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,29,1.1,0.0,,,,30.0,50.0,20.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,32,1.2,0.0,,,5.2631578905263146,21.05263158210526,47.36842105473684,21.05263158210526,5.2631578905263146,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,33,1.6,0.0,,,,,10.0,80.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,34,1.5,0.0,,,,,30.0,70.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,36,1.2,0.0,,,,30.0,70.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,37,1.8,0.0,,,,,10.0,70.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,38,1.2,0.0,,,,30.0,70.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,39,1.3,0.0,,,,15.0,45.0,40.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,40,1.1,0.0,,,5.0,30.0,50.0,15.0,,,,,,,0.0,,,,,,,,,,,,,
