Date,FCT_SOURCE,POINT,"]-inf,-1]","[-1,-0.6]","[-0.5,-0.1]","[0,0.4]","[0.5,0.9]","[1,1.4]","[1.5,1.9]","[2,2.4]","[2.5,2.9]","[3,3.4]","[3.5,3.9]","[4.0,4.4]","[4.5,4.9]","[5,+inf[","]-inf,-0.8]","[-0.7,-0.3]","[-0.2,0.2]","[0.3,0.7]","[0.8,1.2]","[1.3,1.7]","[1.8,2.2]","[2.3,2.7]","[2.8,3.2]","[3.3,3.7]","[3.8,4.2]","[4.3,4.7]","[4.8,+inf["
1999-01-01,1,1.8,0.0,,,,,15.0,70.0,15.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,2,1.6,0.0,,,,10.0,30.0,30.0,30.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,3,1.7,0.0,,,,10.0,30.0,30.0,20.0,10.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,4,2.0,0.0,,,,,15.0,35.0,35.0,15.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,5,1.8,0.0,,,,,20.0,65.0,15.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,6,1.9,0.0,,,,10.0,30.0,40.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,9,1.3,0.0,,,,10.0,70.0,20.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,10,1.6,0.0,,,,,30.0,50.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,11,2.0,0.0,,,,,,80.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,14,1.5,0.0,,,,,20.0,80.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,16,2.5,0.0,,,5.0,5.0,10.0,25.0,35.0,15.0,5.0,,,,0.0,,,,,,,,,,,,,
1999-01-01,17,2.0,0.0,,,,,10.0,40.0,40.0,10.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,18,1.8,5.0,,,5.0,10.0,15.0,25.0,20.0,10.0,5.0,,,,5.0,,,,,,,,,,,,,
1999-01-01,19,2.0,0.0,,,,,,40.0,60.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,20,2.3,0.0,,,,,,25.0,50.0,25.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,23,2.5,0.0,,,,,,20.0,30.0,40.0,10.0,,,,0.0,,,,,,,,,,,,,
