Date,FCT_SOURCE,POINT,"]-inf,-1]","[-1,-0.6]","[-0.5,-0.1]","[0,0.4]","[0.5,0.9]","[1,1.4]","[1.5,1.9]","[2,2.4]","[2.5,2.9]","[3,3.4]","[3.5,3.9]","[4.0,4.4]","[4.5,4.9]","[5,+inf[","]-inf,-0.8]","[-0.7,-0.3]","[-0.2,0.2]","[0.3,0.7]","[0.8,1.2]","[1.3,1.7]","[1.8,2.2]","[2.3,2.7]","[2.8,3.2]","[3.3,3.7]","[3.8,4.2]","[4.3,4.7]","[4.8,+inf["
1999-01-01,67,1.6,0.0,,,,,40.0,60.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,68,0.8,10.0,,,30.0,50.0,10.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,70,1.7,0.0,,,,,20.0,60.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,71,1.4,0.0,,,10.0,20.0,40.0,25.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,85,0.8,0.0,,,22.0,28.999999999999996,26.0,15.0,6.0,2.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,86,1.7,0.0,,,,5.0,20.0,50.0,20.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,88,1.8,0.0,,,,5.0,20.0,45.0,25.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-01-01,89,1.4,0.0,,,,10.0,60.0,30.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,90,1.3,0.0,,,,,95.0,5.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,91,1.6,2.3,,,6.2,14.2,22.4,24.1,17.8,9.0,3.1,,,,0.9000000000000001,,,,,,,,,,,,,
1999-01-01,92,1.53,0.0,,,6.417512010641752,14.660971701466096,21.42018153214202,23.16070475231607,18.537106251853714,10.987720231098773,4.815803520481581,,,,0.0,,,,,,,,,,,,,
1999-01-01,94,1.5,0.0,,,,,30.0,70.0,,,,,,,0.0,,,,,,,,,,,,,
1999-01-01,95,1.1,9.0,,,14.000000000000002,22.0,24.0,18.0,9.0,3.0,1.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,1,1.7,0.0,,,0.0,5.0,20.0,50.0,20.0,5.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,2,1.4,2.5,,,7.5,35.0,40.0,12.5,2.5,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,3,1.4,0.0,,,0.0,20.0,30.0,40.0,10.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,4,2.0,0.0,,,0.0,0.0,0.0,60.0,40.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,5,1.8,0.0,,,0.0,20.0,30.0,35.0,15.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,9,1.3,0.0,,,0.0,20.0,80.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,11,1.5,0.0,,,0.0,0.0,30.0,60.0,10.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,14,1.6,0.0,,,0.0,0.0,30.0,70.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,16,2.1,0.0,,,5.0,10.0,15.0,20.0,25.0,15.0,5.0,,,,5.0,,,,,,,,,,,,,
1999-04-01,17,2.0,0.0,,,0.0,5.0,10.0,35.0,35.0,15.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,19,1.3,0.0,,,0.0,25.0,75.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,20,2.1,0.0,,,0.0,0.0,30.0,70.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,23,2.2,0.0,,,0.0,0.0,10.0,40.0,40.0,10.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,24,2.2,0.0,,,0.0,0.0,5.0,15.0,50.0,20.0,10.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,26,1.7,0.0,,,0.0,0.0,20.0,60.0,20.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,28,1.5,0.0,,,0.0,5.0,35.0,55.00000000000001,5.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,29,1.7,0.0,,,0.0,10.0,30.0,60.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,32,2.0,0.0,,,0.0,10.0,20.0,40.0,25.0,5.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,33,2.2,0.0,,,0.0,0.0,0.0,10.0,80.0,10.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,34,1.7,0.0,,,0.0,0.0,15.0,70.0,15.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,36,1.7,0.0,,,0.0,20.0,30.0,35.0,15.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,37,2.2,0.0,,,0.0,0.0,0.0,30.0,70.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,38,2.2,0.0,,,0.0,0.0,0.0,40.0,60.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,39,1.5,0.0,,,0.0,5.0,45.0,40.0,10.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,40,1.5,0.0,,,5.0,10.0,30.0,40.0,10.0,5.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,41,1.4,0.0,,,0.0,0.0,90.0,10.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,43,1.4,0.0,,,15.151515151515149,15.151515151515149,23.23232323232323,23.23232323232323,23.23232323232323,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,46,0.67,1.0,,,27.0,59.0,13.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,47,1.5,0.0,,,0.0,0.0,30.0,50.0,20.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,48,1.5,0.0,,,0.0,0.0,60.0,40.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,50,1.5,0.0,,,0.0,25.0,75.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,53,1.8,0.0,,,0.0,0.0,10.0,80.0,10.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,54,1.3,0.0,,,5.0,20.0,45.0,25.0,5.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,55,1.5,0.5,,,3.5000000000000004,12.3,23.8,25.4,19.0,10.0,4.0,,,,1.5,,,,,,,,,,,,,
1999-04-01,56,1.5,0.0,,,0.0,0.0,50.0,50.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,57,1.4,0.0,,,0.0,0.0,50.0,50.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,59,1.4,0.0,,,0.0,0.0,60.0,40.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,60,1.7,0.0,,,0.0,0.0,30.0,50.0,20.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,61,2.0,0.0,,,0.0,0.0,10.0,50.0,40.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,64,1.5,2.0,,,3.0,11.0,30.0,26.0,14.000000000000002,9.0,3.0,,,,2.0,,,,,,,,,,,,,
1999-04-01,65,1.7,0.0,,,0.0,0.0,50.0,50.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,67,1.8,0.0,,,0.0,0.0,10.0,60.0,30.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,70,2.0,0.0,,,0.0,0.0,25.0,30.0,25.0,10.0,10.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,71,1.1,5.0,,,10.0,20.0,30.0,20.0,10.0,5.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,72,2.0,3.0,,,5.0,8.0,10.0,17.0,20.0,15.0,10.0,,,,12.0,,,,,,,,,,,,,
1999-04-01,85,1.1,0.0,,,10.0,20.0,30.0,20.0,20.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,87,1.8,0.0,,,0.0,5.0,20.0,50.0,25.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,88,1.9,0.0,,,0.0,5.0,15.0,45.0,25.0,10.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,89,1.3,0.0,,,0.0,0.0,60.0,40.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,90,1.8,0.0,,,0.0,0.0,10.0,90.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,92,1.82,0.0,,,3.8027268854,10.225820196,17.7886663826,22.9122283767,21.8257349808,15.402641670199998,8.0421815083,,,,0.0,,,,,,,,,,,,,
1999-04-01,94,1.7,0.0,,,0.0,0.0,30.0,70.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-04-01,95,1.2,6.0,,,9.0,21.0,25.0,22.0,12.0,5.0,0.0,,,,0.0,,,,,,,,,,,,,
1999-07-01,1,1.8,0.0,,,,5.0,20.0,50.0,20.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-07-01,3,1.4,0.0,,,,20.0,30.0,40.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,5,1.8,0.0,,,,20.0,30.0,40.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,9,1.3,0.0,,,,20.0,80.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,10,1.6,0.0,,,,,30.0,60.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,11,1.7,0.0,,,,0.0,5.0,75.0,15.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-07-01,14,1.5,0.0,,,,,40.0,60.0,,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,16,2.1,5.0,,,10.0,10.0,10.0,10.0,25.0,15.0,10.0,,,,5.0,,,,,,,,,,,,,
1999-07-01,19,1.4,0.0,,,,,100.0,,,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,20,2.0,0.0,,,,,10.0,50.0,40.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,23,2.0,0.0,,,,,10.0,40.0,40.0,10.0,,,,,0.0,,,,,,,,,,,,,
1999-07-01,26,1.5,0.0,,,,15.0,30.0,40.0,15.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,28,1.8,0.0,,,,5.0,40.0,40.0,15.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,32,2.0,0.0,,,,10.0,20.0,40.0,25.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-07-01,33,2.0,0.0,,,,,,50.0,50.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,34,1.6,0.0,,,,,50.0,50.0,,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,36,1.8,0.0,,,,20.0,30.0,45.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,37,2.0,0.0,,,,,,50.0,50.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,38,1.9,0.0,,,,,,90.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,39,1.5,0.0,,,,5.0,45.0,40.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,41,1.5,0.0,,,,,70.0,30.0,,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,42,1.6,0.0,,,,,20.0,60.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,46,0.67,28.199999999999996,,,16.0,17.1,15.1,11.1,6.800000000000001,3.5000000000000004,1.5,,,,0.7,,,,,,,,,,,,,
1999-07-01,47,1.4,0.0,,,10.0,20.0,40.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,48,1.4,0.0,,,,,40.0,60.0,,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,52,1.7,0.0,,,,10.0,40.0,40.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,53,1.5,0.0,,,,,30.0,50.0,20.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,54,1.2,0.0,,,5.0,20.0,40.0,30.0,5.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,55,1.9,1.3986013986013985,,,4.2957042957042955,8.39160839160839,22.377622377622377,26.37362637362637,23.176823176823174,10.789210789210788,2.797202797202797,,,,0.3996003996003995,,,,,,,,,,,,,
1999-07-01,56,1.7,0.0,,,,,,100.0,,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,59,1.6,0.0,,,,,30.0,60.0,10.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,64,2.0,1.0,,,1.0,3.0,15.0,30.0,30.0,15.0,3.0,,,,2.0,,,,,,,,,,,,,
1999-07-01,65,1.8,0.0,,,,,,60.0,40.0,,,,,,0.0,,,,,,,,,,,,,
